Date,"North Eastern Railway War Memorial","Benedict Arnold's expedition to Quebec","Steve Biko","Si Ronda","Lost operas by Claudio Monteverdi","Eve (2003 TV series)","Gumbo","Development of Grand Theft Auto V","Morchella rufobrunnea"
2015-09-16,0,57,1349,9,16,0,1176,245,16
2015-09-17,0,43,1365,11,21,0,1129,454,16
2015-09-18,0,42,850,5,19,0,1062,235,8
2015-09-19,0,33,853,7,16,0,1135,182,18
2015-09-20,0,29,1096,9,26,0,1387,198,11
2015-09-21,0,58,1123,6,22,0,1527,183,10
2015-09-22,0,51,1355,15,20,0,1176,146,24
2015-09-23,0,44,926,13,26,0,1037,179,22
2015-09-24,0,40,736,12,21,0,1133,166,23
2015-09-25,0,75,1289,10,13,0,1183,207,16
2015-09-26,0,40,685,5,14,0,1136,166,25
2015-09-27,0,45,798,10,23,0,1195,289,12
2015-09-28,0,55,863,12,19,0,1131,375,17
2015-09-29,0,62,1028,10,21,0,1241,359,15
2015-09-30,0,45,809,11,18,0,1082,319,13
2015-10-01,0,48,954,15,15,0,1059,279,18
2015-10-02,0,42,713,10,10,0,1085,273,16
2015-10-03,0,52,642,16,29,0,1246,280,23
2015-10-04,0,46,1337,7,14,0,1297,212,17
2015-10-05,0,75,849,13,19,0,1296,238,15
2015-10-06,0,49,779,14,23,0,1258,242,18
2015-10-07,0,57,844,14,24,0,1233,213,29
2015-10-08,0,56,747,12,26,0,1230,202,24
2015-10-09,0,48,622,14,18,0,1259,167,20
2015-10-10,0,39,636,4,11,0,1151,175,16
2015-10-11,0,49,714,8,23,0,1504,220,13
2015-10-12,0,77,1193,11,25,0,1463,241,25
2015-10-13,0,51,1244,7,16,0,1282,184,13
2015-10-14,0,50,1041,15,17,0,1215,195,17
2015-10-15,0,73,947,14,20,0,1278,198,18
2015-10-16,0,65,793,3,23,0,1164,169,9
2015-10-17,0,39,741,6,13,0,1167,158,12
2015-10-18,0,45,1377,11,11,0,1276,202,14
2015-10-19,0,60,965,11,25,0,1250,177,22
2015-10-20,0,67,883,7,16,0,1189,203,13
2015-10-21,0,41,912,9,21,0,1315,243,13
2015-10-22,0,44,898,16,23,0,1135,277,19
2015-10-23,0,67,860,17,28,0,1120,221,23
2015-10-24,0,44,732,6,17,0,1063,164,20
2015-10-25,0,32,787,10,18,0,1193,174,21
2015-10-26,0,51,957,14,28,0,1261,192,22
2015-10-27,0,47,1054,9,17,0,1133,189,22
2015-10-28,0,41,1518,20,25,0,1091,202,15
2015-10-29,0,43,930,19,33,0,1058,193,24
2015-10-30,0,54,693,19,26,0,991,200,16
2015-10-31,0,20,595,10,12,0,1036,157,10
2015-11-01,0,61,890,14,19,0,1081,187,25
2015-11-02,0,42,996,4,13,0,1097,184,13
2015-11-03,0,33,813,6,20,0,1192,148,12
2015-11-04,0,57,830,6,48,0,1220,173,12
2015-11-05,0,39,895,4,30,0,1102,162,14
2015-11-06,0,63,780,4,26,0,1158,171,16
2015-11-07,0,36,685,16,25,0,1172,184,20
2015-11-08,0,47,782,8,14,0,1305,158,13
2015-11-09,0,38,893,6,14,0,1252,171,13
2015-11-10,0,56,1157,8,14,0,1260,132,9
2015-11-11,0,41,905,6,13,0,1175,188,7
2015-11-12,0,53,1049,17,27,0,1534,163,26
2015-11-13,0,53,784,5,17,0,1183,145,17
2015-11-14,0,31,584,8,17,0,1094,148,18
2015-11-15,0,43,811,13,19,0,1284,144,26
2015-11-16,0,43,827,23,27,0,1261,187,20
2015-11-17,0,32,800,9,13,0,1315,143,18
2015-11-18,0,49,789,8,22,0,1371,148,9
2015-11-19,0,38,808,10,19,0,1568,176,15
2015-11-20,0,46,722,9,19,0,1329,131,16
2015-11-21,0,36,792,7,12,0,1193,147,10
2015-11-22,0,38,1026,7,19,0,1404,179,14
2015-11-23,0,44,1109,9,15,0,1322,150,16
2015-11-24,0,42,896,9,20,0,1370,151,20
2015-11-25,0,30,794,8,15,0,1367,148,12
2015-11-26,0,29,922,8,15,0,1843,144,14
2015-11-27,0,28,720,10,12,0,1172,153,15
2015-11-28,0,26,548,7,15,0,1152,136,13
2015-11-29,0,31,901,10,21,0,1376,161,17
2015-11-30,0,36,904,2,23,0,1298,159,10
2015-12-01,0,56,839,10,25,0,1398,197,21
2015-12-02,0,42,772,12,9,0,1363,157,17
2015-12-03,0,38,723,3,16,0,1114,152,13
2015-12-04,0,43,726,13,13,0,1080,160,11
2015-12-05,0,24,659,9,19,0,1175,152,22
2015-12-06,0,27,726,11,14,0,1358,160,13
2015-12-07,0,25,813,4,18,0,1253,163,7
2015-12-08,0,47,1024,10,36,0,1116,152,16
2015-12-09,0,57,809,12,25,0,1179,181,20
2015-12-10,0,50,818,6,22,0,1090,164,13
2015-12-11,0,29,620,14,15,0,1232,166,18
2015-12-12,0,33,645,14,23,0,1129,164,19
2015-12-13,0,21,691,5,19,0,1883,203,5
2015-12-14,0,37,793,3,22,0,1279,223,12
2015-12-15,0,57,819,7,22,0,1337,235,16
2015-12-16,0,39,1123,7,29,0,1091,223,14
2015-12-17,0,32,834,7,19,0,1157,165,17
2015-12-18,0,28,1411,7,24,0,981,176,11
2015-12-19,0,25,680,6,14,0,1111,157,9
2015-12-20,0,37,584,7,4,0,1479,184,2
2015-12-21,0,25,613,3,8,0,1260,198,10
2015-12-22,0,27,602,3,6,0,1180,196,6
2015-12-23,0,22,526,6,5,0,1212,192,13
2015-12-24,0,21,520,3,10,0,1238,138,11
2015-12-25,0,26,430,3,4,0,1362,135,8
2015-12-26,0,32,535,11,14,0,1397,159,16
2015-12-27,0,33,1332,6,10,0,1460,209,6
2015-12-28,0,27,793,2,9,0,1311,215,8
2015-12-29,0,38,617,8,17,0,1370,207,14
2015-12-30,0,26,582,12,11,0,1605,189,14
2015-12-31,0,23,537,5,4,0,1452,153,9
2016-01-01,0,27,450,7,10,0,1580,189,16
2016-01-02,0,34,567,8,11,0,1603,189,11
2016-01-03,0,41,603,8,8,0,1687,195,13
2016-01-04,0,58,613,10,16,0,1560,268,15
2016-01-05,0,34,719,8,15,0,1579,205,11
2016-01-06,0,45,708,7,21,0,1388,231,11
2016-01-07,0,44,768,7,18,0,1356,189,17
2016-01-08,0,37,769,12,20,0,1263,199,13
2016-01-09,0,47,786,6,20,0,1343,171,24
2016-01-10,0,49,697,9,23,0,1492,219,17
2016-01-11,0,41,1270,10,28,0,1359,189,15
2016-01-12,0,72,769,10,22,0,1820,191,6
2016-01-13,0,50,909,8,25,0,2546,181,12
2016-01-14,0,70,793,13,29,0,1484,219,5
2016-01-15,0,56,739,13,20,0,1324,180,17
2016-01-16,0,34,643,13,16,0,1406,188,15
2016-01-17,0,40,838,11,22,0,1525,185,7
2016-01-18,0,46,903,10,19,0,1541,225,13
2016-01-19,0,45,895,6,15,0,1359,198,9
2016-01-20,0,45,827,3,30,0,1415,181,12
2016-01-21,0,60,800,14,17,0,1301,166,19
2016-01-22,0,35,756,6,18,0,1376,203,14
2016-01-23,0,34,1149,10,11,0,1582,189,10
2016-01-24,0,32,891,5,22,0,1475,213,16
2016-01-25,0,195,1759,11,26,0,1391,283,17
2016-01-26,0,46,1029,4,13,0,1345,224,14
2016-01-27,0,46,941,5,25,0,1359,198,7
2016-01-28,0,52,945,10,25,0,1347,194,15
2016-01-29,0,83,765,7,18,0,1551,199,12
2016-01-30,0,37,767,14,21,0,1473,168,25
2016-01-31,0,24,818,2,14,0,1813,172,10
2016-02-01,0,39,981,9,20,0,1536,212,15
2016-02-02,0,55,1047,11,47,0,1456,173,11
2016-02-03,0,33,1064,10,18,0,1491,178,16
2016-02-04,0,52,1082,7,43,0,1551,196,7
2016-02-05,0,42,843,13,19,0,1479,192,18
2016-02-06,0,33,908,6,11,0,1874,166,12
2016-02-07,0,36,949,12,18,0,1888,166,18
2016-02-08,0,50,1263,7,24,0,1667,158,20
2016-02-09,31,36,1262,9,29,0,2584,181,15
2016-02-10,37,40,2804,12,38,0,2040,158,19
2016-02-11,13,43,2215,10,19,0,1543,134,18
2016-02-12,8,51,955,13,16,0,1314,168,12
2016-02-13,10,58,1094,9,19,0,1425,146,12
2016-02-14,73,39,1040,7,17,0,1405,169,30
2016-02-15,6,33,1013,10,21,0,1785,156,28
2016-02-16,9,48,1081,5,27,0,1329,169,6
2016-02-17,7,46,975,4,18,0,1339,178,16
2016-02-18,2,46,997,12,11,0,1321,194,9
2016-02-19,7,41,992,7,10,0,1339,196,19
2016-02-20,8,40,889,6,14,0,1768,179,22
2016-02-21,8,57,918,5,13,0,1815,231,33
2016-02-22,5,38,1141,3,26,0,1436,224,28
2016-02-23,8,60,1072,7,19,0,1420,208,23
2016-02-24,12,52,1072,2,15,0,1325,180,16
2016-02-25,6,38,1035,5,18,0,1217,222,26
2016-02-26,13,45,916,16,24,0,1389,250,27
2016-02-27,4,47,791,7,19,0,1578,191,18
2016-02-28,18,48,1010,10,31,0,1544,257,22
2016-02-29,0,55,1096,7,38,0,1325,213,21
2016-03-01,5,39,1126,5,31,0,1458,196,13
2016-03-02,2,34,990,6,22,0,1198,221,18
2016-03-03,2,33,910,3,25,0,1246,195,17
2016-03-04,6,42,818,7,13,0,1220,198,16
2016-03-05,5,73,2398,9,19,0,1276,213,25
2016-03-06,26,38,1065,8,18,0,1408,200,31
2016-03-07,13,39,962,8,18,0,1359,184,45
2016-03-08,10,41,1042,6,29,0,1279,200,30
2016-03-09,2,53,1005,11,26,0,1211,195,30
2016-03-10,2,40,1093,5,16,0,1129,198,25
2016-03-11,4,60,1076,6,23,0,1280,168,25
2016-03-12,2,30,707,8,20,0,1536,163,32
2016-03-13,767,31,866,7,15,0,1434,186,19
2016-03-14,30,35,1068,10,25,0,1248,207,36
2016-03-15,10,30,914,6,40,0,1260,174,49
2016-03-16,8,31,1030,5,20,0,1158,176,18
2016-03-17,7,23,943,7,23,0,1080,163,39
2016-03-18,4,31,719,5,16,0,1213,158,20
2016-03-19,3,31,574,9,8,0,1149,144,18
2016-03-20,2,20,871,2,7,0,1219,139,27
2016-03-21,3,40,925,14,16,0,1301,153,35
2016-03-22,3,34,793,6,15,0,1070,141,28
2016-03-23,1,26,1029,8,12,0,1117,168,18
2016-03-24,3,32,883,6,13,0,1012,154,17
2016-03-25,2,35,861,5,6,0,1152,128,26
2016-03-26,11,22,635,9,11,0,1364,177,19
2016-03-27,5,34,727,8,7,0,1308,213,30
2016-03-28,7,37,918,7,15,0,1129,234,35
2016-03-29,3,31,883,5,8,0,1124,231,26
2016-03-30,4,32,846,9,17,0,1396,149,40
2016-03-31,8,46,861,11,14,0,1142,196,26
2016-04-01,5,46,797,8,18,0,1107,138,48
2016-04-02,2,33,656,9,15,0,1168,170,31
2016-04-03,2,23,770,16,14,0,1191,162,38
2016-04-04,0,36,1017,8,19,0,1195,223,38
2016-04-05,1,43,1128,7,21,0,1304,208,34
2016-04-06,1,44,972,13,27,0,1272,184,36
2016-04-07,1,34,1184,4,16,0,1035,157,46
2016-04-08,0,57,881,5,15,0,1446,189,45
2016-04-09,3,38,785,16,18,0,1331,210,45
2016-04-10,1,43,1048,13,21,0,1221,197,43
2016-04-11,2,32,1177,7,31,0,1098,219,49
2016-04-12,1,52,1162,6,20,0,1057,169,39
2016-04-13,2,52,1083,7,16,0,1050,167,48
2016-04-14,1,39,1422,13,32,0,1003,160,51
2016-04-15,3,25,2180,10,10,0,945,161,64
2016-04-16,0,37,829,8,12,0,1240,141,39
2016-04-17,0,34,1223,9,10,0,1260,167,70
2016-04-18,0,32,1100,5,12,0,1099,179,52
2016-04-19,3,43,1091,9,38,0,1088,142,64
2016-04-20,10,38,1213,7,30,0,1048,166,52
2016-04-21,1,28,1107,9,13,0,983,120,61
2016-04-22,4,41,885,10,15,0,1010,152,58
2016-04-23,0,39,766,8,12,0,1071,123,64
2016-04-24,0,53,1045,11,13,0,1332,153,84
2016-04-25,4,39,1166,5,18,0,1091,140,49
2016-04-26,11,51,968,7,21,0,1079,180,87
2016-04-27,2,44,1137,9,19,0,1101,150,50
2016-04-28,0,41,1152,7,27,0,1076,172,46
2016-04-29,0,36,1008,6,13,0,940,182,63
2016-04-30,1,31,634,4,10,0,1048,125,56
2016-05-01,0,40,1252,8,10,0,1146,168,79
2016-05-02,3,42,1364,7,18,0,1114,143,59
2016-05-03,4,70,1234,10,15,0,962,166,70
2016-05-04,0,59,1117,11,27,0,1036,154,66
2016-05-05,3,49,1210,9,14,0,969,146,54
2016-05-06,2,47,951,8,21,0,975,144,62
2016-05-07,0,55,815,11,12,0,908,125,57
2016-05-08,0,39,1377,5,19,0,1066,149,76
2016-05-09,3,61,1290,10,23,0,1063,157,57
2016-05-10,3,55,1112,9,12,0,1050,150,49
2016-05-11,0,74,1067,13,20,0,1060,153,65
2016-05-12,1,42,1112,7,11,0,945,142,39
2016-05-13,1,35,833,13,17,0,913,139,54
2016-05-14,3,41,709,24,17,0,976,146,40
2016-05-15,0,42,1092,12,22,0,1252,141,53
2016-05-16,0,55,1285,6,12,0,1155,154,43
2016-05-17,1,45,1131,10,15,0,1058,150,34
2016-05-18,1,48,1137,5,19,0,1037,122,43
2016-05-19,1,71,1780,11,18,0,1650,131,38
2016-05-20,1,37,1051,9,25,0,995,113,36
2016-05-21,1,44,746,15,14,0,1060,179,53
2016-05-22,2,31,929,8,60,0,1294,128,22
2016-05-23,3,51,1003,11,23,0,1028,148,37
2016-05-24,2,41,1103,7,18,0,965,147,38
2016-05-25,2,46,1115,15,18,0,1058,154,36
2016-05-26,3,56,1033,13,33,0,931,154,38
2016-05-27,2,49,837,5,14,0,895,117,19
2016-05-28,0,28,800,8,13,0,920,125,20
2016-05-29,0,35,918,10,18,0,1053,134,21
2016-05-30,0,37,1070,12,18,0,1116,134,37
2016-05-31,0,67,1060,6,21,0,1153,152,17
2016-06-01,2,48,948,9,27,0,997,172,18
2016-06-02,1,35,909,18,19,0,925,183,20
2016-06-03,0,48,784,14,15,0,912,156,21
2016-06-04,0,35,751,9,15,0,962,153,19
2016-06-05,0,50,857,10,25,0,1053,169,15
2016-06-06,2,43,1001,8,16,0,1010,163,13
2016-06-07,0,52,1030,9,24,0,1088,189,27
2016-06-08,0,28,998,4,16,0,907,153,18
2016-06-09,0,35,937,13,11,0,975,150,15
2016-06-10,0,40,736,4,11,0,979,134,19
2016-06-11,0,28,651,3,5,0,976,140,17
2016-06-12,2,34,753,4,13,0,1106,154,16
2016-06-13,1,44,786,10,16,0,1070,203,16
2016-06-14,1,41,917,16,28,0,968,211,21
2016-06-15,1,34,2531,6,26,0,1068,169,20
2016-06-16,1,44,1676,9,23,0,1146,161,19
2016-06-17,0,40,1241,8,21,0,988,162,14
2016-06-18,0,33,1266,11,24,0,904,156,23
2016-06-19,1,48,939,13,17,0,1128,147,19
2016-06-20,0,29,888,10,15,0,1001,157,10
2016-06-21,0,63,1201,10,16,0,1129,155,18
2016-06-22,0,48,874,5,14,0,877,139,8
2016-06-23,0,38,727,4,8,0,922,167,9
2016-06-24,0,31,667,7,10,0,796,124,10
2016-06-25,2,41,618,7,15,0,939,155,12
2016-06-26,1,38,604,4,14,0,1027,159,8
2016-06-27,3,34,727,10,23,0,989,156,20
2016-06-28,0,52,728,5,11,0,1009,224,8
2016-06-29,2,59,680,8,14,0,1016,180,17
2016-06-30,3,37,666,8,8,0,941,154,6
2016-07-01,3,62,835,6,14,0,830,147,12
2016-07-02,0,43,517,8,7,0,926,145,13
2016-07-03,2,37,631,6,15,0,981,178,14
2016-07-04,0,69,1205,6,19,0,995,185,13
2016-07-05,0,58,689,4,10,0,911,167,13
2016-07-06,0,44,720,9,19,0,983,172,11
2016-07-07,3,39,763,7,11,0,936,191,11
2016-07-08,3,25,775,3,4,0,858,162,11
2016-07-09,1,38,818,8,9,0,981,181,14
2016-07-10,0,58,696,4,11,0,996,161,8
2016-07-11,0,35,788,11,9,0,948,176,9
2016-07-12,2,53,897,14,19,0,919,192,34
2016-07-13,1,35,848,6,10,0,973,183,12
2016-07-14,0,35,665,5,8,0,948,170,8
2016-07-15,2,33,984,10,11,0,912,142,10
2016-07-16,0,33,1001,5,9,0,1016,159,9
2016-07-17,3,41,779,11,13,0,1385,163,12
2016-07-18,0,68,860,8,15,0,1071,171,6
2016-07-19,0,40,946,8,11,0,1069,158,12
2016-07-20,0,28,888,4,9,0,1116,145,7
2016-07-21,2,45,1004,7,8,0,1013,157,10
2016-07-22,1,43,698,9,11,0,850,148,12
2016-07-23,1,41,741,7,15,0,911,155,14
2016-07-24,2,55,996,8,14,0,1031,157,34
2016-07-25,2,68,1028,14,15,0,898,167,31
2016-07-26,1,53,965,13,19,0,944,153,16
2016-07-27,0,24,954,4,15,0,935,158,7
2016-07-28,1,50,1004,10,9,0,1108,144,12
2016-07-29,1,55,759,14,16,0,989,153,19
2016-07-30,1,29,648,7,13,0,1012,147,16
2016-07-31,1,37,845,10,18,0,1302,148,17
2016-08-01,0,46,1036,4,22,0,1080,188,13
2016-08-02,1,25,938,9,14,0,912,188,14
2016-08-03,1,34,964,10,19,0,906,173,18
2016-08-04,1,40,966,5,16,0,975,171,7
2016-08-05,0,42,925,11,14,0,846,163,15
2016-08-06,2,43,771,9,16,0,898,160,11
2016-08-07,2,34,879,9,14,0,1037,165,12
2016-08-08,0,62,1015,4,14,0,963,182,9
2016-08-09,2,43,1104,9,26,0,923,177,14
2016-08-10,2,29,1118,7,16,0,982,146,12
2016-08-11,3,31,1160,7,11,0,913,159,10
2016-08-12,3,42,898,6,11,0,845,167,12
2016-08-13,0,29,818,6,20,0,975,139,9
2016-08-14,0,38,1118,8,20,0,1570,169,11
2016-08-15,3,61,1172,10,12,0,1102,151,8
2016-08-16,2,22,1059,5,13,0,1007,191,10
2016-08-17,1,27,1165,5,16,0,1081,159,15
2016-08-18,1,30,2573,10,25,0,986,152,13
2016-08-19,2,27,1173,6,19,0,1031,175,8
2016-08-20,3,35,875,10,12,0,1116,208,14
2016-08-21,3,62,1136,16,25,0,1270,187,19
2016-08-22,4,108,1230,27,14,0,1322,189,19
2016-08-23,6,56,1242,13,13,0,1093,193,17
2016-08-24,2,42,1183,7,27,0,1038,146,15
2016-08-25,4,42,1320,7,18,0,1071,150,13
2016-08-26,0,54,879,11,20,0,1021,161,10
2016-08-27,0,32,749,10,18,0,1058,160,9
2016-08-28,2,37,1191,6,20,0,1216,172,16
2016-08-29,1,43,1272,9,19,0,1184,174,16
2016-08-30,3,29,1523,7,16,0,1152,166,15
2016-08-31,1,48,1311,9,16,0,1051,147,9
2016-09-01,3,36,1293,8,15,0,1105,174,15
2016-09-02,2,41,1208,12,23,0,1026,153,18
2016-09-03,2,30,970,8,17,0,1071,161,9
2016-09-04,1,33,1281,6,15,0,1132,207,9
2016-09-05,1,45,1400,9,15,0,1133,195,18
2016-09-06,1,44,1505,8,21,0,1061,186,11
2016-09-07,2,49,1303,1,15,0,1055,173,10
2016-09-08,3,41,1360,10,9,0,1027,144,9
2016-09-09,4,49,1409,10,13,0,1003,185,17
2016-09-10,2,69,1307,7,12,0,1139,141,11
2016-09-11,2,153,1660,2,11,0,1384,180,7
2016-09-12,1,75,6979,9,16,0,1289,180,16
2016-09-13,3,56,3254,17,16,0,1732,147,16
2016-09-14,1,66,2052,10,20,0,2480,148,20
2016-09-15,1,42,1686,11,22,0,1851,143,13
2016-09-16,7,52,1120,9,22,0,1248,171,12
2016-09-17,4,46,970,5,23,0,1236,141,11
2016-09-18,5,33,1299,15,27,0,1437,161,17
2016-09-19,0,33,1308,12,22,0,1278,168,10
2016-09-20,2,39,1147,4,19,0,1195,162,10
2016-09-21,1,47,1155,6,18,0,1112,152,11
2016-09-22,1,262,1328,64,295,0,1226,186,85
2016-09-23,3,42,892,8,25,0,1084,434,9
2016-09-24,2,53,965,6,27,0,1247,161,14
2016-09-25,4,99,1013,5,17,0,1323,132,12
2016-09-26,1,52,1021,7,28,0,1294,167,20
2016-09-27,1,54,910,7,16,0,1222,166,14
2016-09-28,1,48,937,9,32,0,1361,146,15
2016-09-29,1,64,862,14,24,0,1528,159,26
2016-09-30,0,22,705,8,21,0,1275,132,14
2016-10-01,1,33,939,8,18,0,1168,136,16
2016-10-02,2,50,664,8,28,0,1280,134,12
2016-10-03,1,62,842,9,34,0,1184,155,10
2016-10-04,12,56,815,7,21,0,1196,179,9
2016-10-05,3,29,996,2,12,0,1190,177,10
2016-10-06,1,43,966,10,19,0,1255,175,20
2016-10-07,2,53,773,12,18,0,1447,155,13
2016-10-08,6,42,968,11,25,0,1555,179,19
2016-10-09,12,34,785,8,18,0,1580,181,13
2016-10-10,3,49,894,9,38,0,1357,230,20
2016-10-11,34,40,880,7,29,0,1258,212,20
2016-10-12,16,37,1258,9,14,0,1672,215,10
2016-10-13,4,75,873,9,19,0,1412,225,14
2016-10-14,9,46,773,8,23,0,1374,172,14
2016-10-15,11,33,645,9,12,0,1354,209,12
2016-10-16,8,49,812,7,24,0,1800,370,20
2016-10-17,8,47,1034,5,22,0,1380,387,13
2016-10-18,9,47,980,13,29,0,1326,387,24
2016-10-19,6,33,967,7,19,0,1345,263,15
2016-10-20,11,39,962,9,20,0,1257,291,14
2016-10-21,5,43,948,12,18,0,1252,227,15
2016-10-22,5,29,1436,8,13,0,1342,213,9
2016-10-23,1,31,810,4,16,0,1735,196,14
2016-10-24,5,54,969,7,23,0,1389,189,20
2016-10-25,5,65,1117,12,16,0,1275,197,11
2016-10-26,5,45,994,10,23,0,1400,176,14
2016-10-27,11,41,1207,10,21,0,1720,173,8
2016-10-28,12,56,837,17,24,0,1808,136,20
2016-10-29,5,48,622,7,8,0,1645,141,10
2016-10-30,9,44,750,8,8,0,2283,163,13
2016-10-31,5,60,923,6,13,0,1704,152,15
2016-11-01,9,74,835,8,11,3,1617,200,12
2016-11-02,5,35,879,9,14,25,1708,153,13
2016-11-03,9,39,885,6,12,33,1514,163,15
2016-11-04,8,44,771,8,13,43,1623,141,16
2016-11-05,5,31,676,2,7,58,1690,162,9
2016-11-06,170,28,1053,5,9,61,1853,174,10
2016-11-07,12,47,791,9,17,52,1784,165,15
2016-11-08,14,57,853,17,20,33,1550,186,28
2016-11-09,5,38,830,13,14,44,1246,126,12
2016-11-10,10,45,999,10,10,55,1350,157,12
2016-11-11,11,57,746,7,10,63,1486,164,12
2016-11-12,5,31,1139,4,4,44,2161,135,20
2016-11-13,12,36,1014,9,15,44,1948,134,16
2016-11-14,1,51,973,9,15,43,1773,155,12
2016-11-15,5,47,923,14,15,45,1905,179,14
2016-11-16,6,61,935,6,8,42,1833,178,13
2016-11-17,1,83,1118,8,8,50,1590,161,34
2016-11-18,0,49,892,9,9,59,1849,156,31
2016-11-19,1,42,1204,12,14,44,1735,216,20
2016-11-20,2,37,796,4,10,63,2003,187,13
2016-11-21,7,34,1048,9,9,54,1864,180,16
2016-11-22,5,43,882,8,16,39,1676,110,22
2016-11-23,4,35,831,3,8,36,1609,146,8
2016-11-24,6,54,905,6,14,41,1773,157,17
2016-11-25,7,43,683,6,8,57,1597,165,14
2016-11-26,5,52,728,10,13,43,1669,164,17
2016-11-27,11,41,748,8,19,55,1920,169,15
2016-11-28,5,42,876,6,15,60,1649,183,15
2016-11-29,24,46,849,11,18,48,1583,180,15
2016-11-30,4,36,759,7,7,46,1598,187,11
2016-12-01,3,58,774,10,11,44,1501,169,12
2016-12-02,10,38,701,10,20,47,1462,165,17
2016-12-03,12,33,573,8,13,47,1736,161,14
2016-12-04,19,37,777,15,28,44,2089,193,21
2016-12-05,2,45,1301,12,24,53,1866,182,15
2016-12-06,5,52,976,12,21,73,1635,170,17
