Date,"Yugoslav torpedo boat T3","Palsgraf v. Long Island Railroad Co.","The Fade Out","Operation Bernhard","Lead","W. E. B. Du Bois","Nikolai Rimsky-Korsakov","Pallas's leaf warbler","Meteorological history of Hurricane Ivan"
2015-08-13,2,72,0,173,2919,1514,421,7,17
2015-08-14,1,54,0,499,2404,1440,426,7,21
2015-08-15,2,60,0,780,2039,1244,377,6,26
2015-08-16,3,59,0,203,2514,2052,470,49,47
2015-08-17,0,82,0,177,2981,2283,487,24,30
2015-08-18,5,93,0,191,2751,1946,493,10,53
2015-08-19,0,102,0,204,2866,1735,414,8,63
2015-08-20,4,73,0,509,2925,2035,484,5,57
2015-08-21,1,66,0,385,2546,1527,456,4,65
2015-08-22,4,79,0,191,2082,1252,386,3,35
2015-08-23,2,62,0,158,2190,1459,423,20,42
2015-08-24,1,99,0,190,2772,1790,493,10,41
2015-08-25,1,124,0,204,3134,1956,467,18,60
2015-08-26,6,126,0,172,3025,1997,464,9,84
2015-08-27,4,92,0,233,2833,2455,454,6,97
2015-08-28,2,122,0,331,2537,2062,449,7,114
2015-08-29,3,80,0,331,1962,1441,419,3,113
2015-08-30,1,59,0,266,2719,1590,464,6,79
2015-08-31,2,116,0,231,3027,2467,477,7,44
2015-09-01,3,136,0,188,3195,2352,496,9,40
2015-09-02,1,167,0,192,3460,2377,559,4,29
2015-09-03,3,289,0,183,3263,2171,554,5,26
2015-09-04,3,270,0,158,2976,1839,438,7,30
2015-09-05,4,80,0,186,1931,1325,427,6,31
2015-09-06,4,101,0,159,2300,1406,548,8,28
2015-09-07,3,104,0,172,2986,1865,696,8,44
2015-09-08,4,155,0,178,3899,2535,650,4,37
2015-09-09,5,168,0,147,3894,2525,589,7,33
2015-09-10,3,171,0,135,3871,2610,641,3,31
2015-09-11,6,141,0,157,3180,2262,617,4,80
2015-09-12,8,83,0,124,2119,1394,481,9,27
2015-09-13,4,87,0,173,2771,1771,527,6,27
2015-09-14,3,161,0,168,3931,2720,607,5,31
2015-09-15,6,213,0,138,4184,3004,569,4,36
2015-09-16,2,171,0,127,4160,3014,607,3,48
2015-09-17,7,213,0,153,3821,3069,606,8,42
2015-09-18,1,124,0,161,3339,2455,481,5,28
2015-09-19,2,84,0,138,2060,1517,472,4,21
2015-09-20,1,106,0,169,2670,1821,527,11,26
2015-09-21,4,233,0,176,3911,3201,542,9,34
2015-09-22,8,188,0,153,3994,3270,548,12,35
2015-09-23,2,224,0,199,3944,3227,506,10,35
2015-09-24,7,284,0,139,3887,3786,542,12,42
2015-09-25,3,149,0,163,3229,2909,527,11,26
2015-09-26,2,111,0,143,2147,1541,424,8,15
2015-09-27,4,150,0,144,2561,2036,535,7,20
2015-09-28,6,283,0,137,4154,3871,566,7,38
2015-09-29,3,329,0,127,4411,3860,495,10,26
2015-09-30,20,259,0,148,4167,3709,593,6,38
2015-10-01,8,266,0,142,4058,4195,567,11,97
2015-10-02,18,180,0,187,3328,3147,484,7,76
2015-10-03,4,123,0,123,2140,1595,464,7,47
2015-10-04,1,142,0,142,2618,1997,530,10,36
2015-10-05,1,352,0,146,3999,3401,622,10,45
2015-10-06,2,375,0,139,4427,3952,554,7,21
2015-10-07,3,449,0,144,4410,3749,590,22,48
2015-10-08,3,395,0,153,4331,3349,561,11,28
2015-10-09,3,180,0,108,3403,2821,498,4,25
2015-10-10,3,112,0,131,2295,1394,476,4,23
2015-10-11,4,148,0,119,2611,1794,553,9,16
2015-10-12,2,312,0,156,3876,3136,586,24,25
2015-10-13,3,368,0,139,4317,3469,554,17,29
2015-10-14,6,457,0,138,4092,3643,571,6,17
2015-10-15,7,538,0,112,4165,3730,627,9,39
2015-10-16,5,233,0,121,3393,2817,571,19,19
2015-10-17,3,139,0,128,2135,1485,504,51,11
2015-10-18,2,148,0,161,2658,1977,475,43,24
2015-10-19,0,313,0,163,4052,3784,616,23,40
2015-10-20,3,408,0,108,4318,3720,578,28,28
2015-10-21,3,397,0,127,4255,4195,606,17,28
2015-10-22,6,384,0,157,4093,4123,616,9,31
2015-10-23,4,279,0,127,3733,3106,532,11,100
2015-10-24,1,133,0,133,2466,1626,496,10,77
2015-10-25,5,196,0,149,2772,2141,681,16,46
2015-10-26,4,386,0,121,4269,3425,611,26,55
2015-10-27,3,347,0,205,4241,3531,596,17,42
2015-10-28,4,375,0,230,4114,3746,711,25,38
2015-10-29,6,330,0,122,4181,3240,810,30,49
2015-10-30,2,176,0,125,3300,2473,522,11,30
2015-10-31,1,167,0,142,2133,1354,3347,8,17
2015-11-01,8,166,0,121,2550,1709,549,16,29
2015-11-02,6,315,0,147,3813,3199,1753,9,34
2015-11-03,3,343,0,147,4012,3082,678,8,15
2015-11-04,4,284,0,171,4074,3252,832,6,35
2015-11-05,0,280,0,125,4285,3210,893,7,28
2015-11-06,3,154,0,116,3642,2638,677,6,30
2015-11-07,1,104,0,147,2221,1425,508,8,18
2015-11-08,5,138,0,185,2481,1876,593,5,11
2015-11-09,2,283,0,195,4229,3318,676,7,22
2015-11-10,0,285,0,199,4168,3296,631,9,21
2015-11-11,5,219,0,7851,3496,2711,636,8,16
2015-11-12,3,199,0,8010,4196,3200,715,4,32
2015-11-13,3,236,0,297,3503,2788,580,4,14
2015-11-14,1,96,0,175,2069,1399,519,3,17
2015-11-15,1,116,0,160,2668,1765,585,7,24
2015-11-16,2,236,0,192,3907,2899,621,5,37
2015-11-17,1,242,0,137,4151,3050,632,6,33
2015-11-18,0,250,0,159,4148,3230,631,1,30
2015-11-19,3,180,0,121,3855,3185,652,7,14
2015-11-20,3,170,0,112,3523,3090,546,6,19
2015-11-21,3,102,0,122,2196,2010,491,4,7
2015-11-22,3,85,0,140,2561,1810,590,3,15
2015-11-23,0,150,0,153,3663,2792,645,11,19
2015-11-24,2,180,0,141,3627,2579,596,14,23
2015-11-25,4,120,0,255,3123,1849,555,1,13
2015-11-26,1,99,0,150,2627,1349,548,15,13
2015-11-27,2,79,0,147,2279,1302,531,4,14
2015-11-28,1,87,0,145,2185,1476,615,11,11
2015-11-29,1,133,0,164,2531,1858,611,11,18
2015-11-30,3,163,0,169,3653,3042,633,3,13
2015-12-01,1,246,0,110,4049,3379,668,6,30
2015-12-02,3,186,0,147,3945,3493,698,2,21
2015-12-03,5,215,0,156,4204,3499,657,4,23
2015-12-04,2,181,0,153,3309,2885,579,5,24
2015-12-05,7,120,0,152,2141,1543,498,3,20
2015-12-06,3,181,0,149,2591,2007,631,13,16
2015-12-07,0,284,0,131,3749,3981,673,12,18
2015-12-08,1,222,0,129,3842,3882,701,7,28
2015-12-09,3,291,0,152,3880,3875,624,10,25
2015-12-10,1,382,0,122,3648,3806,621,4,24
2015-12-11,2,194,0,155,3166,3334,633,3,24
2015-12-12,7,130,0,155,2099,1698,525,16,18
2015-12-13,5,166,0,140,2487,2158,570,5,15
2015-12-14,5,198,0,150,3407,4155,613,7,27
2015-12-15,7,205,0,215,4428,4180,572,5,19
2015-12-16,2,224,0,222,3425,3701,603,4,9
2015-12-17,2,178,0,295,3268,3365,612,5,26
2015-12-18,3,103,0,141,2422,2298,517,2,10
2015-12-19,1,72,0,147,1633,1184,467,1,9
2015-12-20,2,56,0,174,1766,1185,550,3,4
2015-12-21,3,93,0,132,2150,1603,507,5,9
2015-12-22,3,61,0,115,2061,1420,471,6,13
2015-12-23,0,48,0,131,1857,1158,397,9,11
2015-12-24,2,47,0,99,1554,941,456,5,6
2015-12-25,0,29,0,109,1428,850,459,5,12
2015-12-26,2,38,0,177,1497,995,465,9,11
2015-12-27,1,57,0,150,1724,1096,470,13,11
2015-12-28,1,71,0,230,2008,1255,429,8,10
2015-12-29,4,55,0,184,2046,1218,433,7,12
2015-12-30,3,51,0,173,1935,1217,501,4,8
2015-12-31,2,40,0,118,1815,1182,465,5,12
2016-01-01,5,34,0,167,1677,1104,531,4,11
2016-01-02,5,47,0,151,1967,1298,532,14,16
2016-01-03,1,45,0,154,2177,1589,590,44,15
2016-01-04,10,74,0,206,3378,2089,530,34,11
2016-01-05,1,114,0,154,3801,2404,534,37,26
2016-01-06,4,147,0,158,3498,2864,573,25,23
2016-01-07,4,88,0,140,3642,2957,648,23,11
2016-01-08,1,89,0,168,3073,3084,601,24,19
2016-01-09,0,67,0,145,2138,3112,761,38,15
2016-01-10,2,91,0,163,2635,3241,658,18,23
2016-01-11,9,116,0,141,3700,3875,601,21,16
2016-01-12,4,120,0,295,3534,3797,591,8,19
2016-01-13,6,127,0,172,3672,3810,539,14,17
2016-01-14,3,156,0,139,3770,3939,526,9,28
2016-01-15,3,92,0,149,3342,3322,565,21,22
2016-01-16,2,52,0,136,2412,1796,556,5,16
2016-01-17,1,98,0,195,2878,2061,616,3,10
2016-01-18,6,109,0,175,3328,3691,613,8,20
2016-01-19,1,129,0,151,4297,5178,560,10,24
2016-01-20,4,186,0,118,4634,4624,671,14,11
2016-01-21,5,165,0,132,4878,4684,631,11,32
2016-01-22,2,140,0,120,4581,3714,587,6,17
2016-01-23,3,109,0,146,3255,1889,582,13,15
2016-01-24,2,116,0,157,3698,2390,645,4,19
2016-01-25,6,128,0,165,4217,4263,651,9,21
2016-01-26,6,155,0,141,4479,4377,634,9,13
2016-01-27,7,170,0,184,4462,4982,683,6,11
2016-01-28,2,232,0,150,4777,4634,643,6,16
2016-01-29,0,143,0,159,4008,4220,580,2,12
2016-01-30,3,122,0,144,3034,1867,545,4,15
2016-01-31,2,82,0,147,3093,2515,632,5,8
2016-02-01,6,159,0,214,4260,7378,644,8,13
2016-02-02,0,191,0,138,4442,7118,598,8,14
2016-02-03,5,181,0,151,4599,6794,621,12,24
2016-02-04,1,164,0,143,4425,7085,648,5,28
2016-02-05,3,123,0,123,3863,5711,569,8,28
2016-02-06,3,97,0,122,2644,2621,532,7,7
2016-02-07,2,110,0,145,2810,3313,556,4,16
2016-02-08,3,192,0,133,4327,6226,572,5,20
2016-02-09,3,174,0,136,4152,6869,661,6,17
2016-02-10,2,207,0,132,5330,6828,615,4,22
2016-02-11,3,228,0,139,4197,6844,550,11,21
2016-02-12,5,160,0,115,3581,5379,543,4,24
2016-02-13,1,107,0,128,2699,2490,539,6,14
2016-02-14,3,150,0,119,2589,2799,564,5,18
2016-02-15,1,216,0,138,3459,4171,643,2,29
2016-02-16,2,228,0,133,4160,5856,663,6,24
2016-02-17,4,273,0,139,4045,6554,663,2,31
2016-02-18,7,285,0,153,3880,6581,1266,5,22
2016-02-19,2,194,0,162,3332,5942,900,5,14
2016-02-20,5,128,0,175,2806,2602,624,8,12
2016-02-21,1,110,0,152,3012,3616,648,6,16
2016-02-22,0,241,0,185,3990,7307,703,6,21
2016-02-23,2,278,0,165,4086,11285,696,5,19
2016-02-24,2,285,0,153,3803,9820,648,7,26
2016-02-25,6,266,0,106,3779,6946,603,13,20
2016-02-26,4,216,0,114,3233,5134,611,11,19
2016-02-27,1,97,0,132,2229,2491,559,7,23
2016-02-28,3,109,0,184,2518,3419,616,14,13
2016-02-29,0,220,0,149,3832,5832,636,5,19
2016-03-01,2,264,0,189,3698,5328,614,5,29
2016-03-02,3,280,0,154,3728,6044,627,7,16
2016-03-03,4,242,0,170,4084,4836,686,4,9
2016-03-04,1,162,0,140,3477,3864,580,8,20
2016-03-05,3,103,0,136,2352,2054,574,11,16
2016-03-06,3,86,0,142,2857,2314,615,16,10
2016-03-07,3,172,0,168,4800,4409,621,15,15
2016-03-08,1,257,0,174,3823,4457,656,16,14
2016-03-09,1,229,0,241,4005,4224,736,10,18
2016-03-10,5,267,0,192,3761,3936,687,15,17
2016-03-11,1,152,0,173,3441,2933,539,2,16
2016-03-12,2,81,0,176,2723,1693,515,11,11
2016-03-13,0,105,0,202,2687,2044,560,8,12
2016-03-14,1,183,0,189,3475,3533,656,12,12
2016-03-15,1,239,0,163,3466,3506,639,6,30
2016-03-16,0,189,0,163,3750,3372,619,12,23
2016-03-17,2,192,0,133,3875,3300,683,9,19
2016-03-18,1,121,0,132,3210,2589,1197,5,16
2016-03-19,1,90,0,127,2130,1596,693,7,11
2016-03-20,1,123,0,176,2298,4633,558,4,2
2016-03-21,2,179,0,229,3315,3383,632,7,13
2016-03-22,2,212,0,163,3172,3010,558,4,17
2016-03-23,2,187,0,128,2883,2827,582,5,10
2016-03-24,2,183,0,120,2849,2735,707,6,12
2016-03-25,2,152,0,133,2242,1843,624,15,13
2016-03-26,2,86,0,116,2037,1502,480,10,8
2016-03-27,4,120,0,141,2078,1552,580,7,12
2016-03-28,3,201,0,166,2800,2504,672,8,12
2016-03-29,0,220,0,179,2974,2709,636,6,15
2016-03-30,1,272,0,132,3253,2873,621,12,10
2016-03-31,3,175,0,178,3135,2824,613,9,17
2016-04-01,4,101,0,101,2824,2359,530,7,19
2016-04-02,4,68,0,146,2044,1567,582,7,12
2016-04-03,3,104,0,139,2273,1797,580,5,12
2016-04-04,3,240,0,137,3221,3062,623,4,19
2016-04-05,1,241,0,160,3266,3034,608,11,28
2016-04-06,6,219,0,142,3459,2891,623,6,30
2016-04-07,3,207,0,162,3483,3113,598,5,16
2016-04-08,1,157,0,165,2957,2560,569,3,17
2016-04-09,1,101,0,107,2139,1655,520,7,18
2016-04-10,3,102,0,121,2369,2005,571,4,21
2016-04-11,3,248,0,131,3371,3186,602,5,26
2016-04-12,1,206,0,119,3302,3050,664,5,31
2016-04-13,3,254,0,530,3392,2979,617,4,15
2016-04-14,5,228,0,418,3327,2890,548,6,15
2016-04-15,0,161,0,172,2864,2514,564,5,21
2016-04-16,4,86,0,128,1940,1411,509,11,13
2016-04-17,6,101,0,180,2334,1823,599,1,10
2016-04-18,3,174,0,147,7982,3168,616,4,25
2016-04-19,0,179,0,156,5384,2892,587,5,17
2016-04-20,5,140,0,134,4701,3217,640,4,25
2016-04-21,2,185,0,10355,4171,3306,615,4,15
2016-04-22,1,107,0,3243,3246,2620,493,5,16
2016-04-23,0,79,0,226,2427,1607,523,6,11
2016-04-24,1,117,0,193,2748,1836,536,6,16
2016-04-25,1,148,0,170,3660,2948,600,7,9
2016-04-26,2,133,0,162,3558,3107,559,3,10
2016-04-27,1,181,0,327,3792,3067,576,3,13
2016-04-28,2,140,0,175,3523,3037,620,6,16
2016-04-29,2,113,0,152,3015,2536,538,7,17
2016-04-30,1,121,0,138,2061,3583,500,4,10
2016-05-01,1,111,0,170,2341,2765,623,5,9
2016-05-02,2,182,0,1110,3256,3195,740,6,19
2016-05-03,1,166,0,1101,3444,3221,1260,1,19
2016-05-04,3,196,0,265,3354,3358,619,4,20
2016-05-05,2,153,0,213,3437,3164,616,6,13
2016-05-06,2,125,0,199,2859,2740,564,10,25
2016-05-07,2,71,0,157,2021,1496,539,22,14
2016-05-08,0,69,0,145,2346,1573,519,15,19
2016-05-09,1,164,0,157,3190,2930,718,6,22
2016-05-10,6,147,0,203,3245,2952,655,9,18
2016-05-11,1,137,0,160,3299,2639,638,5,18
2016-05-12,3,124,0,153,3178,2667,492,2,22
2016-05-13,0,111,0,128,2735,2253,478,11,17
2016-05-14,3,84,0,174,1894,1370,444,6,13
2016-05-15,2,100,0,140,2170,1845,543,5,19
2016-05-16,3,131,0,141,3053,2577,601,5,20
2016-05-17,3,145,0,145,3230,2552,553,10,26
2016-05-18,4,110,0,123,3239,2566,569,7,17
2016-05-19,5,114,0,159,3328,2562,608,11,22
2016-05-20,4,94,0,140,2702,2077,518,5,10
2016-05-21,5,53,0,135,1940,1346,459,4,18
2016-05-22,1,67,0,193,2292,1534,456,7,9
2016-05-23,1,86,0,152,2916,2731,542,2,15
2016-05-24,1,135,0,173,3018,2454,586,5,18
2016-05-25,0,98,0,174,2871,2240,609,10,16
2016-05-26,1,139,0,173,2755,2101,545,0,20
2016-05-27,6,104,0,130,2446,1662,519,4,13
2016-05-28,1,47,0,110,1930,1169,402,7,20
2016-05-29,2,80,0,157,2118,1227,495,5,9
2016-05-30,3,118,0,137,2626,1532,570,5,19
2016-05-31,5,307,0,131,2982,2004,565,8,8
2016-06-01,5,157,0,156,2806,2042,526,4,13
2016-06-02,0,123,0,152,2835,1998,471,2,25
2016-06-03,2,107,0,103,2349,1552,521,5,22
2016-06-04,3,55,0,137,2269,1449,434,4,19
2016-06-05,39,65,0,151,2158,1647,465,10,23
2016-06-06,9,112,0,134,2720,2046,496,1,24
2016-06-07,11,101,1,130,2686,1990,465,10,21
2016-06-08,3,123,0,124,2976,1889,488,6,8
2016-06-09,4,107,0,146,2734,1878,471,6,15
2016-06-10,3,109,0,120,2286,1593,447,11,15
2016-06-11,8,62,0,112,2027,1199,357,9,14
2016-06-12,3,63,0,130,2060,1486,417,7,13
2016-06-13,7,107,0,131,2569,1700,507,5,16
2016-06-14,2,101,0,112,2724,1682,452,6,17
2016-06-15,2,126,30,108,2973,1732,458,2,23
2016-06-16,1,145,37,136,2788,1474,509,2,29
2016-06-17,2,97,30,133,2216,1215,438,3,17
2016-06-18,1,62,26,144,1756,1041,420,3,16
2016-06-19,4,89,29,129,1987,1527,483,5,21
2016-06-20,11,171,29,154,2434,1657,506,2,9
2016-06-21,5,155,45,110,2459,1562,627,7,12
2016-06-22,1,102,27,109,2294,1646,553,3,13
2016-06-23,0,105,45,101,2501,1474,442,2,11
2016-06-24,2,84,24,335,1914,1157,383,5,13
2016-06-25,3,76,27,198,1685,982,427,4,12
2016-06-26,3,62,20,123,1872,1195,405,4,16
2016-06-27,1,85,38,124,2193,1783,517,5,23
2016-06-28,1,134,24,140,2517,1586,549,3,12
2016-06-29,4,100,32,134,2512,1499,527,3,16
2016-06-30,2,87,28,128,2577,1317,455,11,14
2016-07-01,1,115,40,151,2035,1296,419,3,9
2016-07-02,3,62,32,88,1776,1089,413,2,15
2016-07-03,4,133,1181,108,1824,1222,528,6,11
2016-07-04,1,108,67,108,2230,1311,485,6,14
2016-07-05,3,122,37,101,2183,1363,435,3,16
2016-07-06,1,151,63,92,2321,1490,472,6,15
2016-07-07,5,108,41,125,2280,1721,424,7,16
2016-07-08,7,96,25,132,1937,1893,374,2,8
2016-07-09,3,70,33,140,1635,1629,416,10,11
2016-07-10,3,79,36,147,1835,1616,452,5,7
2016-07-11,4,150,28,151,2238,1864,506,10,11
2016-07-12,4,115,32,108,2484,2152,478,3,19
2016-07-13,3,100,38,114,2260,2305,485,7,8
2016-07-14,4,110,25,92,2284,1932,413,8,8
2016-07-15,4,92,52,101,2103,1578,403,6,24
2016-07-16,1,78,47,109,1666,1200,360,4,9
2016-07-17,10,87,30,145,1852,1370,395,3,17
2016-07-18,14,122,43,129,2356,1757,463,7,12
2016-07-19,6,117,34,119,2408,1725,461,5,15
2016-07-20,3,109,36,103,2293,1663,367,3,11
2016-07-21,6,95,25,111,2333,1689,409,7,10
2016-07-22,2,80,24,116,2036,1248,359,3,18
2016-07-23,1,44,61,347,1629,1226,365,2,14
2016-07-24,2,74,60,111,1843,1328,408,5,14
2016-07-25,6,76,122,92,2303,1664,458,3,17
2016-07-26,26,87,72,114,2275,1639,432,7,15
2016-07-27,1,90,43,137,2371,1605,399,4,12
2016-07-28,22,92,53,100,2221,1617,375,3,16
2016-07-29,25,69,33,106,2043,1433,341,7,19
2016-07-30,106,59,60,92,1687,1409,390,8,18
2016-07-31,12,55,42,140,1937,1324,505,6,13
2016-08-01,3,53,35,142,2315,1414,459,6,16
2016-08-02,12,89,61,120,2384,1493,460,4,27
2016-08-03,13,84,68,134,2361,1543,440,9,24
2016-08-04,2,73,67,135,2383,1387,396,1,16
2016-08-05,6,64,62,144,2072,1243,431,3,17
2016-08-06,8,43,50,127,1746,1205,377,7,17
2016-08-07,6,55,56,102,1879,1227,391,6,10
2016-08-08,8,61,50,108,2197,1362,398,9,12
2016-08-09,3,95,54,117,2328,1369,448,5,17
2016-08-10,9,95,31,129,2246,1281,480,9,19
2016-08-11,3,102,58,103,2265,1232,419,9,17
2016-08-12,4,62,43,153,2034,1195,405,2,13
2016-08-13,2,65,36,96,1541,959,377,5,11
2016-08-14,5,50,49,160,1822,1145,460,5,16
2016-08-15,1,86,60,131,2242,1336,450,8,13
2016-08-16,7,67,44,167,2313,1490,398,3,14
2016-08-17,2,68,47,190,2380,1501,432,5,9
2016-08-18,2,64,31,128,2272,1653,464,5,16
2016-08-19,4,68,43,121,2085,1386,466,5,28
2016-08-20,4,38,38,132,1694,1094,437,4,21
2016-08-21,31,62,44,155,1925,1401,452,9,20
2016-08-22,9,80,56,157,2599,1649,451,6,16
2016-08-23,8,88,43,131,2640,1869,475,7,32
2016-08-24,7,114,40,120,2595,1874,409,3,34
2016-08-25,4,96,33,118,2780,2046,428,5,33
2016-08-26,19,91,44,108,2620,1604,430,5,43
2016-08-27,4,54,35,112,1836,1745,395,9,31
2016-08-28,1,82,55,133,2046,1763,434,6,29
2016-08-29,5,128,48,166,2910,2274,465,4,75
2016-08-30,2,106,38,124,2963,2587,467,0,49
2016-08-31,6,170,35,108,3521,2547,465,8,60
2016-09-01,0,159,46,1174,3200,2477,503,3,110
2016-09-02,4,127,38,333,2695,1960,405,4,124
2016-09-03,4,53,40,146,1910,1240,425,6,50
2016-09-04,5,57,57,151,2180,1498,398,3,40
2016-09-05,3,88,46,134,2758,1858,521,5,27
2016-09-06,1,174,40,154,3602,2377,541,4,34
2016-09-07,3,159,42,126,3518,2430,543,2,21
2016-09-08,6,141,64,99,3498,2710,515,7,23
2016-09-09,4,105,44,143,3144,2212,484,5,19
2016-09-10,4,83,45,138,2070,1518,409,2,17
2016-09-11,1,82,64,131,2903,1784,490,4,24
2016-09-12,2,183,64,124,3555,2784,584,10,18
2016-09-13,1,235,77,231,3703,3088,598,59,16
2016-09-14,0,224,70,129,3894,2957,487,25,25
2016-09-15,4,284,49,123,3786,3108,522,41,18
2016-09-16,2,135,37,121,3494,2544,552,30,46
2016-09-17,2,88,53,152,2182,1508,427,11,35
2016-09-18,8,165,64,119,2608,1948,518,3,30
2016-09-19,1,306,44,129,3959,3161,534,3,25
2016-09-20,6,345,51,189,4275,3340,536,29,31
2016-09-21,2,271,33,167,4215,3227,576,21,24
2016-09-22,7,308,34,126,4101,3997,839,34,139
2016-09-23,3,180,39,128,3330,3045,727,22,15
2016-09-24,4,94,30,118,2152,1903,488,33,23
2016-09-25,5,159,38,148,2592,2165,550,106,27
2016-09-26,8,317,43,234,3813,3937,631,74,86
2016-09-27,4,346,43,124,4414,6159,541,49,41
2016-09-28,11,411,43,136,4282,3958,552,18,79
2016-09-29,10,485,37,140,4333,3942,540,28,105
2016-09-30,4,238,37,129,3347,2979,509,22,187
2016-10-01,3,144,45,128,2011,1571,507,33,296
2016-10-02,3,163,32,144,2625,2078,513,25,174
2016-10-03,2,399,48,171,3811,3382,651,80,190
2016-10-04,4,417,40,155,4141,3632,590,16,225
2016-10-05,1,417,63,139,4042,3890,614,21,466
2016-10-06,1,394,43,132,3824,3661,533,20,901
2016-10-07,3,246,40,145,3242,2928,478,17,763
2016-10-08,18,150,49,113,1991,1721,388,44,236
2016-10-09,2,159,43,114,2438,1891,525,95,141
2016-10-10,3,369,50,150,3588,3113,476,99,64
2016-10-11,5,427,81,102,4135,3596,541,98,64
2016-10-12,4,511,170,167,3975,3614,564,156,49
2016-10-13,9,466,115,138,3914,3921,490,100,69
2016-10-14,3,279,63,119,3470,2910,507,97,39
2016-10-15,5,149,61,113,2163,1607,545,112,26
2016-10-16,7,196,64,132,2758,2263,562,80,32
2016-10-17,3,356,91,97,4165,3738,579,110,37
2016-10-18,7,524,61,124,4233,3679,574,113,44
2016-10-19,3,453,40,150,4110,3371,528,97,28
2016-10-20,3,401,55,125,3942,3461,511,105,36
2016-10-21,2,361,62,103,3267,2878,585,74,23
2016-10-22,2,293,38,119,2192,1675,434,91,14
2016-10-23,1,295,60,153,2671,2122,484,73,21
2016-10-24,6,579,81,117,3957,3768,1057,111,28
2016-10-25,2,472,92,144,4363,3967,546,141,26
2016-10-26,3,474,87,122,4167,3595,586,117,26
2016-10-27,2,453,65,143,4146,3943,528,117,34
2016-10-28,2,241,51,206,3349,2793,513,135,35
2016-10-29,8,148,94,132,2096,1524,433,123,16
2016-10-30,4,182,69,150,2595,1999,514,117,17
2016-10-31,5,365,73,184,3623,3236,587,83,26
2016-11-01,5,419,73,118,4028,3571,592,86,20
2016-11-02,3,437,51,128,3994,3376,567,106,19
2016-11-03,3,305,59,143,5194,3274,566,74,18
2016-11-04,1,213,52,138,3420,2658,470,57,18
2016-11-05,8,118,38,152,2312,1582,431,18,6
2016-11-06,4,181,43,142,2778,1908,531,20,10
2016-11-07,1,304,72,154,4082,3381,580,25,15
2016-11-08,1,373,37,146,4051,3339,577,33,32
2016-11-09,2,261,36,146,3750,3097,464,19,22
2016-11-10,5,254,51,183,3877,3194,449,22,33
2016-11-11,6,176,53,182,2778,2531,486,18,23
2016-11-12,8,115,47,240,2096,1774,495,17,15
2016-11-13,0,176,55,165,4004,2237,546,24,16
2016-11-14,5,299,69,176,4024,3520,570,37,23
2016-11-15,0,221,44,151,4053,3718,627,26,40
2016-11-16,3,283,47,142,4197,3621,593,22,39
2016-11-17,1,247,55,203,3808,3481,632,12,28
2016-11-18,4,183,44,150,3411,2925,556,15,24
2016-11-19,8,92,48,140,2267,1615,470,30,16
2016-11-20,8,123,72,147,2661,1949,516,16,15
