Date,"Gods' Man","Michael Francis Egan","Washington v. Texas","The Founding Ceremony of the Nation","1926 World Series","Confusion (album)","2005 Azores subtropical storm","Cosmo Gordon Lang","Joehana"
2015-12-03,24,2,8,0,37,21,14,53,6
2015-12-04,27,4,25,0,53,40,47,64,9
2015-12-05,25,2,23,0,41,33,22,93,12
2015-12-06,112,11,16,0,43,27,12,170,8
2015-12-07,36,9,27,0,35,37,9,118,4
2015-12-08,40,4,29,0,48,32,8,216,5
2015-12-09,39,4,24,0,51,44,20,65,11
2015-12-10,32,3,23,0,48,39,20,92,7
2015-12-11,29,6,21,0,60,22,18,95,9
2015-12-12,39,7,18,0,47,35,17,75,14
2015-12-13,38,5,13,0,42,35,10,71,6
2015-12-14,32,1,17,0,52,38,29,110,6
2015-12-15,25,6,26,0,60,53,42,78,10
2015-12-16,32,1,15,0,48,23,25,64,10
2015-12-17,31,8,11,0,46,37,23,46,4
2015-12-18,25,16,12,0,33,32,24,74,8
2015-12-19,27,1,13,0,38,31,13,60,12
2015-12-20,23,5,3,0,33,21,12,65,3
2015-12-21,20,18,10,0,34,31,11,90,2
2015-12-22,23,1,11,0,34,33,8,73,8
2015-12-23,15,4,10,0,36,29,11,61,3
2015-12-24,12,5,5,0,33,21,9,59,4
2015-12-25,16,3,5,0,26,24,11,77,6
2015-12-26,19,8,14,0,38,34,12,78,8
2015-12-27,20,8,6,0,26,34,14,91,7
2015-12-28,35,3,11,0,36,46,9,74,4
2015-12-29,30,1,20,0,34,29,9,100,12
2015-12-30,28,4,8,0,39,49,35,93,8
2015-12-31,21,5,7,0,44,29,13,73,4
2016-01-01,22,0,9,0,41,25,10,92,13
2016-01-02,26,2,5,0,93,37,11,67,5
2016-01-03,28,5,12,0,58,35,8,100,5
2016-01-04,30,3,19,0,48,43,17,108,17
2016-01-05,47,10,15,0,42,26,10,89,10
2016-01-06,23,15,13,0,49,43,23,85,10
2016-01-07,19,12,15,0,54,24,17,102,5
2016-01-08,33,5,13,0,53,46,14,85,8
2016-01-09,35,2,9,0,36,29,15,87,4
2016-01-10,29,3,11,0,46,41,11,111,8
2016-01-11,36,7,16,0,47,17,12,98,6
2016-01-12,21,2,12,0,54,27,9,80,5
2016-01-13,16,5,10,0,64,24,18,59,5
2016-01-14,22,5,14,0,95,32,110,81,7
2016-01-15,27,4,18,0,73,34,84,114,8
2016-01-16,25,6,15,0,41,27,60,96,9
2016-01-17,17,6,6,0,56,24,31,77,5
2016-01-18,33,4,12,0,45,29,22,71,8
2016-01-19,38,6,13,0,40,29,25,65,8
2016-01-20,23,2,22,0,43,38,14,63,4
2016-01-21,40,4,18,0,60,46,25,94,13
2016-01-22,36,0,16,0,145,51,13,78,6
2016-01-23,45,1,14,0,55,55,15,84,10
2016-01-24,44,3,13,0,60,51,15,238,5
2016-01-25,32,16,11,0,79,38,26,653,10
2016-01-26,24,6,13,0,69,36,18,693,5
2016-01-27,34,6,42,0,62,37,15,126,7
2016-01-28,36,6,22,0,71,55,17,177,6
2016-01-29,26,7,14,0,50,39,10,106,3
2016-01-30,38,2,15,0,48,46,19,95,10
2016-01-31,28,3,6,0,45,41,19,115,2
2016-02-01,32,5,27,0,53,43,11,103,4
2016-02-02,30,4,12,0,54,49,11,72,20
2016-02-03,30,6,19,0,82,26,10,83,5
2016-02-04,17,4,10,0,80,29,11,105,3
2016-02-05,23,6,17,0,42,37,12,78,8
2016-02-06,19,2,7,0,64,35,11,138,8
2016-02-07,28,1,12,0,47,49,19,101,9
2016-02-08,36,2,11,0,59,28,14,132,7
2016-02-09,23,8,20,0,49,37,8,90,7
2016-02-10,27,7,35,0,69,40,15,87,11
2016-02-11,30,6,26,0,58,45,12,96,7
2016-02-12,26,5,27,0,58,35,15,82,9
2016-02-13,24,5,25,0,41,28,14,72,8
2016-02-14,27,5,7,0,41,28,11,89,6
2016-02-15,35,7,26,0,63,53,19,99,10
2016-02-16,30,2,22,0,37,49,7,77,4
2016-02-17,28,6,23,0,38,38,11,73,11
2016-02-18,36,1,23,0,41,40,9,71,5
2016-02-19,35,8,16,0,57,32,18,69,8
2016-02-20,23,4,7,0,52,45,18,89,6
2016-02-21,29,2,25,0,62,40,14,109,5
2016-02-22,32,1,16,0,51,38,13,85,3
2016-02-23,40,2,17,0,59,39,13,90,7
2016-02-24,41,3,15,0,43,28,8,91,3
2016-02-25,37,5,17,0,54,24,13,76,7
2016-02-26,57,2,21,0,60,33,19,83,7
2016-02-27,25,6,11,0,38,28,15,85,8
2016-02-28,44,2,16,0,54,36,16,96,15
2016-02-29,39,2,20,0,61,43,28,78,10
2016-03-01,49,4,20,0,53,70,16,80,5
2016-03-02,31,1,14,0,69,44,12,68,6
2016-03-03,27,3,14,0,62,39,11,94,3
2016-03-04,28,7,25,0,55,36,7,81,4
2016-03-05,41,3,14,0,49,42,24,97,10
2016-03-06,37,4,14,0,47,34,9,106,6
2016-03-07,30,3,15,0,61,49,8,118,7
2016-03-08,31,5,16,0,51,52,11,94,7
2016-03-09,43,1,23,0,71,45,15,85,7
2016-03-10,29,9,20,0,55,39,8,88,6
2016-03-11,28,4,17,0,40,28,8,99,8
2016-03-12,34,3,17,0,52,31,11,83,10
2016-03-13,29,2,10,0,41,39,10,90,5
2016-03-14,39,9,10,0,44,38,7,108,5
2016-03-15,27,7,20,0,82,45,21,76,11
2016-03-16,26,3,13,0,54,49,13,64,6
2016-03-17,32,7,10,0,43,41,13,91,8
2016-03-18,21,3,15,0,47,26,12,86,4
2016-03-19,21,1,16,0,51,34,17,76,7
2016-03-20,30,2,7,0,41,41,9,84,4
2016-03-21,36,8,24,0,67,44,12,88,6
2016-03-22,32,7,13,0,59,37,11,92,6
2016-03-23,26,5,25,0,51,43,13,67,5
2016-03-24,26,2,16,0,47,33,6,82,6
2016-03-25,27,0,14,0,63,32,11,122,7
2016-03-26,31,0,19,0,46,29,12,89,6
2016-03-27,22,2,15,0,57,42,10,113,8
2016-03-28,40,3,16,0,59,42,15,117,7
2016-03-29,42,9,20,0,62,27,4,76,4
2016-03-30,48,3,24,0,50,36,10,71,9
2016-03-31,31,5,19,0,62,28,18,70,11
2016-04-01,31,4,35,0,72,39,11,70,5
2016-04-02,22,9,13,0,50,42,14,73,9
2016-04-03,27,8,24,0,49,48,13,72,9
2016-04-04,45,4,26,0,733,44,14,103,6
2016-04-05,41,2,20,0,78,44,11,117,8
2016-04-06,32,3,25,0,52,37,15,97,8
2016-04-07,24,6,20,0,77,41,8,58,3
2016-04-08,29,8,21,0,63,41,9,77,5
2016-04-09,31,73,16,0,69,41,26,169,19
2016-04-10,27,16,25,0,75,42,16,110,18
2016-04-11,26,53,31,0,102,36,9,89,14
2016-04-12,39,45,22,0,107,41,18,101,8
2016-04-13,20,10,26,0,75,48,13,80,17
2016-04-14,35,17,40,0,104,50,19,90,14
2016-04-15,31,6,20,0,97,34,16,88,8
2016-04-16,23,9,10,0,77,37,11,87,12
2016-04-17,28,15,20,0,69,42,9,108,8
2016-04-18,19,10,33,0,101,38,12,91,5
2016-04-19,26,10,36,0,89,49,13,82,8
2016-04-20,27,6,20,0,90,44,17,93,9
2016-04-21,22,2,15,0,82,47,16,195,8
2016-04-22,35,7,25,0,93,40,20,111,12
2016-04-23,13,7,11,0,63,36,18,100,7
2016-04-24,28,2,17,0,69,51,17,103,14
2016-04-25,23,5,12,0,63,37,12,109,1
2016-04-26,21,3,25,0,103,56,18,91,6
2016-04-27,26,11,29,0,94,45,16,105,7
2016-04-28,24,8,18,0,402,46,11,95,9
2016-04-29,22,4,14,0,96,35,9,70,7
2016-04-30,5,3,15,0,92,29,6,98,9
2016-05-01,23,3,19,0,85,39,7,128,3
2016-05-02,22,12,16,0,97,38,11,89,6
2016-05-03,25,2,19,0,98,40,13,87,10
2016-05-04,28,5,20,0,98,44,19,94,11
2016-05-05,32,2,34,0,95,34,18,89,9
2016-05-06,27,3,22,0,64,44,13,68,9
2016-05-07,19,5,18,0,76,37,23,69,9
2016-05-08,19,3,14,0,85,37,10,74,5
2016-05-09,21,2,20,0,117,52,27,78,8
2016-05-10,23,25,22,0,86,48,15,78,7
2016-05-11,36,5,31,0,128,40,15,66,13
2016-05-12,35,4,22,0,81,31,11,52,5
2016-05-13,18,10,32,0,79,27,16,57,5
2016-05-14,29,4,16,0,75,31,31,212,13
2016-05-15,25,7,13,0,91,29,23,128,9
2016-05-16,29,5,8,0,86,41,22,87,4
2016-05-17,25,5,16,0,80,38,22,90,7
2016-05-18,23,7,23,0,92,38,19,94,4
2016-05-19,31,2,22,0,96,37,28,116,8
2016-05-20,22,7,13,0,74,27,20,65,7
2016-05-21,23,7,16,0,63,36,18,102,14
2016-05-22,19,3,11,0,80,29,13,91,7
2016-05-23,30,9,24,0,96,36,24,119,12
2016-05-24,27,5,21,0,84,34,25,78,6
2016-05-25,35,4,16,0,86,48,26,97,13
2016-05-26,36,7,31,0,83,45,24,90,15
2016-05-27,27,17,16,0,77,22,23,84,4
2016-05-28,17,22,11,0,71,31,20,62,8
2016-05-29,18,7,14,0,68,43,21,90,8
2016-05-30,26,16,17,0,79,37,24,114,13
2016-05-31,27,71,16,0,68,21,12,107,8
2016-06-01,25,106,11,0,89,33,21,87,11
2016-06-02,35,79,17,0,86,55,36,102,16
2016-06-03,27,61,16,0,73,34,26,98,9
2016-06-04,23,70,13,0,88,33,22,73,6
2016-06-05,25,64,7,0,68,40,30,95,8
2016-06-06,28,91,10,0,65,38,44,76,7
2016-06-07,27,70,7,0,71,44,31,75,8
2016-06-08,33,59,9,0,64,35,28,88,6
2016-06-09,26,68,8,0,70,29,17,73,5
2016-06-10,20,66,10,0,50,33,21,78,6
2016-06-11,19,59,12,0,55,26,17,131,3
2016-06-12,21,69,14,0,60,34,17,116,8
2016-06-13,34,74,19,0,59,33,24,92,10
2016-06-14,28,83,21,0,60,33,22,84,13
2016-06-15,27,89,13,0,57,38,20,81,7
2016-06-16,59,92,13,0,68,32,21,86,9
2016-06-17,27,78,15,0,76,27,11,65,8
2016-06-18,21,81,20,0,73,27,25,86,11
2016-06-19,23,71,17,0,127,38,22,93,14
2016-06-20,32,69,15,0,90,31,18,66,8
2016-06-21,29,110,22,0,93,34,28,78,11
2016-06-22,19,77,10,0,162,31,20,65,6
2016-06-23,31,85,10,0,83,34,15,81,4
2016-06-24,23,71,12,0,55,28,13,71,6
2016-06-25,26,76,15,0,82,24,14,80,7
2016-06-26,15,64,8,0,62,31,20,95,4
2016-06-27,30,88,18,0,70,40,16,76,9
2016-06-28,34,92,7,0,84,31,10,85,2
2016-06-29,39,84,14,0,89,48,15,137,8
2016-06-30,27,63,13,0,85,26,12,69,6
2016-07-01,35,77,6,0,70,48,13,50,5
2016-07-02,26,73,8,0,119,32,12,65,9
2016-07-03,22,56,17,0,62,30,10,86,11
2016-07-04,36,49,11,0,160,46,25,87,14
2016-07-05,32,13,13,0,373,30,13,78,4
2016-07-06,37,16,11,0,120,29,13,75,12
2016-07-07,24,9,8,0,66,34,9,87,6
2016-07-08,27,6,8,0,62,28,11,104,5
2016-07-09,19,15,13,0,58,33,16,78,6
2016-07-10,24,7,10,0,1189,29,15,77,4
2016-07-11,34,17,13,0,137,38,16,558,7
2016-07-12,28,24,14,0,148,43,16,359,12
2016-07-13,22,8,4,0,83,28,12,116,3
2016-07-14,19,13,12,0,74,39,13,80,6
2016-07-15,18,19,13,0,64,34,15,83,7
2016-07-16,14,5,6,0,77,26,18,60,4
2016-07-17,23,8,15,0,96,26,21,89,8
2016-07-18,32,12,16,0,87,33,23,77,5
2016-07-19,38,8,10,0,72,38,20,61,8
2016-07-20,22,6,14,0,84,20,8,71,1
2016-07-21,19,3,15,0,70,27,14,69,9
2016-07-22,23,8,11,0,76,39,13,73,7
2016-07-23,24,6,10,0,83,24,12,70,4
2016-07-24,26,8,12,0,84,25,12,416,7
2016-07-25,18,14,16,0,77,45,23,164,10
2016-07-26,31,12,14,0,79,38,24,88,11
2016-07-27,20,13,6,0,72,27,11,71,3
2016-07-28,33,11,18,0,167,22,25,74,9
2016-07-29,25,11,15,0,98,38,29,71,13
2016-07-30,20,13,9,0,75,34,15,87,7
2016-07-31,24,13,11,0,60,29,17,76,12
2016-08-01,21,9,12,0,86,23,14,82,4
2016-08-02,29,8,12,0,69,39,12,73,6
2016-08-03,32,12,12,0,73,32,20,240,10
2016-08-04,13,7,9,0,51,27,22,66,4
2016-08-05,22,13,11,0,60,39,18,92,11
2016-08-06,17,13,15,0,71,28,19,70,10
2016-08-07,21,6,13,0,71,28,17,78,5
2016-08-08,21,4,6,0,58,25,15,87,3
2016-08-09,27,13,20,0,66,32,22,68,7
2016-08-10,27,6,9,0,44,39,8,75,6
2016-08-11,26,8,9,0,46,32,13,87,10
2016-08-12,24,4,10,0,70,21,13,52,6
2016-08-13,18,6,5,0,67,34,16,69,4
2016-08-14,15,12,10,0,51,33,14,78,8
2016-08-15,16,10,10,0,58,40,18,66,7
2016-08-16,27,5,13,0,70,38,10,63,7
2016-08-17,32,5,6,0,64,29,11,58,5
2016-08-18,23,15,12,0,48,32,19,67,8
2016-08-19,19,11,13,0,56,28,18,111,12
2016-08-20,20,11,9,0,51,36,18,63,11
2016-08-21,29,19,26,0,66,36,28,106,14
2016-08-22,19,17,12,0,42,42,22,119,13
2016-08-23,31,13,14,0,63,33,34,94,10
2016-08-24,31,10,14,0,55,42,33,1131,9
2016-08-25,15,11,10,0,52,30,23,185,6
2016-08-26,21,13,12,0,74,31,28,118,9
2016-08-27,23,14,16,0,161,35,24,94,13
2016-08-28,22,10,17,0,309,29,29,103,7
2016-08-29,19,13,16,0,75,33,38,95,9
2016-08-30,28,16,14,0,87,27,61,83,8
2016-08-31,29,12,10,0,57,39,52,85,9
2016-09-01,21,14,16,0,95,30,56,72,11
2016-09-02,27,9,16,0,80,43,69,85,10
2016-09-03,21,7,13,0,40,32,40,99,9
2016-09-04,26,9,12,0,40,43,28,98,7
2016-09-05,30,12,13,0,42,42,26,120,9
2016-09-06,24,8,33,0,71,25,28,84,10
2016-09-07,15,12,30,0,69,58,21,254,3
2016-09-08,25,10,24,0,53,39,30,95,10
2016-09-09,26,16,29,0,51,35,23,76,8
2016-09-10,33,8,27,0,65,28,19,89,6
2016-09-11,26,4,25,0,48,24,21,122,2
2016-09-12,39,14,38,0,83,39,15,102,11
2016-09-13,64,12,26,0,56,58,26,71,14
2016-09-14,41,9,17,0,67,47,28,62,9
2016-09-15,28,4,12,0,51,22,30,61,8
2016-09-16,26,9,23,0,40,42,33,63,9
2016-09-17,22,7,8,0,57,26,21,72,5
2016-09-18,30,12,20,0,57,27,27,85,10
2016-09-19,33,9,17,0,61,26,29,70,7
2016-09-20,29,11,8,0,54,38,15,72,4
2016-09-21,29,8,11,0,56,34,16,66,6
2016-09-22,184,115,188,0,97,145,62,177,118
2016-09-23,40,12,9,0,185,29,19,319,6
2016-09-24,36,10,15,0,66,26,18,67,13
2016-09-25,20,3,3,0,56,14,13,71,3
2016-09-26,24,17,15,0,77,24,21,66,8
2016-09-27,36,8,15,0,70,27,25,54,4
2016-09-28,35,13,19,0,73,45,26,81,12
2016-09-29,48,18,25,0,59,36,27,71,8
2016-09-30,66,7,15,0,84,21,17,68,5
2016-10-01,38,10,8,0,60,23,37,61,5
2016-10-02,33,11,18,0,88,34,23,75,7
2016-10-03,35,8,22,0,84,33,32,60,4
2016-10-04,29,9,11,0,75,34,33,97,7
2016-10-05,31,7,15,0,136,28,57,81,4
2016-10-06,21,34,17,0,201,32,129,84,5
2016-10-07,31,15,19,0,130,21,148,70,8
2016-10-08,23,14,14,0,112,38,103,82,11
2016-10-09,22,15,18,0,122,39,74,76,9
2016-10-10,36,13,25,0,141,30,59,77,16
2016-10-11,24,16,15,0,152,32,45,60,7
2016-10-12,35,10,28,0,152,29,44,57,11
2016-10-13,20,16,21,0,94,21,65,77,10
2016-10-14,27,13,16,0,196,29,47,72,9
2016-10-15,16,12,17,0,117,36,51,66,10
2016-10-16,19,11,10,0,186,29,34,82,8
2016-10-17,26,9,10,0,201,34,31,80,5
2016-10-18,38,21,19,0,131,41,35,87,12
2016-10-19,32,10,10,0,160,26,28,71,4
2016-10-20,21,10,28,0,144,33,20,77,9
2016-10-21,27,11,21,0,157,28,20,76,5
2016-10-22,23,9,8,0,129,29,18,75,5
2016-10-23,29,6,13,0,306,25,23,74,4
2016-10-24,23,10,18,0,169,32,26,75,10
2016-10-25,27,10,22,0,178,48,22,70,12
2016-10-26,27,8,22,0,300,36,16,73,7
2016-10-27,57,12,20,0,237,29,22,79,5
2016-10-28,34,15,17,0,127,33,26,61,17
2016-10-29,46,8,9,0,207,31,29,75,6
2016-10-30,24,7,14,0,325,31,21,76,9
2016-10-31,19,16,13,0,350,35,23,78,8
2016-11-01,33,15,15,0,184,35,19,66,10
2016-11-02,24,9,16,0,630,24,18,83,7
2016-11-03,40,9,15,0,1259,32,31,73,9
2016-11-04,41,6,14,0,367,38,24,139,8
2016-11-05,56,10,9,0,190,31,12,233,3
2016-11-06,64,5,6,0,173,22,11,274,4
2016-11-07,53,7,13,0,114,33,16,251,7
2016-11-08,50,15,23,0,110,48,29,248,18
2016-11-09,35,10,17,0,82,24,27,134,9
2016-11-10,33,10,23,0,93,32,25,165,8
2016-11-11,41,9,13,0,98,42,14,288,9
2016-11-12,35,6,11,0,74,28,15,203,9
2016-11-13,47,7,16,0,56,30,13,203,10
2016-11-14,33,13,10,0,89,38,21,197,10
2016-11-15,55,13,20,0,72,27,19,169,11
2016-11-16,37,7,17,0,64,37,22,140,5
2016-11-17,53,11,16,0,175,26,16,135,4
2016-11-18,51,11,12,0,80,28,19,153,12
2016-11-19,36,18,18,0,92,26,26,143,12
2016-11-20,27,11,5,0,51,18,17,194,6
2016-11-21,45,10,19,0,85,23,13,160,6
2016-11-22,33,11,11,0,78,41,24,147,9
2016-11-23,18,7,5,0,44,26,14,149,5
2016-11-24,24,8,12,0,64,28,30,149,9
2016-11-25,23,14,17,0,75,43,26,125,5
2016-11-26,21,9,13,0,164,33,25,153,8
2016-11-27,28,14,16,0,55,35,24,174,10
2016-11-28,35,9,12,0,65,34,21,156,5
2016-11-29,37,17,31,0,61,34,17,143,10
2016-11-30,29,7,22,0,46,31,19,144,5
2016-12-01,42,11,55,0,55,26,23,156,9
2016-12-02,44,9,21,0,52,28,18,112,8
2016-12-03,34,12,19,0,50,25,20,140,10
2016-12-04,27,13,22,0,64,35,24,1577,13
2016-12-05,38,16,33,0,43,37,32,260,9
2016-12-06,27,12,32,0,44,37,17,204,10
2016-12-07,30,8,28,0,59,28,18,135,5
2016-12-08,31,14,21,0,56,35,18,572,11
2016-12-09,35,19,25,0,60,32,23,320,14
2016-12-10,33,12,18,0,62,28,14,229,7
2016-12-11,22,6,20,0,38,31,15,208,10
2016-12-12,38,16,26,0,45,40,20,187,13
2016-12-13,28,7,14,0,57,44,10,136,6
2016-12-14,49,9,30,0,68,36,21,156,9
2016-12-15,44,11,21,0,46,18,22,155,8
2016-12-16,33,14,19,0,43,34,22,158,13
2016-12-17,24,15,16,0,41,33,19,685,11
2016-12-18,26,9,15,0,51,30,17,185,8
2016-12-19,31,10,14,0,55,31,16,151,8
2016-12-20,34,13,12,0,54,30,24,128,9
2016-12-21,33,7,16,0,59,40,24,136,8
2016-12-22,25,9,14,0,56,38,23,162,9
2016-12-23,27,12,10,0,664,24,18,156,9
2016-12-24,33,7,7,0,560,18,186,129,6
2016-12-25,24,12,9,0,81,156,12,149,10
2016-12-26,212,5,6,0,76,25,13,657,96
2016-12-27,29,7,337,0,41,35,15,133,5
2016-12-28,21,11,8,0,67,38,13,155,5
2016-12-29,28,11,17,0,59,34,18,191,11
2016-12-30,21,8,7,0,41,25,5,163,4
2016-12-31,16,4,6,0,50,25,7,157,1
2017-01-01,7817,9,5,0,49,28,14,157,4
2017-01-02,518,4,9,0,37,33,5,201,3
