Date,"Subtropical Storm Andrea (2007)","White-rumped swallow","Dr. Jekyll and Mr. Hyde (1887 play)","John Sherman","Belgium national football team","Kuiper belt","Manuel Marques de Sousa, Count of Porto Alegre","John Gielgud","The Magazine of Fantasy"
2015-09-20,20,6,0,108,2046,1170,13,953,1246
2015-09-21,23,5,0,109,1530,1343,12,972,1075
2015-09-22,26,5,0,103,1418,1223,19,876,1592
2015-09-23,28,5,0,94,1426,1110,32,703,1151
2015-09-24,20,5,0,71,1331,1220,12,714,1524
2015-09-25,11,5,0,104,1369,1460,13,649,1767
2015-09-26,16,6,0,61,1958,1077,9,778,1286
2015-09-27,27,6,0,66,1502,1091,17,971,1370
2015-09-28,14,8,0,100,1785,1604,12,873,1580
2015-09-29,28,2,0,115,1626,2008,19,781,1746
2015-09-30,27,4,0,116,1586,1224,13,746,981
2015-10-01,62,1,0,104,1823,1382,15,820,22
2015-10-02,46,2,0,74,2441,1473,13,906,65
2015-10-03,48,4,0,63,2465,1125,17,875,138
2015-10-04,26,7,0,70,3158,1095,12,872,229
2015-10-05,33,18,0,110,2487,1340,17,903,98
2015-10-06,33,1,0,129,2659,1354,17,790,56
2015-10-07,32,5,0,114,2603,1749,20,666,161
2015-10-08,30,3,0,130,2565,2063,15,701,299
2015-10-09,34,2,0,91,2924,2333,19,779,219
2015-10-10,25,4,0,61,6450,1249,10,1128,82
2015-10-11,22,2,0,91,6268,1208,4,1293,87
2015-10-12,28,3,0,84,4708,1433,16,1229,242
2015-10-13,24,6,0,89,7603,1404,12,985,214
2015-10-14,24,3,0,111,11473,1385,13,869,180
2015-10-15,24,1,0,104,4849,1738,15,910,172
2015-10-16,22,2,0,67,3161,1711,8,736,119
2015-10-17,12,3,0,57,4334,1279,13,871,105
2015-10-18,21,1,0,90,2673,1365,12,848,142
2015-10-19,29,2,0,82,2263,1675,13,750,167
2015-10-20,25,2,0,121,2301,1390,15,916,144
2015-10-21,21,4,0,103,2410,1517,9,771,111
2015-10-22,23,6,0,108,2936,1369,9,744,135
2015-10-23,61,1,0,102,2014,1568,20,1087,380
2015-10-24,91,5,0,171,2413,990,10,1058,60
2015-10-25,62,3,0,124,3104,1110,17,1223,75
2015-10-26,51,6,0,104,2034,1500,15,901,65
2015-10-27,31,6,0,105,1666,1315,13,890,86
2015-10-28,44,6,0,128,1758,1292,15,1090,157
2015-10-29,35,4,0,135,1810,1324,17,900,60
2015-10-30,38,3,0,571,1703,1150,24,838,68
2015-10-31,31,5,0,101,2107,926,16,1042,100
2015-11-01,32,4,0,67,2149,978,12,1058,107
2015-11-02,33,6,0,109,2094,1283,7,935,90
2015-11-03,27,6,0,281,2079,1454,9,885,61
2015-11-04,30,3,0,128,1727,1280,12,819,194
2015-11-05,17,4,0,117,5432,1425,9,1011,193
2015-11-06,27,4,0,91,4152,1289,14,795,130
2015-11-07,31,3,0,77,3194,1037,15,876,194
2015-11-08,16,13,0,68,3631,1077,8,896,654
2015-11-09,19,4,0,106,3825,1331,6,943,1029
2015-11-10,21,1,0,108,3828,1559,11,826,1673
2015-11-11,18,4,0,117,3674,1608,18,837,1600
2015-11-12,38,4,0,105,3999,1870,22,764,471
2015-11-13,28,2,0,82,6819,1332,11,801,147
2015-11-14,18,5,0,64,6606,1016,14,801,267
2015-11-15,20,6,0,83,4428,1312,14,798,200
2015-11-16,25,1,0,113,4343,1257,18,857,207
2015-11-17,24,3,0,128,5367,1259,13,837,164
2015-11-18,20,2,0,125,3974,1355,13,787,164
2015-11-19,20,7,0,118,2922,1207,13,807,633
2015-11-20,13,1,0,134,2415,1123,12,829,296
2015-11-21,17,4,0,96,2931,856,10,891,258
2015-11-22,17,1,0,146,2698,942,20,876,455
2015-11-23,13,14,0,133,2326,1157,11,771,529
2015-11-24,22,3,0,129,1980,1124,14,945,319
2015-11-25,19,5,0,116,2111,1040,9,1492,713
2015-11-26,15,2,0,92,1916,819,13,1766,402
2015-11-27,20,3,0,98,1941,789,8,866,770
2015-11-28,16,5,0,85,1945,731,10,1024,403
2015-11-29,13,2,0,108,2309,821,14,1102,463
2015-11-30,15,2,0,121,1743,991,9,929,320
2015-12-01,23,2,0,150,2142,1092,11,878,369
2015-12-02,24,4,0,115,2093,1151,16,839,325
2015-12-03,14,1,0,99,2762,984,9,729,609
2015-12-04,23,8,0,100,2081,1064,13,814,721
2015-12-05,16,8,0,85,2058,1708,13,877,534
2015-12-06,13,4,0,98,1804,1585,6,940,389
2015-12-07,7,3,0,122,1794,1975,12,969,541
2015-12-08,13,3,0,130,1912,1989,8,861,717
2015-12-09,22,5,0,147,1894,1598,15,841,630
2015-12-10,15,1,0,144,1902,1537,8,1208,293
2015-12-11,16,7,0,129,1996,1521,17,1388,838
2015-12-12,19,2,0,103,5783,973,16,1078,579
2015-12-13,17,4,0,96,4916,1032,8,1243,441
2015-12-14,11,8,0,121,3207,1355,10,1073,1004
2015-12-15,10,1,0,123,2357,1332,11,1037,513
2015-12-16,11,3,0,118,1908,1168,15,1175,452
2015-12-17,15,6,0,125,1765,1211,9,946,734
2015-12-18,13,4,0,103,1534,901,14,1075,811
2015-12-19,8,0,0,74,1639,715,13,1566,516
2015-12-20,7,7,0,111,1690,721,11,1340,414
2015-12-21,8,2,0,117,1829,848,4,1156,6
2015-12-22,9,7,0,90,1570,907,8,1076,1
2015-12-23,13,5,0,77,1431,856,39,1123,4
2015-12-24,14,1,0,82,1319,752,8,1043,2
2015-12-25,8,5,0,64,1350,657,9,1199,3
2015-12-26,17,5,0,84,2652,731,10,1607,4
2015-12-27,10,2,0,113,2117,775,29,1683,2
2015-12-28,11,12,0,88,2428,958,10,1268,0
2015-12-29,18,9,0,115,2363,898,19,1156,4
2015-12-30,13,4,0,79,2227,845,8,1342,2
2015-12-31,16,6,0,125,1711,843,6,1113,8
2016-01-01,21,8,0,111,1556,813,19,1314,1
2016-01-02,12,5,0,142,2178,945,6,1298,201
2016-01-03,8,4,0,103,2654,868,8,1410,3
2016-01-04,9,4,0,152,2016,964,15,1082,2
2016-01-05,12,5,0,131,1835,1196,34,965,3
2016-01-06,13,6,0,127,2141,1466,12,937,3
2016-01-07,13,6,0,106,2409,1113,8,949,3
2016-01-08,26,8,0,107,2179,1166,14,1016,3
2016-01-09,12,4,0,81,2081,948,9,1144,6
2016-01-10,24,2,0,86,1850,1323,8,1076,1
2016-01-11,22,4,0,110,1635,1119,12,1261,17
2016-01-12,16,1,0,195,1564,1249,12,1009,5
2016-01-13,26,7,0,120,1729,1335,7,1040,3
2016-01-14,45,4,0,150,1556,1205,9,1237,5
2016-01-15,51,3,0,113,1275,1167,13,1142,8
2016-01-16,24,6,0,53,1892,877,14,1021,6
2016-01-17,18,5,0,82,1968,838,8,1724,6
2016-01-18,20,3,0,97,2071,1032,13,1040,9
2016-01-19,26,6,0,88,1722,1280,8,939,5
2016-01-20,22,4,0,195,1771,8293,9,962,12
2016-01-21,27,1,0,155,1486,18349,18,949,9
2016-01-22,20,8,0,125,1432,7200,12,2277,13
2016-01-23,17,5,0,81,1715,4506,12,1187,16
2016-01-24,18,2,0,88,1935,3624,11,1201,9
2016-01-25,20,5,0,139,1508,3914,18,993,15
2016-01-26,11,5,0,193,1833,3667,7,1085,9
2016-01-27,12,5,0,159,1704,3093,8,953,8
2016-01-28,18,3,0,119,1688,2790,14,823,7
2016-01-29,16,3,0,182,1605,2550,12,843,5
2016-01-30,30,3,0,105,1855,1691,13,1141,8
2016-01-31,7,6,0,90,1773,2366,9,1099,3
2016-02-01,15,3,0,94,2911,1919,12,954,9
2016-02-02,20,3,0,252,1750,1656,12,912,13
2016-02-03,20,6,0,405,1595,1438,14,862,15
2016-02-04,18,4,0,195,1836,1550,7,761,11
2016-02-05,23,5,0,163,1627,1485,11,907,35
2016-02-06,11,4,0,143,1670,1199,7,1223,22
2016-02-07,17,3,0,136,1897,1168,15,1012,25
2016-02-08,17,3,0,136,1459,1422,10,779,35
2016-02-09,17,5,0,188,1707,1478,7,798,26
2016-02-10,24,7,0,173,1579,1348,16,753,35
2016-02-11,9,3,0,210,1471,1350,8,779,29
2016-02-12,15,4,0,163,1562,1283,16,751,44
2016-02-13,17,6,0,115,1562,966,14,871,42
2016-02-14,14,5,0,143,2006,1025,12,923,55
2016-02-15,24,5,0,263,1715,1192,14,1021,34
2016-02-16,12,4,0,203,2085,1595,8,925,41
2016-02-17,14,8,0,152,2281,1242,8,848,39
2016-02-18,11,1,0,174,1906,1664,6,836,32
2016-02-19,25,2,0,137,1535,1396,18,779,81
2016-02-20,13,4,0,143,1600,1196,12,985,20
2016-02-21,15,0,0,119,1747,1142,8,1092,32
2016-02-22,11,5,0,124,1680,1377,5,914,26
2016-02-23,13,4,0,197,1674,1407,10,835,34
2016-02-24,10,2,0,153,1544,1414,2,798,16
2016-02-25,16,13,0,121,1702,1333,10,882,10
2016-02-26,16,17,0,112,1443,1260,13,712,50
2016-02-27,17,9,0,178,1512,1130,12,1400,25
2016-02-28,12,10,0,84,2176,1022,14,1533,119
2016-02-29,19,5,0,106,1603,1356,10,3542,76
2016-03-01,9,3,0,213,1406,1276,8,1949,21
2016-03-02,10,9,0,206,1704,1159,7,1157,12
2016-03-03,13,4,0,143,1793,1233,14,1107,11
2016-03-04,16,7,0,146,1733,1154,9,1575,15
2016-03-05,17,4,0,91,1999,879,13,1188,19
2016-03-06,12,5,0,134,2048,1021,15,1291,19
2016-03-07,20,4,0,220,1776,1300,8,908,19
2016-03-08,14,3,0,153,1822,1367,10,1196,20
2016-03-09,13,8,0,143,2012,1319,8,1012,15
2016-03-10,5,4,0,141,2103,1269,12,1062,20
2016-03-11,14,1,0,350,1727,1087,9,1114,13
2016-03-12,20,2,0,129,2182,885,12,1263,46
2016-03-13,13,6,0,101,2334,971,11,1171,12
2016-03-14,7,3,0,109,2040,1183,14,1240,12
2016-03-15,17,4,0,177,2491,1213,11,899,10
2016-03-16,72,2,0,141,2162,1261,12,791,20
2016-03-17,15,5,0,109,3105,1258,8,786,15
2016-03-18,17,2,0,195,3824,1250,13,996,26
2016-03-19,15,5,0,83,3379,907,8,1098,46
2016-03-20,6,3,0,130,3008,1170,5,886,32
2016-03-21,10,6,0,106,3234,1288,18,942,23
2016-03-22,10,5,0,98,7039,1124,8,836,21
2016-03-23,10,2,0,111,6385,1034,7,809,22
2016-03-24,14,7,0,203,4462,992,5,873,18
2016-03-25,12,5,0,109,4135,951,11,810,31
2016-03-26,11,5,0,81,4664,978,9,992,30
2016-03-27,22,7,0,67,4404,876,10,971,29
2016-03-28,23,7,0,131,4191,1331,12,963,15
2016-03-29,14,3,0,189,7643,1596,6,768,17
2016-03-30,14,6,0,151,6405,1530,12,751,17
2016-03-31,13,2,0,148,3105,1600,15,770,20
2016-04-01,17,3,0,126,2267,1179,9,802,44
2016-04-02,13,4,0,97,2792,1000,14,1121,36
2016-04-03,15,6,0,109,2358,1084,14,1209,30
2016-04-04,10,3,0,111,1988,1444,12,1251,30
2016-04-05,12,2,0,118,2332,1463,14,928,32
2016-04-06,16,11,0,191,2202,1584,15,870,35
2016-04-07,25,2,0,130,2992,2337,10,820,28
2016-04-08,20,4,0,150,2313,2079,9,764,25
2016-04-09,16,1,0,122,2131,1538,24,945,20
2016-04-10,17,1,0,127,2759,1481,15,1005,25
2016-04-11,14,0,0,131,2038,1575,11,939,26
2016-04-12,15,11,0,197,2582,1559,12,926,19
2016-04-13,11,8,0,145,3085,1705,13,878,26
2016-04-14,19,5,0,152,2642,1409,83,1613,27
2016-04-15,13,1,0,91,2233,1488,139,953,23
2016-04-16,10,4,0,121,2439,926,56,867,26
2016-04-17,16,6,0,126,2144,1103,14,1098,37
2016-04-18,14,7,0,188,2219,1225,11,801,38
2016-04-19,23,3,0,137,2398,1351,13,790,45
2016-04-20,23,4,0,130,2496,1293,11,737,49
2016-04-21,24,5,0,149,2280,1097,12,1099,54
2016-04-22,21,4,0,155,1781,1060,19,784,32
2016-04-23,11,6,0,99,2223,847,19,1254,29
2016-04-24,21,9,0,129,2085,987,14,1427,28
2016-04-25,8,3,0,134,2342,1239,13,957,36
2016-04-26,23,5,0,145,3238,1489,19,835,33
2016-04-27,14,6,0,147,2667,2811,17,772,69
2016-04-28,18,1,0,134,2326,2048,18,1037,50
2016-04-29,9,0,0,119,1823,1370,10,705,47
2016-04-30,13,5,0,109,1532,1059,8,749,32
2016-05-01,13,3,0,111,1887,1077,9,1043,38
2016-05-02,17,3,0,140,2334,1343,11,843,43
2016-05-03,15,7,0,128,2779,1340,11,821,55
2016-05-04,15,4,0,111,3126,1318,14,833,39
2016-05-05,19,3,0,148,2821,1353,11,761,39
2016-05-06,14,6,0,126,2265,1086,13,677,38
2016-05-07,12,6,0,89,2864,861,8,712,56
2016-05-08,14,3,0,106,3441,880,13,944,68
2016-05-09,4102,5,0,135,2981,1306,18,834,38
2016-05-10,212,5,0,109,2934,1288,23,809,45
2016-05-11,60,4,0,109,3275,1290,14,680,50
2016-05-12,89,12,0,90,8280,1225,10,744,54
2016-05-13,41,7,0,135,4897,1385,19,764,44
2016-05-14,30,6,0,125,3435,992,11,985,29
2016-05-15,29,31,0,133,3010,955,9,926,42
2016-05-16,27,11,0,138,3543,1189,9,874,53
2016-05-17,16,12,0,146,4245,1264,11,752,36
2016-05-18,25,6,0,128,4573,1536,11,784,43
2016-05-19,29,2,0,128,3293,1478,11,760,72
2016-05-20,24,6,0,100,3325,1367,12,819,48
2016-05-21,28,6,0,146,3422,1100,11,1076,45
2016-05-22,25,3,0,120,3689,1283,16,918,203
2016-05-23,25,6,0,120,4344,1152,17,1007,44
2016-05-24,21,6,0,138,4223,1095,17,822,39
2016-05-25,34,3,0,121,4072,1201,17,764,84
2016-05-26,43,4,0,123,4200,1045,14,894,54
2016-05-27,25,11,0,102,4477,1127,15,701,46
2016-05-28,36,5,0,782,10648,769,9,1268,98
2016-05-29,32,7,0,98,6904,824,15,1172,152
2016-05-30,32,3,0,132,6343,1198,19,977,39
2016-05-31,24,6,0,116,9227,1197,15,875,62
2016-06-01,18,6,0,105,11115,1234,13,791,70
2016-06-02,36,7,0,112,8174,1430,18,844,51
2016-06-03,38,12,0,113,6525,1178,16,811,50
2016-06-04,28,6,0,95,6067,816,8,769,44
2016-06-05,23,11,0,91,9975,872,15,835,58
2016-06-06,47,5,0,110,7838,939,10,837,67
2016-06-07,31,8,0,105,8084,1084,14,801,58
2016-06-08,19,5,0,82,8975,958,16,685,123
2016-06-09,23,7,0,119,10444,897,6,745,52
2016-06-10,23,0,0,369,14841,860,8,788,172
2016-06-11,18,7,0,98,9978,729,9,792,49
2016-06-12,14,5,0,95,12863,774,18,927,46
2016-06-13,18,7,0,165,67585,872,11,1047,55
2016-06-14,23,6,0,114,17767,1135,18,908,47
2016-06-15,17,3,0,99,7687,1109,16,740,65
2016-06-16,19,1,0,84,6199,848,16,789,86
2016-06-17,17,3,0,96,7344,1227,12,716,58
2016-06-18,32,1,0,89,33605,819,15,853,57
2016-06-19,31,8,0,92,9036,867,20,1122,43
2016-06-20,18,4,0,127,5412,866,11,776,63
2016-06-21,16,0,0,114,5457,906,13,731,52
2016-06-22,18,5,0,105,19267,1097,8,657,45
2016-06-23,23,13,0,113,9534,997,11,765,53
2016-06-24,27,5,0,87,4742,942,11,640,52
2016-06-25,18,8,0,103,6122,728,7,1473,17
2016-06-26,23,6,0,97,48064,874,8,982,7
2016-06-27,34,5,0,131,20397,995,18,1033,16
2016-06-28,13,4,0,95,10921,1298,8,891,66
2016-06-29,16,10,0,108,8597,1091,8,812,47
2016-06-30,12,6,0,90,10767,1058,9,820,67
2016-07-01,50,11,0,95,60157,1208,13,787,68
2016-07-02,18,4,0,105,17778,1183,12,837,73
2016-07-03,20,8,0,107,7621,1310,9,938,87
2016-07-04,20,8,0,153,5559,1471,12,1047,47
2016-07-05,16,6,0,127,3698,3170,12,869,68
2016-07-06,15,2,0,116,3880,1844,11,783,44
2016-07-07,15,6,0,85,3621,1279,16,729,49
2016-07-08,9,4,0,119,2688,1113,12,918,79
2016-07-09,18,5,0,90,2334,991,10,859,166
2016-07-10,14,1,0,99,3426,1042,9,933,54
2016-07-11,21,10,0,115,3079,1376,10,1298,36
2016-07-12,22,8,0,130,2526,2491,20,1522,38
2016-07-13,14,4,0,108,1946,1650,11,890,44
2016-07-14,19,4,0,118,2043,1435,6,706,22
2016-07-15,9,4,0,98,2467,1128,12,728,56
2016-07-16,10,4,0,101,2080,1053,4,923,40
2016-07-17,13,5,0,110,1630,1104,12,846,41
2016-07-18,22,9,0,124,1616,1118,8,937,32
2016-07-19,16,7,0,107,1842,1079,21,725,40
2016-07-20,12,6,0,106,1488,1142,3,604,63
2016-07-21,8,4,0,102,1784,1155,12,689,342
2016-07-22,12,4,0,119,1460,961,12,656,70
2016-07-23,11,7,0,74,1490,878,15,699,47
2016-07-24,17,5,0,95,1481,966,12,1085,104
2016-07-25,23,4,0,145,1353,1109,23,893,57
2016-07-26,23,1,0,113,1280,1089,19,782,74
2016-07-27,16,4,0,114,1252,1064,9,802,45
2016-07-28,21,7,0,95,1225,994,12,673,192
2016-07-29,19,6,0,99,1272,926,19,758,73
2016-07-30,18,4,0,74,1311,823,14,787,54
2016-07-31,19,8,0,113,1348,1106,12,1186,61
2016-08-01,21,8,0,95,1429,942,11,932,92
2016-08-02,22,8,0,109,1223,1097,12,851,71
2016-08-03,23,6,0,99,2954,916,13,1080,50
2016-08-04,21,1,0,123,3505,925,12,1071,56
2016-08-05,24,4,0,97,1540,875,25,859,61
2016-08-06,22,1,0,87,1164,805,19,933,50
2016-08-07,9,4,0,73,1392,732,11,850,42
2016-08-08,8,3,0,67,1410,867,11,741,57
2016-08-09,16,5,0,97,1300,1058,19,825,76
2016-08-10,12,5,0,77,1034,791,8,703,73
2016-08-11,22,7,0,55,1167,951,12,718,32
2016-08-12,16,1,0,96,1235,953,15,644,42
2016-08-13,54,9,0,58,1381,838,9,1079,28
2016-08-14,18,2,0,52,1227,1868,12,1182,64
2016-08-15,24,3,0,76,1333,1148,9,1200,62
2016-08-16,23,3,0,64,1326,910,5,784,23
2016-08-17,27,5,0,83,1065,891,11,672,25
2016-08-18,23,4,0,64,1149,902,18,696,26
2016-08-19,15,6,0,143,1132,859,10,697,34
2016-08-20,24,7,0,91,1482,758,16,893,52
2016-08-21,23,6,0,107,1377,842,25,930,47
2016-08-22,33,3,0,95,1272,847,10,923,43
2016-08-23,25,4,0,91,1285,908,13,881,37
2016-08-24,23,6,0,83,1290,1450,16,754,53
2016-08-25,19,4,0,114,1563,1349,17,856,49
2016-08-26,18,1,0,74,6134,955,11,877,39
2016-08-27,28,1,0,70,3717,1002,16,952,73
2016-08-28,34,2,0,54,3152,1026,10,872,46
2016-08-29,23,3,0,94,4075,1156,14,1017,59
2016-08-30,35,4,0,104,4407,1281,13,966,66
2016-08-31,36,7,0,91,3515,1451,12,936,67
2016-09-01,64,9,0,71,5300,1427,8,1080,71
2016-09-02,60,5,0,75,3599,1138,18,1002,241
2016-09-03,47,4,0,70,2414,969,16,984,77
2016-09-04,35,2,0,86,2387,898,7,1092,59
2016-09-05,43,7,0,94,2531,1176,16,1382,78
2016-09-06,35,2,0,111,4287,1297,15,907,49
2016-09-07,18,3,0,85,3157,1152,18,799,43
2016-09-08,24,5,0,98,1604,952,9,731,44
2016-09-09,25,7,0,115,1382,947,17,869,52
2016-09-10,17,2,0,67,1981,780,15,943,24
2016-09-11,15,5,0,84,1465,869,7,973,26
2016-09-12,24,2,0,74,1523,1053,15,805,11
2016-09-13,29,7,0,79,1545,1009,18,700,9
2016-09-14,38,5,0,131,1512,1238,21,700,2
2016-09-15,27,4,0,90,1604,1165,15,831,4
2016-09-16,24,2,0,94,1463,1123,13,1797,2
2016-09-17,17,4,0,65,1505,1003,8,995,4
2016-09-18,23,6,0,73,1601,1185,12,1134,1
2016-09-19,22,3,0,90,1204,1123,15,938,3
2016-09-20,17,6,0,81,1236,1192,12,1012,2
2016-09-21,20,9,0,90,1133,1194,11,775,2
2016-09-22,128,4,0,802,994,1365,16,1344,4
2016-09-23,15,3,0,89,1152,1035,378,848,2
2016-09-24,19,6,0,72,1216,826,19,956,1
2016-09-25,14,3,0,65,1102,838,9,1140,0
2016-09-26,17,6,0,86,1199,1129,13,955,0
2016-09-27,17,3,0,107,1202,1099,10,774,0
2016-09-28,28,3,0,118,1467,1252,15,657,0
2016-09-29,36,4,0,100,1645,1132,15,716,0
2016-09-30,28,1,0,98,2280,1595,10,787,1
2016-10-01,38,6,0,73,2170,1268,10,1055,0
2016-10-02,42,8,0,88,1800,1297,22,1160,0
2016-10-03,35,6,0,126,1981,1920,12,1005,2
2016-10-04,81,9,0,108,2318,1898,15,816,1
2016-10-05,101,2,0,92,2489,1265,13,825,1
2016-10-06,156,3,0,103,2305,1166,19,738,0
2016-10-07,121,6,0,82,4639,979,13,819,0
2016-10-08,116,5,0,86,3755,836,17,909,1
2016-10-09,68,3,0,74,2443,909,9,926,0
2016-10-10,53,4,0,92,4454,1302,14,765,0
2016-10-11,43,12,0,136,4160,1344,10,1709,1
2016-10-12,44,2,0,121,2119,1680,20,824,0
2016-10-13,44,3,0,117,1437,1617,14,749,0
2016-10-14,51,1,0,113,1274,1093,14,709,0
2016-10-15,35,5,0,90,1808,873,11,1014,0
2016-10-16,45,6,0,74,1561,1045,15,974,0
2016-10-17,34,2,0,99,1363,1268,9,884,0
2016-10-18,47,2,0,131,1135,1495,13,858,3
2016-10-19,29,6,0,102,2328,1717,9,1265,0
2016-10-20,38,4,0,130,1427,2048,12,903,0
2016-10-21,19,1,0,115,1215,2062,12,873,0
2016-10-22,32,2,0,83,1311,1139,8,1403,0
2016-10-23,15,3,0,86,1505,1286,11,1133,4
2016-10-24,25,3,0,129,1184,1485,9,848,0
2016-10-25,22,9,0,107,1258,1352,14,721,0
2016-10-26,23,3,0,115,1053,1318,11,944,0
2016-10-27,16,3,0,135,1088,1318,7,699,0
2016-10-28,32,2,0,126,1049,1098,15,696,0
2016-10-29,15,6,0,71,1153,878,11,770,0
2016-10-30,26,6,0,111,1393,957,12,960,0
2016-10-31,27,5,0,128,1207,1201,10,897,0
2016-11-01,23,6,0,129,1378,1202,11,740,0
2016-11-02,16,5,0,145,1510,1295,10,690,0
2016-11-03,22,3,0,409,1431,1176,17,672,0
2016-11-04,20,3,0,120,2061,1117,7,711,1
2016-11-05,15,5,0,91,2195,914,6,834,1
2016-11-06,24,7,0,205,2115,1101,10,1106,0
2016-11-07,14,3,0,161,2462,1495,9,875,0
2016-11-08,26,6,0,174,2719,1292,29,749,0
2016-11-09,17,4,0,148,4335,1145,13,552,1
2016-11-10,18,3,0,167,3147,1188,17,670,0
2016-11-11,23,1,0,161,2223,1074,14,789,0
2016-11-12,11,3,0,151,2190,987,7,927,0
2016-11-13,17,3,0,273,7275,1211,10,997,0
2016-11-14,19,6,0,152,6186,1898,18,671,0
2016-11-15,28,4,0,175,2708,1732,20,696,0
2016-11-16,8,3,0,159,2245,1586,9,888,1
2016-11-17,17,1,0,164,1746,1880,19,795,1
2016-11-18,25,4,0,158,1653,1546,15,767,0
2016-11-19,25,4,0,135,1661,992,13,858,0
