Date,"Thomas C. Hindman","Titchwell Marsh","Crescent honeyeater","Hasan al-Kharrat","Love, Inc. (TV series)","Suillus salmonicolor","Sexuality after spinal cord injury","Allen Walker","Courageous-class aircraft carrier"
2015-11-16,51,25,22,10,38,23,143,97,77
2015-11-17,32,11,10,5,23,18,106,87,77
2015-11-18,43,10,12,7,45,12,71,84,71
2015-11-19,38,12,21,5,35,11,56,62,64
2015-11-20,35,12,17,2,41,9,52,66,61
2015-11-21,28,10,10,3,38,15,83,70,52
2015-11-22,35,11,19,7,38,20,65,71,44
2015-11-23,41,17,9,4,45,14,46,63,70
2015-11-24,48,9,17,4,39,12,46,75,61
2015-11-25,51,12,13,6,32,12,35,53,47
2015-11-26,42,11,15,5,28,13,42,85,43
2015-11-27,34,10,16,1,29,12,119,74,85
2015-11-28,47,7,11,9,30,16,75,84,58
2015-11-29,36,7,10,1,48,11,44,86,58
2015-11-30,58,10,9,10,42,10,58,82,43
2015-12-01,81,16,12,3,23,15,41,77,67
2015-12-02,55,12,12,3,41,11,37,84,59
2015-12-03,44,8,8,2,33,3,85,83,53
2015-12-04,56,11,12,11,31,10,49,80,56
2015-12-05,32,12,19,6,43,14,49,103,56
2015-12-06,36,8,14,7,59,10,60,93,43
2015-12-07,118,8,7,16,31,5,49,85,53
2015-12-08,45,8,7,29,31,9,73,80,49
2015-12-09,46,19,14,7,38,18,49,78,73
2015-12-10,39,21,14,8,37,13,41,71,58
2015-12-11,42,14,20,5,41,14,41,103,69
2015-12-12,35,15,16,13,52,12,53,105,60
2015-12-13,27,9,8,7,41,8,48,103,39
2015-12-14,31,12,8,8,40,8,45,96,38
2015-12-15,38,16,13,5,28,10,53,79,73
2015-12-16,37,13,9,4,59,8,35,67,63
2015-12-17,39,9,10,6,50,7,42,59,52
2015-12-18,35,9,12,4,40,9,60,75,55
2015-12-19,44,7,6,4,31,7,76,74,50
2015-12-20,27,2,4,6,30,3,102,431,44
2015-12-21,19,3,4,7,51,7,160,300,53
2015-12-22,33,11,11,7,34,8,75,222,35
2015-12-23,42,10,10,6,29,10,44,164,41
2015-12-24,30,3,10,4,38,9,89,185,40
2015-12-25,32,5,5,41,38,2,70,161,44
2015-12-26,33,11,12,88,33,8,73,152,71
2015-12-27,33,10,9,29,27,6,66,166,60
2015-12-28,52,8,6,14,31,4,93,161,34
2015-12-29,40,10,14,13,28,7,62,134,47
2015-12-30,39,10,17,5,31,10,63,150,49
2015-12-31,31,13,10,8,36,9,128,158,62
2016-01-01,36,9,10,5,54,9,110,182,66
2016-01-02,44,8,8,5,37,4,73,196,53
2016-01-03,49,13,14,6,44,12,55,146,72
2016-01-04,57,14,39,6,30,12,86,161,63
2016-01-05,60,12,23,3,33,9,146,147,54
2016-01-06,46,7,16,7,44,13,76,137,47
2016-01-07,40,9,14,6,30,14,73,145,62
2016-01-08,45,12,15,3,46,8,71,155,71
2016-01-09,50,7,13,3,36,12,69,133,51
2016-01-10,48,12,12,2,60,10,73,132,66
2016-01-11,46,19,16,9,52,8,78,114,71
2016-01-12,43,11,10,4,35,8,74,127,60
2016-01-13,39,8,8,7,39,7,95,127,56
2016-01-14,46,6,12,10,27,4,76,126,74
2016-01-15,51,10,9,2,33,10,65,135,73
2016-01-16,38,8,17,8,40,9,53,101,75
2016-01-17,41,8,7,5,38,4,117,135,64
2016-01-18,52,9,12,7,23,12,67,137,71
2016-01-19,59,11,10,1,38,4,52,109,58
2016-01-20,39,6,4,7,32,5,87,117,40
2016-01-21,45,21,17,4,35,13,77,106,59
2016-01-22,43,8,12,2,36,8,65,127,91
2016-01-23,35,11,13,0,44,10,77,152,41
2016-01-24,40,6,8,1,54,8,69,134,55
2016-01-25,41,19,13,2,46,8,91,123,55
2016-01-26,38,12,11,4,41,10,106,340,51
2016-01-27,34,7,8,6,44,3,71,229,47
2016-01-28,86,9,8,5,37,9,83,152,62
2016-01-29,53,5,15,5,37,3,121,114,46
2016-01-30,32,13,12,4,38,12,156,137,52
2016-01-31,24,5,10,4,42,5,123,135,51
2016-02-01,37,8,8,2,34,11,114,133,64
2016-02-02,48,15,14,3,37,9,76,125,56
2016-02-03,55,15,7,4,37,6,64,134,50
2016-02-04,44,9,6,2,35,5,86,145,37
2016-02-05,52,15,13,4,53,13,86,141,1023
2016-02-06,33,10,7,2,40,6,79,133,170
2016-02-07,41,11,16,3,35,15,79,142,118
2016-02-08,39,13,9,7,39,6,74,133,124
2016-02-09,39,12,11,7,32,8,74,137,61
2016-02-10,58,16,17,7,33,11,92,124,62
2016-02-11,39,14,25,2,32,10,89,106,61
2016-02-12,38,14,15,5,43,13,67,105,66
2016-02-13,34,10,14,14,38,10,84,143,79
2016-02-14,28,5,7,7,43,6,95,128,60
2016-02-15,51,18,18,3,33,12,77,102,46
2016-02-16,45,11,10,4,38,5,68,123,38
2016-02-17,32,7,12,6,45,7,60,134,55
2016-02-18,50,15,11,4,46,6,67,127,59
2016-02-19,43,13,12,5,35,11,71,122,66
2016-02-20,43,17,10,6,33,8,69,121,73
2016-02-21,50,20,28,3,42,28,66,116,82
2016-02-22,44,15,29,6,35,4,105,124,62
2016-02-23,77,9,14,4,24,9,93,103,63
2016-02-24,38,4,7,0,28,4,79,105,47
2016-02-25,90,16,15,1,33,7,76,113,45
2016-02-26,50,13,12,4,32,9,85,105,54
2016-02-27,38,12,13,3,36,7,75,146,63
2016-02-28,42,19,15,0,57,9,69,139,54
2016-02-29,51,13,16,3,34,10,77,91,52
2016-03-01,37,9,9,3,29,3,98,103,62
2016-03-02,60,15,11,10,31,6,87,105,57
2016-03-03,47,12,12,4,66,5,62,76,46
2016-03-04,34,10,8,5,38,4,91,121,47
2016-03-05,48,11,23,1,35,14,64,132,47
2016-03-06,36,14,21,2,43,8,89,144,60
2016-03-07,63,18,10,4,51,7,80,117,35
2016-03-08,45,7,16,4,51,7,63,122,55
2016-03-09,42,16,12,2,44,8,74,99,49
2016-03-10,51,10,14,7,54,9,83,116,67
2016-03-11,68,18,11,4,50,4,151,112,61
2016-03-12,49,14,21,12,55,14,275,99,40
2016-03-13,37,7,9,4,64,7,236,157,47
2016-03-14,68,18,16,4,55,6,226,136,35
2016-03-15,59,15,11,1,42,12,234,123,53
2016-03-16,58,8,10,0,46,4,257,132,48
2016-03-17,46,9,13,3,44,14,252,129,49
2016-03-18,34,6,8,21,38,10,231,113,45
2016-03-19,41,7,12,137,43,6,262,109,53
2016-03-20,39,4,9,63,56,6,236,148,34
2016-03-21,32,15,11,53,62,9,245,121,37
2016-03-22,44,9,11,25,40,6,297,96,50
2016-03-23,38,7,9,36,46,4,236,104,49
2016-03-24,34,4,9,8,30,4,285,145,43
2016-03-25,38,3,15,20,41,5,250,129,48
2016-03-26,45,8,6,88,27,6,299,187,45
2016-03-27,57,14,9,44,34,9,252,203,45
2016-03-28,46,14,19,37,45,11,265,179,49
2016-03-29,49,5,9,2,44,9,314,175,33
2016-03-30,57,17,13,5,47,11,287,150,55
2016-03-31,48,14,10,36,37,8,267,127,58
2016-04-01,44,11,12,30,28,10,251,121,59
2016-04-02,45,10,16,40,43,12,254,133,49
2016-04-03,41,14,8,242,46,10,259,132,48
2016-04-04,57,13,10,56,42,13,295,122,40
2016-04-05,51,17,19,70,39,9,284,120,54
2016-04-06,53,12,14,50,37,10,360,139,47
2016-04-07,50,12,10,19,28,4,309,148,46
2016-04-08,50,10,11,4,42,7,375,155,47
2016-04-09,40,14,21,12,37,18,271,151,47
2016-04-10,41,18,20,2,50,18,273,131,57
2016-04-11,40,9,10,18,38,9,258,127,49
2016-04-12,51,11,12,49,44,7,218,133,60
2016-04-13,52,14,13,45,36,9,207,127,58
2016-04-14,45,15,12,7,47,15,152,132,71
2016-04-15,47,11,15,0,45,8,134,114,59
2016-04-16,36,15,12,4,37,7,162,147,55
2016-04-17,48,12,13,6,60,12,154,245,47
2016-04-18,53,16,10,20,41,7,160,181,41
2016-04-19,45,20,14,6,33,12,169,171,48
2016-04-20,36,15,14,13,21,7,156,146,57
2016-04-21,56,9,17,8,34,10,149,157,52
2016-04-22,41,16,17,8,41,11,170,136,50
2016-04-23,23,13,9,3,40,13,141,129,53
2016-04-24,33,16,23,6,44,18,177,131,98
2016-04-25,28,6,8,6,48,2,138,136,52
2016-04-26,41,8,12,10,37,9,179,143,58
2016-04-27,43,17,12,43,33,10,139,152,42
2016-04-28,30,11,17,8,37,9,158,113,43
2016-04-29,38,6,7,2,42,6,162,118,57
2016-04-30,37,12,7,5,27,6,152,117,39
2016-05-01,35,70,23,5,41,8,167,124,50
2016-05-02,45,27,191,4,32,6,160,127,47
2016-05-03,47,20,22,2,36,9,159,121,69
2016-05-04,45,13,19,7,37,14,96,112,78
2016-05-05,46,12,14,2,40,9,130,105,60
2016-05-06,33,15,13,1,37,13,91,94,51
2016-05-07,37,11,23,6,39,10,72,117,56
2016-05-08,44,7,10,10,36,10,101,134,39
2016-05-09,59,13,22,5,31,9,127,111,64
2016-05-10,43,11,11,11,23,12,148,97,63
2016-05-11,51,10,20,4,34,14,164,117,47
2016-05-12,43,9,12,4,23,7,163,113,52
2016-05-13,42,16,8,7,42,10,155,106,69
2016-05-14,43,11,24,3,40,10,169,133,51
2016-05-15,44,12,22,11,43,13,178,123,58
2016-05-16,38,8,6,11,37,5,144,146,48
2016-05-17,43,8,14,60,34,10,164,156,45
2016-05-18,36,14,13,114,34,11,166,151,43
2016-05-19,52,11,13,91,33,14,181,183,42
2016-05-20,45,11,10,70,36,8,167,130,54
2016-05-21,51,17,17,93,43,16,178,173,49
2016-05-22,44,10,9,87,42,4,178,129,35
2016-05-23,55,22,13,82,41,13,184,159,48
2016-05-24,37,9,12,88,38,11,204,158,47
2016-05-25,58,15,17,71,43,13,159,95,57
2016-05-26,55,18,24,93,58,22,148,121,57
2016-05-27,26,11,13,83,36,9,136,84,52
2016-05-28,55,13,12,62,37,11,156,114,48
2016-05-29,39,12,14,98,46,6,162,124,69
2016-05-30,53,17,20,99,37,13,172,151,67
2016-05-31,50,16,10,99,42,12,169,147,56
2016-06-01,37,16,11,107,42,9,154,143,64
2016-06-02,43,20,19,103,33,16,142,165,73
2016-06-03,43,10,11,78,56,12,157,143,75
2016-06-04,40,14,12,86,35,12,134,147,52
2016-06-05,43,15,13,72,41,12,179,139,50
2016-06-06,34,12,13,24,35,10,166,141,53
2016-06-07,33,11,23,15,34,11,157,150,48
2016-06-08,48,12,9,13,34,9,148,112,54
2016-06-09,55,10,15,9,39,6,165,133,84
2016-06-10,26,10,10,13,34,4,160,139,55
2016-06-11,31,9,10,8,31,5,162,147,45
2016-06-12,28,21,11,11,36,8,167,133,47
2016-06-13,40,16,20,12,43,14,170,152,81
2016-06-14,52,19,20,21,37,13,150,122,75
2016-06-15,61,11,11,12,37,21,152,136,69
2016-06-16,49,19,24,16,44,11,192,121,51
2016-06-17,45,17,17,12,37,11,173,132,55
2016-06-18,60,12,18,12,28,14,159,122,68
2016-06-19,59,15,22,16,33,15,182,201,57
2016-06-20,41,12,22,13,38,8,162,140,41
2016-06-21,52,21,16,9,31,11,150,165,56
2016-06-22,39,9,3,3,25,5,147,138,40
2016-06-23,38,10,9,5,39,8,143,173,57
2016-06-24,42,7,14,12,37,8,182,243,46
2016-06-25,38,17,17,10,29,8,159,161,43
2016-06-26,40,9,8,6,38,4,169,158,45
2016-06-27,36,14,22,17,24,11,160,171,55
2016-06-28,34,6,6,6,33,5,146,196,54
2016-06-29,32,14,11,8,24,11,130,153,47
2016-06-30,31,9,7,12,46,7,158,151,39
2016-07-01,33,15,5,13,38,6,150,183,40
2016-07-02,56,14,11,8,32,10,146,190,36
2016-07-03,52,14,11,12,29,7,155,174,66
2016-07-04,43,16,18,14,34,10,229,483,56
2016-07-05,47,6,6,6,41,5,178,1072,56
2016-07-06,35,9,15,9,38,11,169,567,53
2016-07-07,37,10,13,7,32,7,172,400,43
2016-07-08,30,8,9,5,34,4,185,347,49
2016-07-09,47,16,13,10,19,13,187,330,58
2016-07-10,35,7,13,9,32,5,161,298,59
2016-07-11,48,13,10,10,168,13,155,350,69
2016-07-12,48,21,14,11,284,17,161,458,67
2016-07-13,41,17,9,8,166,7,150,331,46
2016-07-14,43,12,8,6,212,11,190,279,43
2016-07-15,32,23,9,8,110,12,155,280,63
2016-07-16,21,7,8,4,273,5,141,316,46
2016-07-17,27,14,19,8,161,9,187,301,58
2016-07-18,37,16,14,4,108,8,161,312,37
2016-07-19,48,13,15,9,140,10,200,448,54
2016-07-20,38,5,9,5,103,6,180,322,49
2016-07-21,44,13,11,9,143,7,220,268,50
2016-07-22,40,11,15,18,123,10,172,252,53
2016-07-23,39,13,8,9,110,10,180,274,36
2016-07-24,40,15,15,12,53,15,199,253,44
2016-07-25,46,14,14,17,67,17,196,236,51
2016-07-26,35,17,15,15,90,22,156,376,51
2016-07-27,35,12,11,6,54,6,114,288,53
2016-07-28,52,13,17,16,54,10,141,262,50
2016-07-29,41,17,23,16,47,13,127,201,44
2016-07-30,37,17,16,11,50,9,141,241,62
2016-07-31,46,17,13,14,2969,14,142,217,51
2016-08-01,43,13,8,7,129,8,123,264,45
2016-08-02,42,13,13,11,60,10,176,291,40
2016-08-03,39,16,12,12,68,15,182,331,52
2016-08-04,35,13,8,4,147,9,144,346,41
2016-08-05,45,17,17,13,64,9,161,308,70
2016-08-06,33,12,11,16,50,14,187,218,42
2016-08-07,31,10,14,14,45,9,159,256,46
2016-08-08,35,11,9,4,38,6,201,251,42
2016-08-09,43,16,8,14,44,11,169,332,55
2016-08-10,36,8,8,7,56,6,153,234,51
2016-08-11,33,16,6,8,64,13,160,238,41
2016-08-12,53,7,11,7,43,9,134,229,44
2016-08-13,38,8,12,4,36,7,137,215,54
2016-08-14,46,19,22,8,49,10,169,210,48
2016-08-15,37,7,11,8,43,7,161,187,71
2016-08-16,48,11,6,5,49,11,211,227,57
2016-08-17,48,10,16,8,39,9,178,194,122
2016-08-18,44,15,14,10,31,9,184,214,73
2016-08-19,45,12,15,11,49,13,202,284,70
2016-08-20,33,14,13,15,41,14,225,247,56
2016-08-21,46,19,25,18,37,21,227,196,60
2016-08-22,45,16,10,10,48,9,173,209,65
2016-08-23,45,15,13,9,44,19,175,277,59
2016-08-24,35,11,13,8,37,56,165,283,49
2016-08-25,29,10,12,14,51,43,198,196,64
2016-08-26,43,13,12,13,44,10,164,204,49
2016-08-27,43,13,14,11,30,23,199,223,44
2016-08-28,51,18,12,11,34,21,195,222,39
2016-08-29,56,19,13,17,52,17,180,196,47
2016-08-30,41,11,22,11,46,13,175,274,46
2016-08-31,26,34,11,8,28,10,232,220,51
2016-09-01,30,15,11,9,42,14,238,181,57
2016-09-02,47,13,18,9,35,17,216,165,44
2016-09-03,35,15,17,8,48,15,213,202,67
2016-09-04,44,7,13,5,47,9,257,208,46
2016-09-05,54,18,18,11,37,17,224,236,59
2016-09-06,43,19,13,7,42,16,350,287,49
2016-09-07,52,13,9,9,42,13,396,221,45
2016-09-08,32,14,10,9,45,8,410,251,51
2016-09-09,60,22,15,11,53,16,448,287,57
2016-09-10,47,41,13,6,49,12,422,242,58
2016-09-11,29,13,24,2,43,15,389,266,36
2016-09-12,38,31,16,11,45,13,392,241,46
2016-09-13,44,20,22,17,46,18,303,278,45
2016-09-14,44,12,15,11,45,12,250,251,65
2016-09-15,38,14,11,12,40,11,239,241,56
2016-09-16,31,20,12,7,52,14,215,209,41
2016-09-17,39,18,22,12,47,15,313,227,59
2016-09-18,38,18,13,11,68,21,329,235,59
2016-09-19,75,11,14,10,53,16,243,257,38
2016-09-20,47,9,10,5,42,5,216,360,43
2016-09-21,49,7,8,12,48,11,197,256,48
2016-09-22,230,166,131,11,52,119,763,237,50
2016-09-23,68,13,12,181,53,9,164,207,208
2016-09-24,30,11,10,13,39,19,195,176,42
2016-09-25,35,8,5,6,58,20,186,194,40
2016-09-26,53,16,11,21,42,29,183,271,42
2016-09-27,44,8,15,6,41,23,194,369,47
2016-09-28,60,15,13,20,40,20,207,277,49
2016-09-29,33,15,22,14,46,21,200,248,57
2016-09-30,32,13,12,10,31,12,203,246,36
2016-10-01,25,11,14,8,43,18,177,332,35
2016-10-02,34,16,10,10,36,24,172,233,46
2016-10-03,34,12,17,10,39,26,183,235,45
2016-10-04,44,11,9,13,32,10,180,200,38
2016-10-05,45,12,8,6,35,12,171,179,54
2016-10-06,43,11,12,8,42,10,148,173,60
2016-10-07,38,15,14,10,45,11,149,168,60
2016-10-08,48,15,13,13,51,18,180,185,40
2016-10-09,52,8,8,7,33,9,175,185,42
2016-10-10,53,13,17,12,51,15,178,203,38
2016-10-11,40,12,14,8,105,13,180,158,48
2016-10-12,44,8,13,13,71,11,179,153,52
2016-10-13,55,9,10,8,61,14,166,137,33
2016-10-14,36,20,20,10,57,15,188,152,47
2016-10-15,47,18,17,21,51,14,177,169,49
2016-10-16,47,10,9,8,44,10,202,183,57
2016-10-17,65,14,11,8,38,13,158,171,36
2016-10-18,46,16,15,11,49,16,180,181,68
2016-10-19,46,20,12,17,35,9,190,135,49
2016-10-20,47,17,16,16,34,11,154,146,62
2016-10-21,40,7,19,13,26,6,173,140,68
2016-10-22,38,7,18,5,26,9,184,128,46
2016-10-23,40,11,19,7,38,14,193,169,50
2016-10-24,44,17,19,10,37,11,187,140,51
2016-10-25,45,19,13,19,41,11,84,122,71
2016-10-26,46,12,16,12,68,14,69,172,66
2016-10-27,56,13,10,12,28,9,89,147,66
2016-10-28,148,21,18,13,49,19,75,150,62
2016-10-29,38,11,9,13,38,7,79,160,57
2016-10-30,41,13,11,5,61,9,84,185,48
2016-10-31,52,12,10,8,114,8,77,424,35
2016-11-01,56,13,15,14,62,10,86,235,46
2016-11-02,64,13,16,6,93,9,96,264,50
2016-11-03,40,12,16,12,72,9,81,233,53
2016-11-04,41,12,17,10,57,14,83,212,51
2016-11-05,31,5,6,4,52,3,84,239,51
2016-11-06,46,9,8,13,50,8,112,241,29
2016-11-07,40,11,22,14,44,10,99,239,37
2016-11-08,51,18,20,20,244,16,98,213,71
2016-11-09,35,9,17,10,112,10,90,286,56
2016-11-10,41,11,14,12,69,12,80,210,57
2016-11-11,59,10,10,10,77,7,92,192,53
2016-11-12,36,9,12,3,98,6,76,204,35
2016-11-13,29,15,15,10,103,10,124,245,46
2016-11-14,48,17,19,12,43,9,90,229,143
2016-11-15,35,11,17,13,54,11,93,182,63
2016-11-16,52,9,17,7,90,9,95,186,41
2016-11-17,47,7,8,8,52,8,59,198,51
2016-11-18,44,16,18,7,76,9,88,205,47
2016-11-19,35,14,23,14,41,15,98,219,49
2016-11-20,37,11,10,6,36,6,101,251,45
2016-11-21,56,9,8,7,68,7,98,143,48
2016-11-22,38,12,14,10,60,10,89,126,57
2016-11-23,48,11,8,5,58,1,80,105,45
2016-11-24,40,13,16,13,38,10,76,114,40
2016-11-25,47,10,10,13,50,8,81,128,51
2016-11-26,54,18,12,12,65,8,63,193,38
2016-11-27,56,17,15,15,60,13,84,205,58
2016-11-28,63,12,15,16,69,7,100,213,54
2016-11-29,48,15,15,20,63,11,137,225,63
2016-11-30,37,6,9,9,32,6,147,195,31
2016-12-01,47,11,17,11,47,8,170,190,43
2016-12-02,48,10,12,11,57,11,172,212,81
2016-12-03,40,9,15,15,56,14,162,264,45
2016-12-04,56,22,20,20,77,18,151,225,46
2016-12-05,59,12,13,15,68,11,180,228,62
2016-12-06,65,13,20,13,57,12,110,218,51
2016-12-07,114,6,16,8,67,4,112,241,61
2016-12-08,78,12,13,10,66,10,100,236,54
2016-12-09,53,17,17,15,57,17,94,228,78
2016-12-10,47,14,10,14,34,8,110,213,48
2016-12-11,42,13,8,10,46,7,96,196,52
2016-12-12,49,18,20,16,64,24,113,192,49
2016-12-13,44,15,10,10,67,9,109,209,49
2016-12-14,55,11,9,11,61,8,117,203,61
2016-12-15,45,15,9,14,67,8,89,227,82
2016-12-16,44,12,18,19,55,10,93,228,63
2016-12-17,37,17,20,17,130,12,87,250,47
2016-12-18,52,10,13,12,216,6,88,303,58
2016-12-19,46,14,10,11,156,7,94,273,56
2016-12-20,41,9,10,8,247,9,85,281,69
2016-12-21,45,5,7,15,191,4,97,240,35
2016-12-22,68,12,11,12,165,9,103,157,60
2016-12-23,32,13,14,9,121,10,71,163,76
2016-12-24,36,4,9,7,117,7,70,128,45
2016-12-25,44,10,381,12,112,8,82,121,395
2016-12-26,41,373,10,7,112,62,638,141,58
2016-12-27,298,9,15,7,125,7,79,154,67
2016-12-28,46,20,20,9,129,9,81,146,65
2016-12-29,57,15,18,12,160,14,91,125,54
2016-12-30,52,9,9,13,123,5,71,166,69
2016-12-31,38,4,16,6,130,5,54,129,69
2017-01-01,37,9,10,8,119,5,78,142,47
