Date,"Ram Narayan","Tidus","June 1941 uprising in eastern Herzegovina","4 (Beyoncé album)","Ukiyo-e","Japanese aircraft carrier Jun'yō","The Well of Loneliness","White-naped xenopsaris","Tropical Storm Bill (2003)"
2015-08-12,43,151,26,857,693,40,156,0,20
2015-08-13,51,128,34,859,720,64,112,1,9
2015-08-14,50,126,18,800,674,54,121,1,17
2015-08-15,48,123,18,750,533,62,127,0,11
2015-08-16,54,122,18,763,647,65,113,0,16
2015-08-17,50,138,16,751,778,67,134,1,11
2015-08-18,84,106,12,836,829,78,156,2,18
2015-08-19,77,101,16,766,800,85,165,0,26
2015-08-20,64,116,25,688,866,37,146,0,36
2015-08-21,61,105,20,773,834,65,132,0,29
2015-08-22,47,126,14,835,661,46,128,2,15
2015-08-23,59,122,15,734,723,58,120,2,11
2015-08-24,51,129,11,712,966,67,146,0,21
2015-08-25,68,104,23,744,851,66,139,1,22
2015-08-26,63,96,15,715,887,72,149,2,24
2015-08-27,40,108,14,668,747,71,150,2,29
2015-08-28,48,88,28,796,754,57,127,0,30
2015-08-29,47,109,21,795,673,52,118,1,32
2015-08-30,46,128,10,774,792,55,122,0,22
2015-08-31,50,99,17,798,897,48,155,0,24
2015-09-01,69,85,19,740,925,53,154,2,26
2015-09-02,44,87,13,688,894,67,124,1,21
2015-09-03,45,104,16,724,855,42,150,0,22
2015-09-04,32,94,33,1195,786,55,143,1,31
2015-09-05,50,90,18,1067,741,60,116,1,15
2015-09-06,58,126,24,1054,818,59,181,1,19
2015-09-07,76,148,36,952,909,84,148,2,17
2015-09-08,72,115,31,786,973,53,156,1,19
2015-09-09,75,91,17,729,911,50,133,1,16
2015-09-10,76,98,17,773,821,44,158,1,15
2015-09-11,115,93,68,773,814,52,172,0,67
2015-09-12,56,93,20,837,658,54,123,1,12
2015-09-13,69,101,21,827,825,40,122,1,15
2015-09-14,47,111,10,709,992,70,137,2,18
2015-09-15,56,96,16,639,1097,56,150,2,21
2015-09-16,47,121,18,693,1016,31,137,3,17
2015-09-17,50,113,20,651,856,49,157,0,14
2015-09-18,44,90,8,715,799,47,123,0,12
2015-09-19,82,93,15,694,620,29,138,1,14
2015-09-20,60,99,16,714,801,50,208,0,12
2015-09-21,48,128,17,816,866,44,154,1,15
2015-09-22,49,96,16,656,849,70,182,4,15
2015-09-23,59,99,16,657,890,65,236,2,21
2015-09-24,65,105,15,677,834,67,286,3,11
2015-09-25,61,100,14,583,790,87,182,1,12
2015-09-26,55,111,8,735,633,66,126,0,12
2015-09-27,51,129,17,800,711,101,179,0,8
2015-09-28,38,102,19,719,914,81,189,0,8
2015-09-29,54,83,22,666,956,79,246,0,18
2015-09-30,49,121,14,661,936,54,208,3,16
2015-10-01,59,82,20,585,875,65,173,2,29
2015-10-02,52,85,9,579,773,58,144,1,22
2015-10-03,60,82,81,652,798,41,156,0,20
2015-10-04,45,95,18,706,769,64,148,1,12
2015-10-05,70,98,19,681,1964,51,191,2,18
2015-10-06,66,81,21,624,948,44,198,4,18
2015-10-07,56,78,15,632,1145,33,184,3,19
2015-10-08,70,78,16,641,1002,121,160,1,17
2015-10-09,55,102,22,612,847,76,133,1,16
2015-10-10,55,88,16,684,704,62,120,1,8
2015-10-11,62,119,9,686,810,58,133,1,10
2015-10-12,62,124,25,668,1229,65,169,2,20
2015-10-13,56,87,13,658,1057,80,182,0,14
2015-10-14,57,96,17,682,1000,58,164,3,19
2015-10-15,75,86,15,621,1021,55,169,3,16
2015-10-16,53,112,13,633,839,49,129,0,10
2015-10-17,53,110,17,619,628,61,111,2,9
2015-10-18,53,124,21,690,909,34,143,1,12
2015-10-19,47,129,14,641,1078,53,223,0,12
2015-10-20,60,114,18,646,1098,64,147,0,14
2015-10-21,52,128,14,640,1051,45,156,5,9
2015-10-22,56,109,24,695,1044,55,294,0,15
2015-10-23,90,115,20,847,802,52,239,2,22
2015-10-24,37,99,22,970,703,49,173,2,19
2015-10-25,72,106,16,983,779,63,229,2,17
2015-10-26,72,114,19,793,1037,51,230,3,22
2015-10-27,73,109,15,775,966,55,186,3,20
2015-10-28,60,93,27,761,1028,72,195,1,19
2015-10-29,78,82,20,752,952,64,208,1,22
2015-10-30,53,135,22,735,767,46,148,2,21
2015-10-31,60,70,19,693,698,44,124,2,11
2015-11-01,82,103,17,704,842,59,183,0,17
2015-11-02,45,100,18,828,1141,54,208,1,9
2015-11-03,79,95,15,662,1133,66,167,0,10
2015-11-04,65,96,15,723,1130,56,215,3,15
2015-11-05,54,117,12,653,1054,56,209,2,9
2015-11-06,48,82,13,810,938,38,174,1,10
2015-11-07,51,105,13,733,977,45,156,1,17
2015-11-08,46,104,13,755,977,70,158,1,12
2015-11-09,37,113,13,673,1201,64,218,2,6
2015-11-10,64,81,13,648,1182,58,162,1,16
2015-11-11,46,95,12,627,1437,50,164,2,7
2015-11-12,60,88,28,636,1334,61,185,1,24
2015-11-13,61,139,11,655,983,60,142,0,10
2015-11-14,49,113,18,610,723,39,140,1,10
2015-11-15,56,100,21,753,927,65,151,2,12
2015-11-16,88,88,26,617,1067,132,230,1,23
2015-11-17,62,122,17,633,1036,77,183,0,11
2015-11-18,88,102,15,712,1107,61,186,1,16
2015-11-19,65,107,15,686,1125,57,205,1,16
2015-11-20,50,95,14,739,2393,57,218,0,14
2015-11-21,55,96,12,865,1189,36,131,1,9
2015-11-22,71,98,18,920,970,43,169,0,8
2015-11-23,61,94,17,823,1149,48,197,1,15
2015-11-24,47,110,18,740,958,87,203,0,10
2015-11-25,83,92,14,753,885,57,166,2,13
2015-11-26,65,106,11,731,842,78,155,1,9
2015-11-27,69,117,13,682,854,54,178,3,8
2015-11-28,66,124,9,814,810,61,162,2,5
2015-11-29,82,150,24,795,959,63,172,4,12
2015-11-30,72,110,14,739,1217,51,163,0,7
2015-12-01,61,114,17,733,1152,71,190,0,13
2015-12-02,54,101,15,614,1299,60,166,0,8
2015-12-03,56,130,11,649,1264,60,180,1,4
2015-12-04,58,117,32,661,1032,63,164,0,8
2015-12-05,53,138,15,649,801,88,148,1,14
2015-12-06,62,171,14,732,977,102,145,1,17
2015-12-07,63,196,12,706,1255,112,143,1,9
2015-12-08,45,171,13,672,1324,89,202,0,6
2015-12-09,53,175,18,637,1192,87,191,0,16
2015-12-10,45,127,21,640,1236,97,164,3,12
2015-12-11,54,156,12,618,1158,79,149,2,13
2015-12-12,59,109,18,663,843,83,157,2,15
2015-12-13,76,135,12,763,966,84,143,0,6
2015-12-14,53,112,12,697,1168,59,158,1,8
2015-12-15,71,162,17,673,1116,63,150,1,10
2015-12-16,62,155,23,622,996,67,156,0,13
2015-12-17,68,123,23,620,1040,64,158,6,6
2015-12-18,46,118,16,580,869,62,113,0,10
2015-12-19,47,106,17,616,577,68,144,1,10
2015-12-20,65,112,16,636,687,58,109,0,4
2015-12-21,48,159,8,627,675,86,133,2,2
2015-12-22,54,140,15,707,583,56,125,1,5
2015-12-23,57,138,9,656,702,104,89,0,10
2015-12-24,70,143,12,574,523,75,123,1,5
2015-12-25,86,124,11,519,522,54,105,3,6
2015-12-26,60,142,15,578,641,62,140,1,9
2015-12-27,59,163,14,656,657,64,133,0,6
2015-12-28,73,165,13,649,672,76,164,0,6
2015-12-29,61,133,13,743,722,76,173,0,15
2015-12-30,53,149,14,770,665,63,141,1,15
2015-12-31,53,128,15,674,609,68,130,5,8
2016-01-01,61,139,17,588,623,53,147,1,13
2016-01-02,108,144,14,705,736,49,153,3,7
2016-01-03,87,176,11,725,805,54,175,3,6
2016-01-04,68,151,19,678,872,55,148,0,15
2016-01-05,76,127,9,640,961,65,277,1,8
2016-01-06,63,127,27,588,945,65,154,0,8
2016-01-07,74,147,20,697,889,59,193,0,12
2016-01-08,71,141,16,921,818,70,173,0,8
2016-01-09,71,133,11,1001,798,49,162,0,7
2016-01-10,75,148,11,816,843,46,157,0,10
2016-01-11,121,135,22,649,896,65,129,0,10
2016-01-12,70,121,28,598,967,44,163,0,6
2016-01-13,56,121,8,571,959,78,153,2,5
2016-01-14,50,162,10,639,929,51,147,3,13
2016-01-15,57,154,14,583,908,59,127,1,14
2016-01-16,55,133,15,669,647,107,151,0,26
2016-01-17,64,126,13,676,858,41,156,1,10
2016-01-18,66,131,18,647,866,53,159,0,14
2016-01-19,65,138,7,641,965,55,170,5,5
2016-01-20,51,119,9,598,1022,64,156,0,8
2016-01-21,65,146,21,611,1017,60,170,0,17
2016-01-22,58,99,14,620,853,53,147,1,8
2016-01-23,52,124,12,798,756,65,135,0,12
2016-01-24,59,146,16,804,872,55,163,1,6
2016-01-25,51,121,20,684,911,55,184,1,9
2016-01-26,64,131,15,600,962,45,191,0,4
2016-01-27,45,117,19,651,1025,49,187,1,5
2016-01-28,55,133,9,789,990,50,201,2,11
2016-01-29,51,126,12,786,902,68,177,2,11
2016-01-30,55,138,16,961,806,78,148,2,12
2016-01-31,31,151,35,909,1110,89,137,1,8
2016-02-01,38,149,13,821,1007,78,160,3,10
2016-02-02,44,122,14,744,995,55,159,1,9
2016-02-03,71,122,17,733,1726,67,169,2,5
2016-02-04,90,110,19,783,1340,66,198,6,13
2016-02-05,106,115,26,745,1150,81,141,2,13
2016-02-06,100,134,15,1036,932,74,127,0,9
2016-02-07,73,119,17,1844,1003,59,160,1,9
2016-02-08,84,119,14,2931,1140,63,192,3,8
2016-02-09,95,135,16,2298,1129,54,165,1,9
2016-02-10,82,121,26,1670,971,46,167,0,13
2016-02-11,67,125,19,1458,927,47,185,3,10
2016-02-12,63,111,14,1336,830,53,146,1,15
2016-02-13,57,114,25,1243,1763,65,112,1,11
2016-02-14,48,125,15,1340,1505,52,122,1,11
2016-02-15,64,120,24,1189,1234,74,158,0,17
2016-02-16,60,108,17,1289,1128,68,163,1,10
2016-02-17,58,93,8,1066,1173,66,149,1,10
2016-02-18,70,99,18,969,1161,84,150,1,7
2016-02-19,61,102,16,985,971,60,133,2,19
2016-02-20,49,95,16,1027,820,74,162,1,11
2016-02-21,62,91,21,940,985,61,164,2,11
2016-02-22,66,135,8,832,1112,67,170,0,7
2016-02-23,64,106,11,831,1067,69,175,0,20
2016-02-24,49,112,5,744,1042,56,156,0,12
2016-02-25,60,95,20,759,1031,53,138,3,14
2016-02-26,56,96,17,766,925,67,138,0,13
2016-02-27,62,112,12,790,773,64,117,1,11
2016-02-28,127,133,21,784,871,55,173,0,12
2016-02-29,121,98,18,622,1000,88,170,1,21
2016-03-01,76,89,12,589,1050,82,203,0,13
2016-03-02,67,96,11,717,951,69,145,2,8
2016-03-03,71,129,23,672,958,54,155,0,6
2016-03-04,63,118,13,653,855,54,152,0,8
2016-03-05,76,106,19,716,2762,56,176,1,21
2016-03-06,71,102,14,722,911,70,140,2,6
2016-03-07,80,90,16,667,1136,61,193,0,10
2016-03-08,72,112,10,625,1067,51,231,0,9
2016-03-09,51,103,14,571,1073,64,207,0,11
2016-03-10,51,101,9,618,982,59,207,0,8
2016-03-11,69,88,11,582,871,71,187,0,6
2016-03-12,46,95,15,676,801,64,158,0,14
2016-03-13,44,98,13,702,895,76,131,4,12
2016-03-14,46,98,10,653,1040,86,139,1,11
2016-03-15,56,116,12,590,1123,74,159,0,11
2016-03-16,54,103,17,649,1060,71,143,1,13
2016-03-17,50,108,9,587,1016,69,123,0,7
2016-03-18,48,102,12,549,948,59,137,1,8
2016-03-19,48,108,15,622,788,64,118,6,10
2016-03-20,32,160,11,737,939,51,144,3,6
2016-03-21,49,108,22,674,1140,87,170,0,10
2016-03-22,35,119,16,577,1001,69,161,0,13
2016-03-23,45,98,15,641,956,54,209,1,10
2016-03-24,44,116,11,648,828,43,223,1,8
2016-03-25,48,97,23,652,861,58,167,0,7
2016-03-26,51,119,16,660,671,47,134,0,11
2016-03-27,52,131,21,717,985,58,197,2,14
2016-03-28,37,122,11,662,950,72,205,2,11
2016-03-29,52,125,21,605,985,70,159,1,11
2016-03-30,41,121,16,589,1022,61,172,3,8
2016-03-31,49,143,12,770,1015,79,144,1,13
2016-04-01,55,137,20,700,888,101,127,1,13
2016-04-02,42,139,14,721,731,63,127,1,10
2016-04-03,40,180,13,751,917,94,130,2,11
2016-04-04,52,133,12,753,1138,60,166,1,8
2016-04-05,73,128,20,721,1054,65,168,0,7
2016-04-06,51,128,18,647,1021,83,146,0,13
2016-04-07,71,120,12,653,1076,54,134,2,8
2016-04-08,47,117,14,626,918,57,132,0,8
2016-04-09,61,178,27,709,754,59,127,1,15
2016-04-10,49,273,16,770,949,64,150,1,14
2016-04-11,76,171,25,586,1230,72,154,1,10
2016-04-12,60,129,18,618,1061,52,146,2,15
2016-04-13,54,121,16,711,1028,63,128,1,24
2016-04-14,45,123,14,610,1019,53,129,1,10
2016-04-15,52,114,10,622,935,57,148,0,8
2016-04-16,34,128,11,687,915,57,128,0,9
2016-04-17,43,138,12,816,959,75,142,0,9
2016-04-18,62,125,12,718,1099,55,265,1,19
2016-04-19,46,162,18,714,1012,56,150,0,24
2016-04-20,51,154,13,723,1022,47,132,2,15
2016-04-21,51,132,14,770,986,59,140,1,8
2016-04-22,41,135,17,694,868,73,146,0,20
2016-04-23,42,137,19,783,770,67,122,1,6
2016-04-24,47,116,22,6478,880,59,135,0,17
2016-04-25,46,188,10,6942,1164,54,182,1,12
2016-04-26,35,114,13,5719,1088,58,146,0,11
2016-04-27,55,126,18,4237,1110,78,151,1,14
2016-04-28,41,105,17,4180,1037,60,159,0,14
2016-04-29,57,209,18,3295,917,69,123,0,10
2016-04-30,51,126,12,2910,727,46,123,0,7
2016-05-01,48,128,12,2699,806,62,134,0,12
2016-05-02,63,120,10,2452,1132,69,133,1,10
2016-05-03,51,123,18,2111,1045,63,126,0,10
2016-05-04,53,113,20,1881,1009,167,159,0,15
2016-05-05,49,108,15,1720,1010,113,143,2,13
2016-05-06,58,113,17,1590,945,91,141,3,12
2016-05-07,60,90,17,1526,745,52,127,2,12
2016-05-08,49,100,14,1560,885,52,122,0,10
2016-05-09,48,108,19,1515,1298,77,182,0,16
2016-05-10,61,182,17,1606,1382,65,197,1,13
2016-05-11,36,115,24,1286,1109,72,157,0,11
2016-05-12,44,180,19,1254,1069,55,131,3,8
2016-05-13,46,252,18,1260,887,65,156,0,10
2016-05-14,52,238,14,1334,855,65,141,0,10
2016-05-15,56,253,15,1398,828,53,132,1,6
2016-05-16,41,242,11,1314,1019,107,142,1,12
2016-05-17,44,203,10,1186,1023,85,148,0,11
2016-05-18,40,198,7,1164,912,66,126,0,10
2016-05-19,54,172,22,1133,927,61,144,0,24
2016-05-20,71,175,10,1192,885,70,120,0,9
2016-05-21,59,159,24,1231,734,73,126,0,22
2016-05-22,41,205,15,1386,821,67,156,2,7
2016-05-23,64,156,21,1039,920,69,173,0,18
2016-05-24,43,155,18,1064,930,71,143,0,17
2016-05-25,46,111,17,1135,878,73,153,1,14
2016-05-26,49,121,26,1088,829,68,133,1,19
2016-05-27,42,150,14,979,744,63,112,0,17
2016-05-28,47,119,10,1006,768,57,128,2,14
2016-05-29,35,130,16,1094,888,55,132,0,19
2016-05-30,85,139,18,995,807,113,174,1,19
2016-05-31,48,145,21,990,832,96,134,1,10
2016-06-01,62,116,24,989,2648,61,199,1,17
2016-06-02,61,102,20,996,1075,75,172,0,22
2016-06-03,75,94,21,966,1000,92,143,1,19
2016-06-04,52,100,15,1031,833,68,134,1,13
2016-06-05,43,120,31,1010,1055,77,108,1,20
2016-06-06,62,129,17,948,1018,71,145,2,26
2016-06-07,51,151,15,969,836,78,126,0,10
2016-06-08,56,132,11,1011,882,66,141,1,14
2016-06-09,54,115,8,1042,781,64,139,2,13
2016-06-10,41,133,17,986,680,62,143,3,15
2016-06-11,55,124,10,848,662,47,99,0,12
2016-06-12,76,134,13,847,751,60,142,4,9
2016-06-13,58,119,20,812,852,65,200,0,10
2016-06-14,74,139,28,852,838,64,153,0,11
2016-06-15,61,119,16,959,759,61,161,2,10
2016-06-16,85,123,19,932,1166,53,177,1,15
2016-06-17,61,146,15,794,660,52,96,1,15
2016-06-18,54,117,14,884,621,51,120,1,18
2016-06-19,63,126,19,822,780,61,130,0,25
2016-06-20,76,148,17,711,762,66,156,2,10
2016-06-21,55,111,17,690,692,72,160,0,10
2016-06-22,60,109,16,802,771,59,92,1,7
2016-06-23,60,127,17,980,768,66,90,0,8
2016-06-24,79,115,16,1152,643,43,113,2,14
2016-06-25,76,104,22,1011,604,28,121,1,13
2016-06-26,58,144,13,861,679,64,105,1,15
2016-06-27,61,140,11,1035,768,52,158,0,11
2016-06-28,41,141,8,897,733,55,204,2,10
2016-06-29,76,111,19,1034,697,73,227,0,13
2016-06-30,72,117,5,935,682,42,237,0,9
2016-07-01,59,118,12,860,630,59,229,1,4
2016-07-02,68,132,8,921,618,61,211,0,12
2016-07-03,58,119,14,982,738,71,219,0,10
2016-07-04,64,132,20,955,701,58,241,1,10
2016-07-05,58,127,8,939,710,57,203,0,11
2016-07-06,62,132,21,878,687,45,154,0,15
2016-07-07,66,125,26,794,741,56,165,0,11
2016-07-08,50,123,16,772,608,35,103,0,6
2016-07-09,54,109,19,847,591,61,120,5,13
2016-07-10,60,105,9,947,679,50,110,0,8
2016-07-11,56,117,16,846,806,46,125,5,10
2016-07-12,58,139,25,857,758,54,134,3,15
2016-07-13,62,116,35,876,777,62,112,0,8
2016-07-14,48,129,18,708,756,52,144,1,10
2016-07-15,65,89,13,749,699,50,168,1,12
2016-07-16,58,85,9,741,600,48,105,2,15
2016-07-17,64,118,25,766,729,56,114,1,9
2016-07-18,62,128,19,867,791,41,143,1,9
2016-07-19,49,93,10,771,765,78,120,1,8
2016-07-20,39,123,10,761,748,53,123,1,9
2016-07-21,43,110,18,750,764,54,134,2,5
2016-07-22,79,117,18,719,660,45,126,1,9
2016-07-23,52,93,11,706,620,48,93,3,10
2016-07-24,58,109,15,733,661,47,125,0,10
2016-07-25,66,110,19,807,748,61,136,0,18
2016-07-26,56,86,27,716,715,60,146,0,19
2016-07-27,51,95,20,773,704,81,138,0,7
2016-07-28,48,92,16,808,739,60,139,0,17
2016-07-29,58,91,21,829,689,56,108,2,15
2016-07-30,54,117,16,753,627,42,101,0,13
2016-07-31,62,110,34,764,740,57,116,0,19
2016-08-01,43,116,13,885,769,56,137,0,24
2016-08-02,88,110,23,718,784,56,141,2,32
2016-08-03,74,128,24,749,707,49,132,2,33
2016-08-04,60,82,10,729,721,50,121,1,14
2016-08-05,69,104,19,761,619,42,101,0,18
2016-08-06,60,87,11,736,546,62,104,0,19
2016-08-07,47,98,9,702,670,66,96,0,11
2016-08-08,50,107,16,695,732,57,95,1,11
2016-08-09,56,96,16,662,741,67,124,1,13
2016-08-10,53,105,17,671,746,44,125,0,8
2016-08-11,57,100,15,611,641,55,133,1,12
2016-08-12,63,114,10,707,645,51,143,1,10
2016-08-13,40,118,6,641,568,52,104,1,9
2016-08-14,62,96,16,630,710,47,124,1,16
2016-08-15,52,105,29,644,736,60,150,0,13
2016-08-16,60,128,16,615,734,71,124,0,9
2016-08-17,65,121,13,592,726,53,147,0,11
2016-08-18,51,123,17,634,730,50,131,1,16
2016-08-19,53,122,16,655,642,52,109,0,15
2016-08-20,68,121,15,608,778,62,118,2,16
2016-08-21,76,119,21,773,739,77,140,1,19
2016-08-22,54,123,10,712,797,126,140,0,21
2016-08-23,51,125,27,703,846,122,158,0,13
2016-08-24,59,126,16,739,897,108,142,3,17
2016-08-25,60,121,19,678,852,78,137,0,15
2016-08-26,58,135,19,634,731,84,146,1,20
2016-08-27,60,128,23,689,753,75,135,0,18
2016-08-28,74,104,15,815,787,106,139,1,19
2016-08-29,82,132,21,1535,951,99,118,0,22
2016-08-30,57,111,20,1175,911,88,135,2,19
2016-08-31,58,127,12,1000,945,86,125,1,23
2016-09-01,75,110,18,960,909,84,126,3,39
2016-09-02,51,107,2539,874,852,72,143,1,30
2016-09-03,48,106,42,997,673,53,111,1,18
2016-09-04,34,126,14,1614,874,51,151,1,16
2016-09-05,53,115,22,1321,3941,72,139,1,19
2016-09-06,63,134,18,924,1086,94,158,0,18
2016-09-07,54,92,7,884,893,77,95,1,9
2016-09-08,73,114,15,819,854,64,145,2,12
2016-09-09,58,79,13,782,800,77,119,2,16
2016-09-10,57,104,10,869,762,73,114,0,11
2016-09-11,75,120,20,842,850,48,115,0,3
2016-09-12,100,129,17,826,1069,78,155,1,16
2016-09-13,66,127,24,723,993,120,190,5,14
2016-09-14,65,140,19,664,930,72,152,1,23
2016-09-15,51,150,13,671,1003,81,143,3,16
2016-09-16,47,133,14,750,840,67,131,0,15
2016-09-17,55,121,18,747,839,68,125,0,10
2016-09-18,52,136,20,818,953,58,150,3,14
2016-09-19,80,110,15,692,1163,61,153,6,6
2016-09-20,52,117,20,668,1137,61,211,0,9
2016-09-21,61,127,6,758,1094,68,280,1,15
2016-09-22,288,139,201,860,1758,162,612,3,171
2016-09-23,71,89,8,1012,887,74,148,1,8
2016-09-24,41,101,14,636,816,54,134,1,11
2016-09-25,32,135,18,744,1019,76,173,0,5
2016-09-26,52,129,17,660,1031,59,202,0,14
2016-09-27,47,111,11,654,1034,79,165,0,7
2016-09-28,63,114,20,693,1100,95,182,0,14
2016-09-29,72,126,20,633,1061,100,183,0,15
2016-09-30,44,135,21,600,954,76,146,3,15
2016-10-01,53,127,11,627,795,52,117,1,15
2016-10-02,55,103,17,702,971,77,177,1,15
2016-10-03,64,133,22,736,1110,57,159,1,19
2016-10-04,75,133,14,611,1103,64,169,0,33
2016-10-05,50,110,8,656,1000,73,154,1,44
2016-10-06,54,137,13,644,1049,75,179,0,75
2016-10-07,61,117,26,784,846,59,158,2,87
2016-10-08,58,112,19,747,771,52,117,0,33
2016-10-09,58,93,16,830,876,55,165,0,29
2016-10-10,216,130,14,696,1103,61,207,0,25
2016-10-11,37,120,14,616,1142,62,216,2,15
2016-10-12,65,92,13,629,1097,77,206,1,13
2016-10-13,49,147,12,656,938,62,150,1,22
2016-10-14,72,100,14,668,809,60,118,1,15
2016-10-15,49,142,12,745,764,57,143,0,15
2016-10-16,57,171,13,726,953,75,150,0,7
2016-10-17,80,145,10,748,1040,86,186,1,11
2016-10-18,59,117,11,648,1146,70,199,0,20
2016-10-19,62,147,10,693,1099,61,129,0,8
2016-10-20,54,112,18,615,1001,71,116,0,18
2016-10-21,62,91,8,715,958,77,129,0,11
2016-10-22,62,107,13,695,806,51,124,1,12
2016-10-23,55,128,11,729,1044,58,130,0,6
2016-10-24,70,107,14,663,1262,75,168,1,14
2016-10-25,50,127,19,724,1010,45,156,1,11
2016-10-26,44,102,12,665,1142,67,169,2,14
2016-10-27,49,132,16,637,1010,65,158,1,6
2016-10-28,49,140,26,591,855,64,125,1,17
2016-10-29,41,126,16,655,791,51,133,0,10
2016-10-30,46,133,19,628,912,70,162,2,14
2016-10-31,46,139,16,569,1091,56,183,1,8
2016-11-01,51,123,13,585,1052,67,184,0,11
2016-11-02,48,133,17,617,1072,57,167,0,16
2016-11-03,46,195,14,671,1013,68,169,2,7
2016-11-04,68,175,22,656,947,75,129,0,12
2016-11-05,42,208,15,670,687,70,122,1,9
2016-11-06,57,166,12,938,900,74,115,0,5
2016-11-07,68,285,17,801,1050,83,156,0,6
2016-11-08,72,359,19,627,1116,86,171,2,17
2016-11-09,60,121,21,482,852,58,145,2,10
2016-11-10,62,190,20,569,982,52,144,0,11
2016-11-11,50,122,15,707,807,69,146,0,8
2016-11-12,44,160,14,652,713,68,138,0,3
2016-11-13,78,150,20,693,871,55,135,1,11
2016-11-14,83,153,14,818,988,56,169,0,10
2016-11-15,58,145,21,625,971,70,154,2,19
2016-11-16,66,160,15,526,1099,59,211,3,8
2016-11-17,58,193,4,586,1215,74,164,1,6
2016-11-18,53,146,21,564,940,98,124,1,10
2016-11-19,46,164,18,727,758,89,122,2,12
2016-11-20,52,158,11,667,906,69,148,0,11
2016-11-21,56,161,9,613,1072,94,195,2,12
2016-11-22,68,123,11,646,939,65,149,0,12
2016-11-23,55,169,11,577,879,72,126,0,7
2016-11-24,69,149,21,582,740,60,116,0,11
2016-11-25,41,170,11,518,761,51,140,0,9
2016-11-26,50,181,20,642,848,71,132,2,17
2016-11-27,51,189,18,625,864,66,138,0,13
2016-11-28,51,214,13,621,1122,75,189,1,11
2016-11-29,60,361,19,646,1135,73,178,3,11
2016-11-30,51,373,13,676,1076,81,190,1,10
2016-12-01,66,343,27,707,1134,78,159,0,12
2016-12-02,70,270,16,547,834,69,149,0,9
2016-12-03,42,339,16,670,852,66,122,1,12
2016-12-04,83,313,24,685,1026,67,147,3,15
2016-12-05,57,313,14,637,1217,83,165,1,12
2016-12-06,69,268,15,776,1239,82,180,0,12
2016-12-07,53,275,10,683,1122,101,158,1,5
2016-12-08,59,291,19,621,1154,147,172,0,15
2016-12-09,45,265,19,689,1029,105,162,4,15
2016-12-10,59,288,23,613,840,95,151,2,15
2016-12-11,44,296,14,760,875,105,150,3,14
2016-12-12,46,268,24,770,1311,92,178,1,14
2016-12-13,64,186,11,714,1204,77,173,1,9
2016-12-14,49,184,14,681,1182,69,182,3,8
2016-12-15,36,176,18,629,1098,73,165,0,12
2016-12-16,47,209,20,652,936,75,171,1,13
2016-12-17,49,212,14,630,767,102,111,0,17
2016-12-18,54,188,15,713,743,83,116,1,14
2016-12-19,56,240,13,641,787,65,159,2,9
2016-12-20,66,191,18,736,798,68,158,1,10
2016-12-21,50,197,13,699,782,84,140,4,7
2016-12-22,60,245,23,699,708,52,131,1,15
