Date,"Name-letter effect","The Chase (U.S. game show)","Disneyland Railroad","Quehanna Wild Area","Leningrad première of Shostakovich's Symphony No. 7","Lynx (constellation)","Elfin woods warbler","Falaise Pocket","Bert T. Combs"
2015-09-22,0,496,98,40,84,71,24,122,31
2015-09-23,0,224,129,31,52,104,25,52,24
2015-09-24,0,271,111,40,36,96,18,49,25
2015-09-25,0,567,248,45,51,81,21,37,27
2015-09-26,0,430,211,14,44,50,14,33,25
2015-09-27,0,198,178,40,42,64,14,41,15
2015-09-28,0,218,160,35,35,105,12,54,25
2015-09-29,0,378,177,27,35,112,21,51,34
2015-09-30,0,321,154,30,69,93,26,73,25
2015-10-01,0,237,132,54,53,83,23,57,34
2015-10-02,0,697,143,40,22,106,49,53,21
2015-10-03,0,480,132,40,35,51,24,54,30
2015-10-04,0,193,176,30,27,90,13,46,12
2015-10-05,0,224,180,42,28,94,21,42,21
2015-10-06,0,519,139,43,42,90,22,49,28
2015-10-07,0,186,133,29,30,101,21,56,33
2015-10-08,0,299,101,42,48,74,18,112,37
2015-10-09,0,614,130,43,34,77,25,97,40
2015-10-10,0,524,126,26,18,65,15,88,31
2015-10-11,1,396,163,32,23,61,16,132,21
2015-10-12,0,264,142,56,37,82,23,213,33
2015-10-13,0,466,120,34,38,87,15,221,21
2015-10-14,0,289,156,32,32,76,30,216,30
2015-10-15,0,296,122,31,27,69,19,163,18
2015-10-16,0,706,137,50,17,75,19,189,25
2015-10-17,0,500,117,20,25,73,19,159,24
2015-10-18,0,450,132,46,26,55,22,183,22
2015-10-19,0,311,135,35,28,90,25,205,28
2015-10-20,0,256,128,33,43,93,14,183,18
2015-10-21,0,550,160,27,41,92,21,181,17
2015-10-22,0,352,125,34,45,75,18,206,22
2015-10-23,0,729,117,26,42,83,14,167,37
2015-10-24,0,470,124,21,28,56,11,175,25
2015-10-25,1,553,126,25,43,59,31,199,27
2015-10-26,0,309,107,55,70,63,17,213,42
2015-10-27,0,274,133,38,49,75,29,219,27
2015-10-28,2,560,99,26,49,85,31,175,26
2015-10-29,0,352,117,35,40,115,26,209,35
2015-10-30,1,629,96,30,41,98,32,192,36
2015-10-31,0,517,113,28,113,60,16,191,30
2015-11-01,0,508,124,44,28,88,73,196,30
2015-11-02,1,285,130,46,46,66,16,224,35
2015-11-03,0,318,121,33,44,95,16,268,39
2015-11-04,0,643,100,27,25,102,24,270,119
2015-11-05,0,360,108,26,40,84,13,245,58
2015-11-06,0,394,106,32,42,60,28,202,36
2015-11-07,0,1447,147,34,23,66,23,227,42
2015-11-08,0,671,155,13,20,106,32,233,23
2015-11-09,0,428,141,14,29,89,14,226,37
2015-11-10,0,290,149,31,31,89,15,271,28
2015-11-11,0,733,150,23,39,75,17,371,35
2015-11-12,0,338,110,66,41,85,28,318,50
2015-11-13,0,373,110,32,28,107,12,231,32
2015-11-14,0,1226,94,17,24,81,18,228,14
2015-11-15,0,617,128,24,39,66,21,224,27
2015-11-16,0,410,118,31,57,93,28,202,32
2015-11-17,0,318,118,27,40,96,17,243,38
2015-11-18,0,767,116,34,31,101,17,521,30
2015-11-19,0,405,117,29,36,64,19,394,28
2015-11-20,0,368,108,34,35,63,19,198,21
2015-11-21,0,1743,162,22,22,85,10,170,23
2015-11-22,0,814,138,31,16,52,13,204,20
2015-11-23,1,407,128,34,30,79,17,247,25
2015-11-24,0,318,112,36,25,86,17,194,24
2015-11-25,0,859,119,24,31,71,16,197,20
2015-11-26,0,415,151,27,34,68,18,179,20
2015-11-27,0,375,114,24,24,49,13,202,17
2015-11-28,0,1609,93,19,24,68,16,195,24
2015-11-29,0,759,125,30,30,66,19,198,27
2015-11-30,0,471,143,21,31,99,11,238,32
2015-12-01,0,367,114,33,28,111,25,267,25
2015-12-02,0,768,105,64,33,87,26,273,33
2015-12-03,0,347,101,20,25,112,23,157,47
2015-12-04,0,378,114,23,35,102,23,166,33
2015-12-05,0,1475,149,32,25,68,17,171,28
2015-12-06,0,640,149,22,34,77,16,193,36
2015-12-07,0,435,131,31,45,129,17,243,41
2015-12-08,0,328,97,28,29,112,7,227,51
2015-12-09,0,799,124,36,28,122,16,261,54
2015-12-10,0,426,126,34,35,85,20,220,50
2015-12-11,0,429,136,59,35,102,22,198,26
2015-12-12,0,1603,97,29,33,72,16,208,36
2015-12-13,0,652,120,23,35,110,8,199,59
2015-12-14,0,371,147,47,43,171,8,266,41
2015-12-15,0,333,146,36,30,105,15,199,48
2015-12-16,0,752,97,19,44,91,24,207,28
2015-12-17,2,332,107,19,30,80,16,253,29
2015-12-18,0,247,96,20,36,82,14,185,18
2015-12-19,0,499,84,19,20,66,14,157,12
2015-12-20,0,399,106,25,18,52,3,159,18
2015-12-21,0,317,101,36,28,91,11,164,18
2015-12-22,0,296,113,37,23,63,14,245,21
2015-12-23,0,732,112,37,25,51,11,166,22
2015-12-24,0,287,87,24,27,54,17,153,16
2015-12-25,0,260,122,22,23,62,12,202,13
2015-12-26,0,1148,142,23,27,91,9,213,25
2015-12-27,0,337,193,57,22,60,10,205,15
2015-12-28,0,328,182,112,16,61,7,206,18
2015-12-29,0,1975,163,32,28,79,15,241,34
2015-12-30,0,1531,155,29,29,76,16,232,17
2015-12-31,0,319,127,28,35,59,7,208,32
2016-01-01,0,290,139,23,51,63,13,195,24
2016-01-02,0,1321,170,36,338,82,10,207,21
2016-01-03,0,1792,153,17,199,115,18,227,20
2016-01-04,0,757,159,42,130,140,28,223,22
2016-01-05,0,378,147,30,72,152,18,262,21
2016-01-06,0,1128,157,26,63,168,17,302,21
2016-01-07,0,327,184,22,86,168,17,233,29
2016-01-08,0,283,172,25,70,114,22,238,36
2016-01-09,0,1174,269,22,44,88,20,190,22
2016-01-10,0,618,303,35,35,164,19,219,21
2016-01-11,0,331,360,37,84,154,16,243,28
2016-01-12,0,266,316,22,40,169,22,207,143
2016-01-13,0,977,209,13,55,140,14,180,21
2016-01-14,0,334,171,27,33,117,20,194,28
2016-01-15,0,333,144,22,44,86,11,245,27
2016-01-16,0,1029,163,27,34,70,13,147,20
2016-01-17,0,495,173,23,64,93,8,182,20
2016-01-18,0,280,179,32,54,115,18,225,33
2016-01-19,0,315,181,177,65,100,12,221,21
2016-01-20,0,1031,129,18,36,104,6,228,30
2016-01-21,0,393,152,27,41,107,26,181,51
2016-01-22,0,353,157,21,46,94,18,190,25
2016-01-23,1,1088,171,18,45,79,13,218,25
2016-01-24,0,564,191,22,47,99,23,221,21
2016-01-25,0,339,159,26,66,111,20,264,26
2016-01-26,0,414,168,27,41,126,13,265,30
2016-01-27,2,917,181,28,48,142,17,245,14
2016-01-28,0,353,143,30,44,135,19,230,20
2016-01-29,0,362,118,25,27,109,18,201,17
2016-01-30,0,1112,147,33,22,82,14,199,25
2016-01-31,0,387,230,33,34,103,14,197,19
2016-02-01,0,337,157,30,52,104,13,211,25
2016-02-02,0,399,134,25,47,115,16,232,44
2016-02-03,0,798,118,39,32,122,20,210,21
2016-02-04,0,311,95,17,32,141,16,232,26
2016-02-05,1,356,100,31,247,89,24,243,32
2016-02-06,0,1019,125,29,191,78,16,229,22
2016-02-07,0,299,154,31,37,77,22,277,22
2016-02-08,0,293,228,22,35,106,17,243,26
2016-02-09,0,338,150,22,27,125,12,264,26
2016-02-10,0,798,191,32,48,145,20,224,21
2016-02-11,1,299,107,28,36,131,14,205,26
2016-02-12,1,293,137,27,39,88,26,273,26
2016-02-13,0,1002,144,27,40,92,15,196,24
2016-02-14,0,287,188,21,48,93,13,283,47
2016-02-15,0,321,164,26,37,101,20,256,28
2016-02-16,0,353,129,19,33,141,16,262,20
2016-02-17,0,830,145,28,40,133,16,283,21
2016-02-18,1,320,179,17,57,135,19,232,22
2016-02-19,0,324,197,22,74,127,17,243,24
2016-02-20,0,989,146,29,32,51,13,258,24
2016-02-21,0,333,151,46,33,66,31,264,17
2016-02-22,0,293,217,29,41,94,19,282,14
2016-02-23,0,371,198,34,27,147,20,276,29
2016-02-24,0,801,129,21,36,117,23,273,19
2016-02-25,0,342,162,33,44,92,23,266,14
2016-02-26,0,246,196,33,39,120,16,242,34
2016-02-27,1,914,129,41,45,80,18,180,19
2016-02-28,0,287,214,39,34,112,13,273,30
2016-02-29,0,291,129,31,42,103,31,280,28
2016-03-01,1,299,116,18,34,110,12,263,20
2016-03-02,0,922,171,21,31,131,19,247,19
2016-03-03,0,314,107,20,29,115,10,237,21
2016-03-04,0,300,138,20,25,125,16,241,17
2016-03-05,0,1112,152,24,29,103,20,243,16
2016-03-06,0,323,152,21,39,113,16,271,37
2016-03-07,0,353,114,42,29,201,17,223,25
2016-03-08,0,325,147,32,34,205,14,220,33
2016-03-09,0,912,107,31,49,200,16,222,24
2016-03-10,0,334,128,24,34,159,15,248,20
2016-03-11,0,271,99,36,23,135,22,203,26
2016-03-12,0,908,115,35,29,1895,20,224,23
2016-03-13,0,298,113,31,38,154,11,224,19
2016-03-14,1,428,139,20,42,188,16,215,24
2016-03-15,0,688,131,22,34,203,21,240,34
2016-03-16,0,1128,157,31,45,122,23,226,33
2016-03-17,0,453,106,23,31,120,11,229,30
2016-03-18,0,343,144,26,31,132,12,213,27
2016-03-19,0,1062,140,23,51,85,14,161,13
2016-03-20,0,273,155,28,14,99,5,213,29
2016-03-21,0,415,157,40,32,3543,18,289,29
2016-03-22,0,428,114,32,25,196,14,424,29
2016-03-23,0,882,169,29,34,110,15,261,166
2016-03-24,0,432,148,18,16,155,10,259,16
2016-03-25,0,344,155,20,39,120,8,254,35
2016-03-26,0,553,155,19,31,91,13,194,26
2016-03-27,0,333,149,38,36,72,15,373,31
2016-03-28,0,401,161,33,50,94,17,278,28
2016-03-29,0,476,128,37,29,104,16,221,21
2016-03-30,0,904,102,21,52,78,23,218,83
2016-03-31,0,511,116,35,19,94,21,230,30
2016-04-01,0,341,119,25,26,75,23,219,34
2016-04-02,0,1133,135,23,20,64,12,272,61
2016-04-03,0,338,104,32,27,88,19,220,24
2016-04-04,2,555,129,34,29,104,29,277,33
2016-04-05,0,391,114,22,36,108,25,224,25
2016-04-06,0,800,148,21,35,82,27,242,23
2016-04-07,0,354,123,32,21,105,11,274,15
2016-04-08,0,361,118,29,53,93,17,213,27
2016-04-09,0,966,126,35,52,88,22,201,27
2016-04-10,0,288,119,33,47,70,31,261,35
2016-04-11,0,286,175,31,37,131,14,253,29
2016-04-12,0,311,121,33,38,97,23,261,26
2016-04-13,0,746,128,36,41,137,18,264,18
2016-04-14,0,324,160,26,31,87,19,279,26
2016-04-15,0,317,130,29,31,84,22,212,17
2016-04-16,1,598,122,20,35,74,11,215,19
2016-04-17,0,261,142,45,38,80,23,232,20
2016-04-18,0,276,131,36,62,107,12,257,72
2016-04-19,0,237,168,39,50,96,20,400,19
2016-04-20,0,653,92,28,32,102,24,266,29
2016-04-21,0,282,120,30,30,109,19,222,28
2016-04-22,0,258,102,29,45,85,26,245,31
2016-04-23,0,419,113,31,25,54,15,213,17
2016-04-24,0,273,160,28,36,48,23,222,18
2016-04-25,0,268,140,34,39,72,15,227,18
2016-04-26,0,251,103,34,24,134,22,300,24
2016-04-27,0,241,103,45,40,63,25,333,20
2016-04-28,0,283,101,31,31,100,17,291,26
2016-04-29,0,232,110,18,43,93,19,226,23
2016-04-30,0,356,135,22,22,72,12,220,21
2016-05-01,0,265,136,29,31,77,14,238,25
2016-05-02,0,279,102,28,24,104,20,349,23
2016-05-03,0,226,159,39,31,89,22,318,30
2016-05-04,0,308,186,40,44,105,35,286,26
2016-05-05,0,241,122,35,43,114,17,254,34
2016-05-06,0,235,126,25,64,91,25,265,28
2016-05-07,0,385,122,25,96,70,21,226,33
2016-05-08,0,227,138,21,44,74,19,264,25
2016-05-09,0,257,131,31,63,115,30,327,35
2016-05-10,1,276,154,43,45,111,15,318,22
2016-05-11,0,269,145,52,45,120,21,285,49
2016-05-12,0,218,162,23,48,122,18,265,74
2016-05-13,0,243,127,18,52,108,15,266,35
2016-05-14,0,408,106,28,30,58,18,224,30
2016-05-15,0,270,135,35,36,62,14,256,29
2016-05-16,0,266,163,28,33,85,22,305,21
2016-05-17,0,230,144,35,25,106,19,314,32
2016-05-18,0,224,170,36,36,95,19,332,27
2016-05-19,0,243,147,27,19,146,18,321,30
2016-05-20,0,243,131,41,27,108,16,298,45
2016-05-21,0,415,182,32,36,114,17,256,48
2016-05-22,0,245,140,19,40,63,16,252,25
2016-05-23,0,230,129,36,36,81,27,271,38
2016-05-24,0,195,144,37,26,89,17,322,29
2016-05-25,0,227,142,47,27,90,21,398,17
2016-05-26,0,211,135,34,45,66,29,274,36
2016-05-27,0,264,129,31,24,81,15,273,20
2016-05-28,0,436,141,19,29,44,16,303,19
2016-05-29,0,242,138,26,24,71,16,277,23
2016-05-30,0,264,157,41,35,66,28,341,23
2016-05-31,0,259,145,84,21,76,17,368,26
2016-06-01,0,297,165,35,36,98,19,288,30
2016-06-02,0,373,126,35,32,88,20,289,34
2016-06-03,0,228,91,55,25,65,24,306,18
2016-06-04,0,230,111,13,35,62,17,259,27
2016-06-05,0,209,119,21,27,63,15,262,23
2016-06-06,0,196,161,26,28,78,13,928,21
2016-06-07,0,182,146,23,26,86,19,666,20
2016-06-08,0,232,124,33,27,88,12,378,19
2016-06-09,0,235,115,27,19,72,14,361,17
2016-06-10,0,217,143,19,18,65,13,318,18
2016-06-11,0,152,134,23,25,51,13,299,19
2016-06-12,0,151,158,28,39,54,12,279,17
2016-06-13,0,210,131,33,18,64,23,316,26
2016-06-14,0,157,129,30,27,57,23,262,31
2016-06-15,0,188,144,34,42,57,16,256,39
2016-06-16,0,190,182,38,26,62,19,256,32
2016-06-17,0,147,142,28,24,51,17,289,21
2016-06-18,0,162,135,30,27,52,20,259,27
2016-06-19,0,165,150,26,115,82,26,273,19
2016-06-20,0,197,164,41,48,153,16,272,15
2016-06-21,0,160,194,39,47,156,19,262,25
2016-06-22,0,173,142,25,35,132,20,323,21
2016-06-23,0,200,194,20,22,82,24,276,16
2016-06-24,0,176,127,35,20,74,14,205,10
2016-06-25,0,184,162,16,20,101,17,203,22
2016-06-26,0,193,151,24,33,108,14,280,15
2016-06-27,0,204,148,30,25,77,24,224,30
2016-06-28,0,189,129,27,16,56,15,556,21
2016-06-29,0,196,137,23,34,76,10,718,23
2016-06-30,0,169,117,26,42,53,15,279,23
2016-07-01,0,194,157,28,27,72,17,329,22
2016-07-02,0,161,127,37,28,63,11,282,26
2016-07-03,0,168,167,52,31,66,14,324,22
2016-07-04,0,682,141,51,31,68,23,264,27
2016-07-05,0,252,132,35,23,78,12,237,24
2016-07-06,0,240,114,46,21,103,14,265,27
2016-07-07,0,278,100,39,20,77,11,254,19
2016-07-08,0,183,98,22,29,69,10,247,12
2016-07-09,0,183,126,29,28,47,18,258,21
2016-07-10,1,134,140,34,26,68,13,291,22
2016-07-11,0,272,143,34,17,67,16,253,25
2016-07-12,0,660,134,32,27,69,28,278,24
2016-07-13,0,439,139,31,22,62,10,264,20
2016-07-14,0,216,111,28,26,56,14,231,22
2016-07-15,0,227,127,27,37,55,12,239,18
2016-07-16,0,194,113,24,18,56,5,191,17
2016-07-17,0,241,161,28,28,78,19,219,25
2016-07-18,0,309,165,52,54,65,7,245,25
2016-07-19,0,244,104,22,35,73,19,258,21
2016-07-20,0,237,100,30,31,85,13,251,19
2016-07-21,0,228,105,33,29,52,14,315,26
2016-07-22,0,254,101,24,32,57,16,231,20
2016-07-23,0,147,122,18,25,64,15,203,23
2016-07-24,0,204,136,31,30,57,18,248,29
2016-07-25,0,227,138,28,31,81,19,283,33
2016-07-26,0,231,116,25,33,69,28,364,58
2016-07-27,0,237,99,15,24,63,13,278,19
2016-07-28,0,329,105,31,29,62,14,272,26
2016-07-29,0,303,125,32,42,74,17,253,28
2016-07-30,0,177,156,18,32,63,16,208,17
2016-07-31,0,205,118,25,40,88,16,265,23
2016-08-01,0,291,107,41,31,86,15,292,32
2016-08-02,0,305,139,25,36,94,10,239,28
2016-08-03,0,272,116,33,26,109,23,326,39
2016-08-04,0,283,106,21,32,89,10,237,19
2016-08-05,0,272,74,32,29,64,15,294,35
2016-08-06,0,157,98,29,36,75,17,228,22
2016-08-07,0,139,130,29,31,54,18,277,28
2016-08-08,0,176,116,28,26,159,15,343,22
2016-08-09,0,234,151,36,51,125,13,304,24
2016-08-10,0,181,184,30,29,94,14,254,20
2016-08-11,0,206,141,35,37,73,11,248,28
2016-08-12,0,215,111,33,25,72,12,226,24
2016-08-13,0,140,93,20,32,73,12,200,14
2016-08-14,0,118,180,32,27,67,24,280,30
2016-08-15,0,179,167,15,23,60,12,280,26
2016-08-16,0,215,130,70,46,65,17,274,25
2016-08-17,0,204,141,21,34,68,8,292,20
2016-08-18,0,164,123,28,22,64,12,260,30
2016-08-19,0,206,114,24,22,85,19,271,25
2016-08-20,0,109,112,21,34,148,14,221,27
2016-08-21,0,134,107,52,32,133,24,1266,33
2016-08-22,0,238,152,41,24,164,17,328,32
2016-08-23,0,236,135,114,31,177,17,252,22
2016-08-24,0,242,128,86,20,173,20,341,38
2016-08-25,1,261,96,77,33,159,16,269,15
2016-08-26,0,231,113,42,37,147,21,256,25
2016-08-27,0,169,122,30,25,149,15,247,20
2016-08-28,1,190,113,38,36,168,17,272,33
2016-08-29,0,210,143,44,31,176,16,320,27
2016-08-30,0,216,103,41,26,178,13,298,22
2016-08-31,0,227,111,29,27,200,22,236,21
2016-09-01,0,241,110,28,32,184,13,261,25
2016-09-02,0,204,120,35,27,159,17,316,28
2016-09-03,0,156,105,24,20,136,12,272,19
2016-09-04,0,180,138,32,24,129,8,331,23
2016-09-05,0,347,126,42,28,155,23,259,29
2016-09-06,0,273,112,44,40,126,14,296,22
2016-09-07,0,231,112,32,40,179,17,262,16
2016-09-08,0,226,131,24,71,193,11,263,22
2016-09-09,0,245,342,32,43,180,13,238,30
2016-09-10,0,353,181,21,45,123,15,245,12
2016-09-11,0,418,106,26,47,147,7,222,17
2016-09-12,0,228,113,29,50,181,19,302,24
2016-09-13,0,170,106,29,44,193,24,260,20
2016-09-14,0,176,89,27,36,199,15,247,26
2016-09-15,0,190,111,24,34,164,17,269,26
2016-09-16,0,185,105,24,29,166,17,210,31
2016-09-17,0,439,110,31,34,121,12,272,25
2016-09-18,0,232,99,51,43,128,22,255,24
2016-09-19,2,171,105,38,38,174,17,261,27
2016-09-20,0,199,118,38,28,190,18,239,18
2016-09-21,1,203,124,31,46,159,21,244,19
2016-09-22,0,219,117,389,202,335,85,270,304
2016-09-23,0,173,81,34,45,193,15,528,34
2016-09-24,0,147,99,23,37,149,13,270,18
2016-09-25,0,172,107,38,42,131,7,237,21
2016-09-26,0,167,108,45,35,181,35,286,20
2016-09-27,3,135,119,34,32,177,15,244,20
2016-09-28,0,157,118,32,54,198,22,285,34
2016-09-29,0,252,112,40,38,138,21,221,24
2016-09-30,0,203,110,36,34,92,11,246,19
2016-10-01,1,156,73,25,38,68,17,254,13
2016-10-02,0,153,83,28,41,90,12,214,20
2016-10-03,0,161,125,39,27,114,11,250,25
2016-10-04,0,199,125,33,45,112,19,246,40
2016-10-05,0,156,111,34,45,99,15,261,19
2016-10-06,0,185,90,44,36,84,15,256,24
2016-10-07,0,156,111,50,23,91,31,215,31
2016-10-08,0,197,104,39,28,75,23,248,22
2016-10-09,0,198,126,44,24,74,19,261,32
2016-10-10,0,192,97,56,43,94,16,279,30
2016-10-11,0,142,90,35,38,106,21,268,25
2016-10-12,0,155,120,36,26,91,22,268,25
2016-10-13,0,194,118,18,41,98,17,232,19
2016-10-14,0,201,100,32,43,96,14,262,24
2016-10-15,0,393,133,30,27,64,8,224,22
2016-10-16,0,947,108,37,30,69,21,233,16
2016-10-17,1,1141,121,36,22,78,12,243,18
2016-10-18,1,1159,124,38,30,76,19,273,31
2016-10-19,0,1125,132,25,32,82,19,257,22
2016-10-20,0,1123,104,35,44,89,31,244,30
2016-10-21,0,1133,102,57,48,65,29,232,31
2016-10-22,0,1231,100,25,39,56,14,198,21
2016-10-23,0,1355,95,22,45,70,11,207,20
2016-10-24,0,1230,103,41,32,100,19,286,18
2016-10-25,0,1145,133,28,35,86,18,253,39
2016-10-26,0,1138,102,30,29,75,20,536,22
2016-10-27,0,1104,158,31,27,77,16,282,28
2016-10-28,0,1119,84,28,43,78,21,310,37
2016-10-29,0,1081,103,23,39,69,11,315,18
2016-10-30,0,1278,149,28,38,58,10,242,26
2016-10-31,0,1065,109,18,33,91,11,275,40
2016-11-01,0,947,81,39,20,82,17,292,47
2016-11-02,0,1050,109,23,19,82,21,299,16
2016-11-03,0,895,103,24,27,80,17,215,31
2016-11-04,0,984,120,16,18,66,18,276,16
2016-11-05,0,1209,112,13,25,61,15,242,17
2016-11-06,0,1603,129,32,24,73,10,235,30
2016-11-07,1,908,125,50,33,87,22,262,18
2016-11-08,0,1170,103,43,36,97,29,262,38
2016-11-09,0,513,108,26,21,81,20,209,321
2016-11-10,0,684,90,11,30,82,17,237,25
2016-11-11,0,760,106,25,40,87,12,581,16
2016-11-12,0,972,112,22,21,77,14,416,19
2016-11-13,0,1517,123,25,68,76,15,280,26
2016-11-14,0,910,123,31,33,78,28,279,24
2016-11-15,0,1206,118,29,32,109,23,329,33
2016-11-16,0,683,102,22,22,88,17,258,22
2016-11-17,0,590,98,19,34,87,11,323,21
2016-11-18,0,530,120,17,27,87,17,281,39
2016-11-19,0,525,130,27,29,77,17,215,36
2016-11-20,0,1174,115,33,28,81,18,236,21
2016-11-21,0,943,118,28,30,99,14,361,22
2016-11-22,0,1424,90,22,33,107,18,343,32
2016-11-23,0,1128,97,41,27,62,11,271,32
2016-11-24,1,991,103,33,31,71,14,337,30
2016-11-25,0,575,349,28,31,71,10,302,27
2016-11-26,0,571,105,33,29,76,14,308,28
2016-11-27,0,1195,160,29,32,76,20,270,38
2016-11-28,0,898,106,38,33,122,15,314,46
2016-11-29,0,1688,94,38,38,134,30,347,49
2016-11-30,0,990,136,43,30,96,18,313,32
2016-12-01,0,896,111,42,40,94,25,286,26
2016-12-02,0,954,106,38,98,92,18,241,30
2016-12-03,0,619,115,36,136,98,19,269,30
2016-12-04,0,1399,133,30,59,78,21,332,36
2016-12-05,0,843,188,37,53,124,45,292,32
2016-12-06,0,1320,120,32,43,129,14,281,31
2016-12-07,0,1002,111,30,38,120,11,338,30
2016-12-08,1,997,113,15,35,122,21,318,41
2016-12-09,0,977,114,102,40,103,30,305,36
2016-12-10,0,582,110,22,36,77,14,231,26
2016-12-11,0,1190,118,38,29,101,15,249,38
2016-12-12,0,1002,132,48,31,130,26,305,53
2016-12-13,0,1649,105,42,23,132,15,291,36
2016-12-14,0,831,96,36,38,137,16,275,26
2016-12-15,0,751,147,35,33,121,17,325,22
2016-12-16,0,939,116,24,41,71,15,315,30
2016-12-17,0,541,117,36,42,101,21,276,22
2016-12-18,0,1023,144,32,22,85,18,308,19
2016-12-19,0,892,113,13,27,100,10,266,20
2016-12-20,0,1390,138,26,41,113,16,275,30
2016-12-21,0,902,88,23,24,60,11,315,15
2016-12-22,0,1088,133,19,37,92,17,286,30
2016-12-23,0,1191,115,15,44,74,15,258,26
2016-12-24,0,611,99,15,22,63,10,238,14
2016-12-25,0,2164,132,26,30,58,322,212,397
2016-12-26,0,666,141,19,119,79,17,724,16
2016-12-27,0,1225,106,544,40,76,17,235,23
2016-12-28,0,1809,127,22,55,73,13,296,27
