Date,Oran fatwa,Piano Concerto No. 24 (Mozart),Jean Bellette,Interstate 8,Mayabazar,Military service of Ian Smith,Boise National Forest,Juan Manuel de Rosas,Cincinnati Musical Center half dollar,Nominative determinism,Courtney Love,Camas pocket gopher,The Heart of a Woman,Shackleton–Rowett Expedition,7th Army (Kingdom of Yugoslavia),Gabriel Pleydell,Yesterday's Enterprise,Canadian National Vimy Memorial
2015-08-20,0,53,9,272,202,14,38,282,21,163,5097,27,59,23,6,4,144,184
2015-08-21,0,74,15,365,386,18,24,88,22,167,5135,28,64,37,3,3,202,186
2015-08-22,0,50,10,299,367,22,20,92,10,190,7128,17,44,31,5,4,149,157
2015-08-23,0,47,17,310,294,16,17,154,10,258,6452,16,60,34,1,1,193,160
2015-08-24,0,111,10,273,246,18,20,156,10,431,9726,19,48,41,3,0,174,179
2015-08-25,0,65,15,278,291,23,18,163,20,176,11630,26,51,50,1,0,141,146
2015-08-26,0,63,12,412,308,13,35,100,10,174,6170,27,70,51,3,2,164,173
2015-08-27,0,58,12,256,224,13,23,118,17,216,4739,23,54,57,1,1,237,142
2015-08-28,0,72,15,335,220,22,33,107,18,337,4571,23,43,52,2,0,151,143
2015-08-29,0,33,15,379,256,20,25,240,11,242,4831,26,42,46,5,0,134,146
2015-08-30,0,27,3,358,313,16,24,96,11,146,5517,12,41,37,1,2,203,172
2015-08-31,0,51,8,346,225,8,15,102,9,187,5268,13,67,38,1,1,180,298
2015-09-01,0,47,14,302,213,21,26,124,18,241,4697,30,70,47,1,0,146,184
2015-09-02,0,63,7,265,210,38,19,116,16,192,4490,23,47,35,6,1,149,201
2015-09-03,0,52,9,258,185,27,24,121,24,122,4330,29,46,27,5,1,151,192
2015-09-04,0,55,15,288,194,23,25,119,17,159,4469,33,61,44,2,1,142,174
2015-09-05,0,45,15,210,264,23,34,99,16,117,4696,32,48,27,3,1,120,165
2015-09-06,0,42,16,252,315,19,22,144,17,118,5499,77,48,32,12,4,130,186
2015-09-07,0,48,12,264,264,26,28,153,17,166,7016,27,46,39,1,2,161,182
2015-09-08,0,49,12,202,258,29,29,169,19,16226,6128,19,67,43,0,0,195,244
2015-09-09,0,46,16,154,217,19,26,118,17,28712,4642,18,53,86,5,1,178,191
2015-09-10,0,52,20,155,229,15,19,143,11,635,4691,109,69,50,1,1,142,208
2015-09-11,0,70,64,191,229,65,18,118,65,304,4584,57,80,85,2,2,131,255
2015-09-12,0,47,14,147,245,21,22,114,11,229,5918,29,63,38,1,2,122,167
2015-09-13,0,55,10,181,229,11,27,139,16,246,6423,20,44,31,0,0,142,194
2015-09-14,0,55,10,179,200,26,25,191,219,223,5263,18,63,25,3,0,146,210
2015-09-15,0,102,14,191,248,32,27,185,20,220,7096,29,61,43,7,2,135,209
2015-09-16,0,58,14,172,181,18,33,188,15,233,5599,18,49,42,2,1,171,221
2015-09-17,0,75,14,174,228,18,31,203,25,278,5020,34,63,35,4,1,150,227
2015-09-18,0,57,9,124,235,9,24,102,7,222,4984,17,41,26,1,0,126,165
2015-09-19,0,49,15,173,272,16,23,102,16,155,4739,26,58,29,1,0,105,157
2015-09-20,0,47,9,143,754,16,17,112,12,329,5396,21,58,25,2,0,114,166
2015-09-21,0,54,9,169,284,19,41,126,18,200,4867,16,53,50,4,2,166,208
2015-09-22,0,44,18,158,216,18,26,152,26,193,5037,40,72,45,1,1,119,215
2015-09-23,0,51,15,125,194,21,20,164,22,190,4984,24,61,49,1,0,120,238
2015-09-24,0,49,10,169,229,14,15,181,19,176,5737,23,61,46,2,1,128,244
2015-09-25,0,53,14,135,180,15,17,144,24,1797,6438,23,43,39,2,0,126,200
2015-09-26,0,45,12,216,210,9,22,83,13,191,6031,27,64,31,1,0,143,168
2015-09-27,0,53,12,156,348,12,18,91,26,155,7139,32,63,33,4,0,109,181
2015-09-28,0,71,10,160,280,15,26,183,19,165,8984,20,61,30,2,1,96,238
2015-09-29,0,71,11,178,189,11,23,153,21,174,6370,27,50,42,1,2,118,231
2015-09-30,0,66,12,147,169,28,28,175,19,239,5176,25,70,40,3,2,102,246
2015-10-01,0,74,17,127,185,15,27,165,15,244,4437,33,68,41,3,0,143,239
2015-10-02,0,56,9,158,188,12,23,153,7,232,4317,17,69,34,0,0,138,198
2015-10-03,0,40,16,120,199,18,15,73,19,180,4651,25,56,31,1,2,113,192
2015-10-04,0,43,15,151,207,14,12,105,11,329,4825,32,61,43,2,0,109,229
2015-10-05,0,60,17,159,186,21,25,165,16,248,4519,27,63,56,2,3,103,261
2015-10-06,0,52,19,176,308,26,40,161,11,216,4561,29,64,43,2,0,128,265
2015-10-07,0,58,13,138,219,24,20,211,28,2123,4578,29,68,62,3,0,95,207
2015-10-08,0,51,22,152,225,12,36,208,18,854,4280,21,73,43,2,0,105,221
2015-10-09,0,51,14,140,211,19,36,141,23,204,4461,34,56,53,1,1,82,176
2015-10-10,0,50,10,147,214,11,38,146,13,119,4509,21,35,26,0,0,107,180
2015-10-11,0,59,8,156,625,10,31,158,18,139,5718,27,51,47,2,0,117,181
2015-10-12,0,50,14,181,345,13,37,232,19,210,4971,29,69,42,1,1,113,195
2015-10-13,0,83,15,158,271,12,21,283,18,257,5138,22,66,37,0,1,106,224
2015-10-14,0,81,17,162,230,22,66,180,21,219,6069,26,47,44,3,0,75,200
2015-10-15,0,64,17,135,203,16,45,183,143,184,5117,37,61,36,0,0,125,231
2015-10-16,0,61,9,154,311,7,50,146,22,171,4726,49,50,43,0,1,109,204
2015-10-17,0,39,9,159,296,11,34,102,18,112,5365,21,40,44,3,0,409,191
2015-10-18,0,51,11,167,249,18,24,163,20,95,5446,43,38,36,4,1,197,198
2015-10-19,0,55,11,166,198,16,23,205,18,268,4711,51,52,56,1,2,162,208
2015-10-20,0,86,14,181,187,14,43,200,14,256,3956,25,33,49,2,0,113,220
2015-10-21,0,86,10,143,199,11,25,214,13,180,4057,30,50,32,1,1,142,274
2015-10-22,0,76,8,153,211,15,27,249,15,211,4069,26,58,48,5,0,152,251
2015-10-23,0,66,20,166,229,16,68,187,13,157,4023,30,72,35,2,1,253,200
2015-10-24,0,58,13,137,223,23,57,109,15,146,4194,13,32,38,1,3,139,191
2015-10-25,0,89,16,147,285,12,43,169,17,125,4331,45,48,41,2,3,139,204
2015-10-26,0,59,20,137,250,18,42,273,18,175,4086,46,64,39,5,1,207,251
2015-10-27,0,63,31,187,224,19,28,223,20,320,3994,31,63,43,2,2,166,288
2015-10-28,0,57,21,144,221,14,23,223,15,215,4039,41,64,39,0,0,135,252
2015-10-29,0,49,17,178,179,19,31,185,13,161,3748,45,55,36,5,1,121,282
2015-10-30,0,41,22,158,246,37,4059,147,16,124,4354,25,51,40,3,1,128,223
2015-10-31,0,166,48,164,230,20,82,75,14,102,4360,22,37,45,1,1,125,204
2015-11-01,0,65,19,140,286,17,33,119,19,81,4371,22,41,41,3,0,91,251
2015-11-02,0,102,13,159,283,11,34,233,9,155,4212,22,61,32,1,0,158,317
2015-11-03,0,62,14,123,347,10,23,220,11,162,3993,24,53,36,3,1,129,354
2015-11-04,0,55,15,129,375,15,13,236,12,259,4195,25,39,29,2,0,165,357
2015-11-05,0,61,10,131,238,8,17,211,15,140,4398,26,51,36,2,1,181,381
2015-11-06,0,57,18,151,198,20,21,152,13,148,4583,25,46,35,1,1,167,407
2015-11-07,0,66,18,165,214,28,17,99,16,104,4563,25,42,30,0,1,278,405
2015-11-08,0,48,4,186,251,12,19,108,11,152,5000,15,35,30,1,0,145,578
2015-11-09,0,63,6,163,342,14,20,224,4,160,5130,20,48,42,2,1,122,686
2015-11-10,0,70,7,151,267,37,34,215,13,236,4646,26,49,34,1,0,119,1139
2015-11-11,0,66,8,148,275,74,27,219,8,246,4151,14,47,30,3,0,105,2216
2015-11-12,0,47,22,180,273,27,27,205,26,246,4485,26,69,48,1,4,136,864
2015-11-13,0,63,14,169,239,20,24,198,6,175,4456,18,44,42,0,1,117,359
2015-11-14,0,47,10,127,215,15,16,102,17,116,3938,25,39,32,3,0,83,310
2015-11-15,0,56,14,149,238,16,18,186,16,101,4611,35,51,28,5,1,130,239
2015-11-16,0,53,17,162,264,29,18,193,20,148,4184,32,63,54,3,0,129,289
2015-11-17,0,61,15,164,232,19,20,225,19,160,4500,20,61,36,5,2,148,236
2015-11-18,0,68,10,171,247,14,16,210,12,158,4744,19,37,50,6,0,141,212
2015-11-19,0,83,11,164,247,14,14,158,13,210,6091,28,65,38,1,1,166,209
2015-11-20,0,47,10,241,234,13,13,533,10,144,5657,19,57,96,1,2,156,189
2015-11-21,0,61,6,142,246,12,25,107,12,117,7106,18,43,65,2,0,117,135
2015-11-22,0,66,8,151,273,5,11,124,13,146,11233,22,44,55,3,1,118,187
2015-11-23,0,69,10,171,315,12,8,301,13,196,11246,25,51,64,4,0,152,148
2015-11-24,0,43,11,181,255,11,24,209,18,661,8473,28,52,49,2,0,129,188
2015-11-25,0,58,16,208,252,11,13,184,14,306,8729,17,40,39,1,0,145,205
2015-11-26,0,41,12,202,250,12,17,158,18,187,8758,18,41,60,1,3,106,188
2015-11-27,0,42,14,175,222,15,17,108,16,188,8714,30,39,28,0,1,106,139
2015-11-28,0,52,12,126,236,5,19,120,7,134,9402,10,41,17,0,0,143,153
2015-11-29,0,56,15,176,343,8,31,117,14,206,10486,22,63,37,0,0,156,151
2015-11-30,0,42,6,184,232,10,18,206,5,188,9675,18,47,37,21,3,293,192
2015-12-01,0,78,13,143,203,12,22,209,14,177,8150,30,63,47,129,2,171,178
2015-12-02,0,73,15,170,294,14,26,170,16,240,7988,28,42,50,19,0,118,175
2015-12-03,0,49,4,170,276,9,19,201,26,166,7238,13,60,71,152,0,131,160
2015-12-04,0,66,10,157,264,10,17,157,19,153,17835,18,54,58,19,0,131,198
2015-12-05,0,48,21,115,232,12,16,137,15,282,10874,26,57,34,194,1,123,175
2015-12-06,0,48,7,157,262,10,19,163,11,231,10349,14,43,35,8,0,135,166
2015-12-07,0,52,7,191,183,12,20,205,9,194,8331,24,54,41,6,0,101,195
2015-12-08,0,63,12,145,166,10,35,183,14,391,8915,25,50,36,13,0,142,161
2015-12-09,0,92,19,177,189,25,21,195,16,389,7247,26,85,46,4,0,113,141
2015-12-10,0,69,8,142,186,15,27,201,13,490,6539,26,65,73,13,0,148,167
2015-12-11,0,45,15,155,263,14,21,174,13,213,6211,22,49,61,5,0,117,160
2015-12-12,0,58,14,164,235,16,20,136,16,184,7001,21,45,184,4,0,140,142
2015-12-13,0,38,8,219,274,13,16,127,11,242,7976,11,52,91,2,2,151,162
2015-12-14,0,41,7,225,232,14,25,172,12,188,6689,25,42,87,8,1,140,193
2015-12-15,0,48,11,161,256,11,13,204,15,208,5801,20,50,61,0,1,138,173
2015-12-16,0,59,9,168,223,12,25,166,12,236,5536,37,52,52,6,0,120,141
2015-12-17,0,123,12,231,190,13,12,147,5,177,5705,22,38,53,2,0,105,187
2015-12-18,0,53,10,233,176,7,15,101,7,134,5310,20,45,58,6,2,123,172
2015-12-19,0,54,8,166,216,9,14,87,10,120,8576,14,42,26,48,0,1086,110
2015-12-20,0,46,3,175,211,12,14,69,6,112,5880,19,47,34,18,0,327,202
2015-12-21,0,52,3,186,193,12,16,96,11,138,5413,23,47,53,0,1,433,133
2015-12-22,0,56,6,164,193,11,26,90,8,136,6762,13,45,47,25,0,418,102
2015-12-23,0,44,7,224,185,5,26,74,11,133,6671,29,50,18,6,1,312,94
2015-12-24,0,45,7,190,243,8,10,75,6,100,6813,16,43,28,0,0,202,67
2015-12-25,0,30,2,159,216,6,14,71,5,93,5199,14,26,16,2,0,132,89
2015-12-26,0,49,13,185,257,10,10,67,16,349,6406,12,23,32,0,0,148,109
2015-12-27,0,47,8,216,257,8,24,78,5,906,6338,24,30,28,5,0,165,164
2015-12-28,0,47,3,264,336,7,12,88,4,215,7227,13,45,36,27,1,194,142
2015-12-29,0,36,9,281,277,13,23,77,9,153,7177,27,55,26,5,0,215,106
2015-12-30,0,31,9,259,249,9,15,75,14,146,6280,56,40,42,3,1,201,124
2015-12-31,0,50,7,174,199,14,13,55,11,101,5705,31,43,40,7,0,216,141
2016-01-01,0,40,11,150,768,13,6,69,5,108,5783,29,34,33,0,1,153,127
2016-01-02,0,45,10,184,303,16,13,91,7,165,7557,25,50,35,1,1,187,149
2016-01-03,0,52,9,191,275,7,21,78,10,208,7124,26,34,54,2,0,251,155
2016-01-04,0,64,12,208,329,15,28,95,17,206,6246,27,59,45,0,3,183,133
2016-01-05,0,55,10,160,246,16,9,96,14,200,5925,31,42,35,2,4,209,126
2016-01-06,0,46,7,263,243,15,23,150,12,165,6933,25,60,32,18,0,182,181
2016-01-07,0,67,11,268,204,10,17,132,12,205,6741,28,58,41,1,2,173,231
2016-01-08,0,48,8,243,194,12,20,104,18,184,6634,33,60,31,2,1,171,160
2016-01-09,0,47,11,243,265,9,14,108,16,211,6369,20,50,77,1,0,183,176
2016-01-10,0,89,12,202,432,10,21,112,29,207,6884,26,55,41,0,0,169,239
2016-01-11,0,82,10,204,372,19,19,162,11,199,7351,24,46,131,25,0,150,179
2016-01-12,0,51,6,204,371,23,13,153,9,221,7149,18,49,48,20,0,201,174
2016-01-13,0,54,5,152,341,10,28,153,8,204,6425,18,50,38,1,3,132,223
2016-01-14,0,43,8,207,316,11,19,167,8,202,6517,15,44,44,8,0,170,176
2016-01-15,0,53,12,159,303,19,12,159,14,148,6882,16,68,44,4,0,162,185
2016-01-16,0,42,14,148,403,16,27,110,12,195,7825,25,43,36,2,0,169,143
2016-01-17,118,72,5,218,419,10,22,77,5,178,8104,20,364,49,4,0,137,176
2016-01-18,212,61,10,187,2300,13,72,104,15,191,7502,24,99,58,3,1,180,228
2016-01-19,18,65,5,157,361,11,83,172,10,263,6592,11,86,37,2,0,171,198
2016-01-20,62,51,7,171,323,13,22,173,7,204,6393,8,61,37,2,1,137,197
2016-01-21,27,61,16,160,297,21,22,127,18,159,7943,24,74,58,5,0,822,201
2016-01-22,4,85,6,175,317,12,29,157,12,210,6849,27,62,66,35,0,204,174
2016-01-23,33,55,10,184,314,14,24,94,15,193,8379,30,52,39,13,0,162,149
2016-01-24,17,57,6,150,344,36,20,115,8,143,8611,22,51,50,20,0,173,199
2016-01-25,16,53,12,177,485,15,58,132,19,163,6596,21,53,245,31,0,134,207
2016-01-26,7,45,11,156,316,8,20,154,8,190,5941,31,44,160,7,0,120,188
2016-01-27,12,103,8,155,267,7,37,150,10,168,5877,19,50,65,5,0,309,182
2016-01-28,20,70,11,139,272,15,17,177,14,283,6056,31,68,69,5,0,268,156
2016-01-29,8,66,2,171,258,12,20,159,6,181,5793,4,54,43,9,0,174,151
2016-01-30,17,52,13,156,259,21,16,174,12,159,6929,19,37,34,8,1,141,135
2016-01-31,11,64,6,166,243,8,19,299,4,320,6966,6,27,38,130,1,139,152
2016-02-01,50,63,14,239,180,10,38,253,9,235,5675,13,57,38,5,0,154,215
2016-02-02,20,75,15,189,191,12,19,294,14,187,5237,22,63,40,7,1,133,170
2016-02-03,17,93,9,176,189,19,25,285,10,213,4985,15,63,51,3,1,160,186
2016-02-04,21,76,10,199,200,11,18,245,7,183,6144,11,74,50,7,0,174,214
2016-02-05,22,71,14,165,169,10,23,232,12,198,8213,15,67,37,6,0,140,735
2016-02-06,1166,57,7,171,182,28,16,170,14,143,6315,11,54,25,6,0,130,642
2016-02-07,34,65,16,175,247,12,20,206,11,123,6242,15,51,27,4,0,149,327
2016-02-08,27,59,12,171,189,13,32,267,8,177,5079,12,65,43,3,0,116,311
2016-02-09,15,50,33,181,162,14,23,251,12,201,6209,11,69,29,2,0,151,293
2016-02-10,23,72,16,169,161,16,26,287,12,191,5060,18,69,41,3,0,129,303
2016-02-11,25,54,18,158,180,37,29,293,10,161,5115,22,81,42,3,1,144,287
2016-02-12,21,55,10,149,190,22,30,296,17,165,4715,17,66,43,3,1,200,248
2016-02-13,62,55,13,188,203,14,29,181,13,123,5107,18,40,27,5,0,199,245
2016-02-14,213,60,10,190,204,12,26,196,8,132,5480,7,38,36,3,2,158,187
2016-02-15,41,64,10,193,186,15,27,242,9,175,5952,20,80,41,2,0,185,228
2016-02-16,73,67,10,182,223,20,29,325,5,157,5500,14,79,32,2,1,174,206
2016-02-17,65,65,10,151,464,13,33,272,10,165,4889,9,76,27,4,0,143,210
2016-02-18,3152,97,13,159,243,14,29,250,7,193,4682,12,69,25,12,0,296,224
2016-02-19,209,45,18,183,190,13,25,238,12,169,4599,23,52,32,4,0,172,222
2016-02-20,46,67,10,181,205,12,18,169,6,165,8708,10,40,45,4,0,135,166
2016-02-21,23,61,36,157,270,18,36,200,22,138,8485,30,52,38,1,0,125,334
2016-02-22,26,79,10,168,209,19,27,291,5,187,5587,12,78,22,5,0,128,286
2016-02-23,40,84,8,158,227,13,32,254,12,161,4700,16,86,32,3,0,129,268
2016-02-24,21,55,8,152,235,5,21,307,6,545,4935,29,63,60,1,0,129,243
2016-02-25,19,50,10,152,184,10,23,263,14,242,4751,17,67,55,1,0,145,262
2016-02-26,14,65,17,154,247,16,26,184,8,171,4580,25,49,37,7,0,170,270
2016-02-27,15,55,11,163,256,19,29,118,14,124,5313,13,56,30,3,0,116,218
2016-02-28,38,72,15,181,231,25,26,187,15,107,5579,17,64,40,2,0,119,261
2016-02-29,13,79,13,199,233,15,21,304,11,453,4849,23,60,32,2,1,124,307
2016-03-01,65,63,8,215,244,10,26,232,7,280,4314,8,65,24,1,1,106,242
2016-03-02,20,67,5,134,172,13,35,265,11,291,4378,13,56,27,7,0,138,251
2016-03-03,32,62,8,174,211,31,24,271,7,215,4600,14,71,31,12,1,148,203
2016-03-04,20,70,8,176,211,43,18,163,10,190,4305,18,55,26,1,0,111,218
2016-03-05,13,47,12,162,188,27,21,122,19,138,4431,16,46,36,6,0,123,209
2016-03-06,35,68,10,149,237,18,16,172,12,303,4985,12,67,36,6,0,157,212
2016-03-07,47,52,10,192,212,17,40,301,11,399,4443,19,80,32,53,0,146,268
2016-03-08,22,55,15,191,190,34,30,234,10,195,4454,16,68,35,2,0,106,215
2016-03-09,22,53,12,180,200,19,44,251,13,208,4058,18,66,45,7,0,107,245
2016-03-10,20,49,7,147,162,23,41,262,11,173,4078,14,44,32,7,0,139,289
2016-03-11,13,55,6,174,172,10,29,216,12,172,4265,13,47,29,5,2,107,198
2016-03-12,16,36,15,153,240,19,24,135,15,177,4408,18,52,38,2,0,102,169
2016-03-13,12,40,7,153,227,13,21,150,5,156,5035,9,26,21,9,1,126,170
2016-03-14,6,84,14,197,174,23,20,267,12,219,4829,20,56,27,2,0,109,195
2016-03-15,11,59,12,355,224,15,32,324,9,203,4449,15,79,38,2,0,110,1675
2016-03-16,18,52,9,207,255,15,26,226,9,175,4499,9,61,43,8,0,91,747
2016-03-17,9,56,24,173,181,11,22,199,14,158,4167,22,42,41,10,1,136,244
2016-03-18,7,40,10,187,161,23,17,152,11,162,11426,17,47,39,4,1,120,154
2016-03-19,8,46,10,139,157,21,19,99,12,142,9631,10,41,28,18,0,111,164
2016-03-20,19,61,6,204,142,13,20,126,5,153,8259,13,33,40,8,0,148,195
2016-03-21,15,61,9,171,176,25,23,165,11,142,6705,20,34,58,1,0,106,188
2016-03-22,12,57,6,165,146,16,22,180,15,193,6046,11,54,39,3,0,103,253
2016-03-23,16,66,10,162,158,7,38,183,8,186,5272,10,55,35,4,1,94,227
2016-03-24,7,66,9,158,177,8,23,177,13,201,8779,11,30,53,2,0,86,219
2016-03-25,10,70,6,170,276,14,27,151,6,154,6501,4,41,32,1,0,119,170
2016-03-26,23,51,7,149,180,13,15,104,6,649,7232,11,34,39,3,0,113,196
2016-03-27,25,44,7,190,349,14,19,93,10,259,5921,20,32,34,4,0,149,179
2016-03-28,16,72,10,174,263,20,30,154,12,151,5397,17,59,45,7,1,135,198
2016-03-29,16,58,6,195,211,11,84,186,12,320,5190,13,62,42,3,0,107,194
2016-03-30,12,61,11,150,176,24,29,189,11,317,4885,18,38,35,3,0,94,179
2016-03-31,18,76,10,180,150,20,61,197,14,249,7295,18,58,33,36,0,129,253
2016-04-01,15,47,14,153,207,17,39,194,17,185,5421,20,41,43,12,11,100,227
2016-04-02,17,58,19,140,225,15,71,98,13,139,6793,21,46,38,7,2,88,162
2016-04-03,18,67,17,157,195,15,22,146,11,177,5507,15,41,34,14,0,138,227
2016-04-04,12,63,15,152,179,12,22,197,12,175,4698,24,47,32,5,0,122,236
2016-04-05,16,52,9,130,207,15,20,166,14,200,10924,23,66,43,5,0,103,225
2016-04-06,7,68,10,156,172,16,27,173,12,233,7621,16,70,44,14,1,88,3704
2016-04-07,14,63,6,173,179,6,35,154,7,229,5161,15,42,53,7,1,113,538
2016-04-08,7,52,9,160,220,17,36,132,18,175,5019,14,55,43,11,1,89,507
2016-04-09,12,48,19,149,313,18,26,106,20,165,5168,27,50,44,6,0,562,1348
2016-04-10,7,48,14,156,245,15,29,120,16,149,10027,24,45,45,5,0,112,917
2016-04-11,22,68,8,174,184,17,88,155,9,196,5414,15,54,41,8,0,140,422
2016-04-12,15,67,12,143,168,14,18,180,15,205,4922,13,52,33,5,0,111,337
2016-04-13,19,56,11,143,184,24,109,215,9,193,4395,14,57,44,10,0,122,431
2016-04-14,14,76,16,149,380,17,55,146,12,179,4125,20,69,35,11,1,199,259
2016-04-15,10,40,9,159,249,11,91,119,14,220,4053,12,47,39,3,0,326,195
2016-04-16,8,45,9,165,139,16,40,101,15,148,4489,13,38,39,6,0,204,166
2016-04-17,9,56,13,177,285,16,47,126,11,113,4677,14,44,49,6,1,136,161
2016-04-18,23,53,8,147,175,12,27,172,8,215,4719,17,55,31,6,1,124,186
2016-04-19,16,58,17,156,207,11,38,165,9,182,4341,21,51,66,1,0,102,193
2016-04-20,18,46,14,155,197,15,35,162,9,196,4174,15,51,70,5,0,105,211
2016-04-21,16,68,11,144,180,19,38,166,16,167,4399,15,53,54,3,0,121,223
2016-04-22,16,56,24,144,199,12,34,144,10,212,4445,25,49,49,2,0,122,164
2016-04-23,12,52,10,123,202,9,27,127,7,175,4268,9,35,48,32,2,97,182
2016-04-24,12,51,18,148,260,12,23,142,19,128,4605,30,48,47,86,0,106,201
2016-04-25,13,78,8,139,171,9,26,179,6,185,4082,11,62,52,72,2,103,214
2016-04-26,19,65,9,115,220,13,19,168,12,175,4044,15,64,31,65,1,111,216
2016-04-27,10,43,12,155,196,14,29,187,8,210,4115,15,48,43,85,0,81,179
2016-04-28,15,66,9,176,186,11,25,189,6,212,3913,18,52,55,74,0,107,182
2016-04-29,4,71,9,174,236,10,23,170,12,146,3849,16,112,27,61,0,90,215
2016-04-30,22,55,11,165,212,12,26,112,13,125,4044,12,4001,33,69,0,99,149
2016-05-01,12,72,8,180,241,17,31,129,8,184,4753,9,1543,31,55,0,95,163
2016-05-02,12,58,11,149,507,13,28,167,13,870,3910,16,707,35,112,0,105,207
2016-05-03,12,63,12,132,221,21,28,194,14,632,3587,28,279,42,109,0,108,179
