Date,"Ontario Highway 71","Steller's sea cow","Percy Chapman","Northern England","Oxygen","2014 Lamar Hunt U.S. Open Cup Final","Corvus (constellation)","Peter Martyr Vermigli","California Diamond Jubilee half dollar"
2015-08-06,30,598,28,322,3142,21,77,18,17
2015-08-07,13,473,29,311,2750,13,84,21,24
2015-08-08,13,503,17,333,2424,19,92,8,15
2015-08-09,18,702,22,332,2894,22,108,11,14
2015-08-10,15,629,17,319,3327,25,90,20,21
2015-08-11,14,635,15,313,3259,34,117,29,25
2015-08-12,29,711,13,370,3342,32,110,19,17
2015-08-13,17,716,11,379,3378,104,98,17,10
2015-08-14,14,643,25,352,3003,41,101,12,21
2015-08-15,17,607,18,277,2427,25,109,20,22
2015-08-16,20,603,21,383,2813,26,103,31,21
2015-08-17,19,614,12,341,3556,33,126,26,20
2015-08-18,11,673,14,368,3584,18,80,18,14
2015-08-19,14,539,22,375,3599,20,132,28,19
2015-08-20,24,612,26,301,4040,19,99,19,17
2015-08-21,27,570,21,356,4020,28,108,21,19
2015-08-22,22,564,19,365,2627,12,104,20,14
2015-08-23,16,663,19,343,2962,24,102,25,15
2015-08-24,24,1322,19,365,4923,18,77,24,17
2015-08-25,19,846,22,355,4105,35,126,21,21
2015-08-26,20,612,12,355,4171,19,128,23,15
2015-08-27,15,609,21,381,4453,19,119,21,12
2015-08-28,9,587,9,311,3877,19,127,22,13
2015-08-29,13,522,24,376,2445,22,106,22,14
2015-08-30,12,532,8,317,3243,24,131,28,15
2015-08-31,10,605,11,317,4675,21,106,11,17
2015-09-01,22,488,21,362,4946,33,127,18,22
2015-09-02,16,543,36,363,5535,16,131,14,16
2015-09-03,22,526,65,346,5392,30,115,28,16
2015-09-04,17,471,21,311,4453,24,109,19,17
2015-09-05,10,432,19,311,2842,21,82,20,19
2015-09-06,19,399,16,336,3585,26,96,26,19
2015-09-07,13,502,15,385,5743,18,121,22,18
2015-09-08,17,518,30,368,6726,13,125,37,20
2015-09-09,17,493,13,357,6243,19,127,25,23
2015-09-10,21,447,12,323,6192,21,108,19,18
2015-09-11,62,484,61,382,5411,49,114,21,71
2015-09-12,13,416,9,350,3189,20,75,21,13
2015-09-13,17,459,14,385,4299,27,121,26,14
2015-09-14,12,458,18,438,6562,15,127,23,20
2015-09-15,21,1393,17,386,6404,17,131,29,26
2015-09-16,12,922,21,357,6768,15,147,16,13
2015-09-17,18,533,11,343,6502,27,140,31,26
2015-09-18,15,534,7,502,5550,13,109,18,15
2015-09-19,10,514,8,407,3141,20,86,21,17
2015-09-20,13,599,14,391,4244,13,106,19,20
2015-09-21,9,584,16,419,6676,29,129,22,20
2015-09-22,15,577,13,433,6800,22,108,21,30
2015-09-23,19,513,16,670,6619,28,120,30,23
2015-09-24,18,509,13,465,6596,27,134,31,22
2015-09-25,14,485,15,400,5574,22,133,24,23
2015-09-26,5,471,9,335,3137,22,107,20,20
2015-09-27,13,511,11,394,4165,26,125,19,25
2015-09-28,16,536,16,428,7459,39,186,19,26
2015-09-29,12,599,17,360,7318,50,143,27,23
2015-09-30,14,473,11,421,7316,134,133,24,16
2015-10-01,14,472,14,365,6859,183,116,16,26
2015-10-02,9,544,15,311,6034,24,108,16,15
2015-10-03,18,428,17,313,3459,29,82,16,21
2015-10-04,8,471,10,365,4378,18,98,17,13
2015-10-05,13,548,13,438,6958,13,115,19,18
2015-10-06,16,584,16,424,7746,28,116,30,19
2015-10-07,24,619,12,376,7558,21,132,26,30
2015-10-08,16,617,12,387,7389,18,76,38,27
2015-10-09,16,461,18,390,6468,12,114,25,26
2015-10-10,13,438,9,330,3416,13,109,15,20
2015-10-11,7,504,11,437,4184,12,105,22,22
2015-10-12,27,537,20,430,6325,15,145,29,22
2015-10-13,8,659,13,417,7339,17,152,29,20
2015-10-14,13,563,21,395,6829,19,143,25,28
2015-10-15,24,508,14,379,7069,15,140,17,20
2015-10-16,8,577,13,436,5996,7,104,27,30
2015-10-17,10,426,9,368,3380,7,98,14,19
2015-10-18,13,539,12,361,4366,13,95,25,21
2015-10-19,16,536,11,454,7009,15,127,26,20
2015-10-20,16,573,15,427,7134,8,119,26,16
2015-10-21,12,616,19,425,7049,7,120,31,14
2015-10-22,10,546,16,358,7062,21,136,27,20
2015-10-23,22,520,23,393,5953,20,106,27,13
2015-10-24,18,496,11,335,3370,17,85,20,18
2015-10-25,16,559,12,380,4516,12,99,34,17
2015-10-26,17,635,23,344,7114,45,125,21,24
2015-10-27,10,749,21,384,7306,26,135,17,27
2015-10-28,14,682,19,387,7406,18,122,25,22
2015-10-29,15,647,16,348,7015,25,183,33,17
2015-10-30,23,493,29,394,5935,32,116,30,23
2015-10-31,12,508,17,310,2984,18,90,17,22
2015-11-01,16,544,15,352,3836,21,127,31,26
2015-11-02,6,602,15,444,6256,15,155,22,22
2015-11-03,9,570,16,416,6776,15,127,24,10
2015-11-04,13,672,16,407,6705,13,106,50,7
2015-11-05,13,602,7,451,6844,11,97,20,12
2015-11-06,12,557,14,396,5773,21,97,20,18
2015-11-07,15,555,20,361,3245,15,114,24,23
2015-11-08,7,999,9,403,3900,9,161,31,14
2015-11-09,15,784,9,427,6511,9,137,18,7
2015-11-10,6,604,16,422,6645,17,304,42,9
2015-11-11,15,640,14,464,5860,15,105,27,9
2015-11-12,19,827,27,420,6839,23,133,37,28
2015-11-13,5,1331,9,372,5663,9,147,29,11
2015-11-14,7,657,11,341,3022,12,108,17,18
2015-11-15,15,562,15,425,3878,14,110,18,16
2015-11-16,23,558,23,466,6229,22,141,25,24
2015-11-17,15,611,17,481,6471,12,150,26,22
2015-11-18,11,528,9,463,6281,8,147,15,11
2015-11-19,19,565,13,423,6495,12,123,22,18
2015-11-20,13,579,12,343,5368,14,141,33,12
2015-11-21,6,493,11,322,2880,7,108,15,11
2015-11-22,11,531,15,363,3878,7,129,16,17
2015-11-23,14,727,22,390,5425,14,153,37,14
2015-11-24,12,688,14,387,6135,13,128,14,23
2015-11-25,7,627,17,394,4284,11,112,15,20
2015-11-26,9,548,14,334,3463,12,114,15,17
2015-11-27,10,475,9,357,3142,11,103,10,18
2015-11-28,8,479,10,372,2850,12,110,19,10
2015-11-29,15,532,12,523,3582,18,102,22,19
2015-11-30,12,614,6,457,5872,14,124,24,13
2015-12-01,14,566,15,406,6701,13,120,16,16
2015-12-02,12,568,12,421,6388,14,149,27,19
2015-12-03,6,642,4,423,6126,8,142,16,26
2015-12-04,25,724,9,359,4957,17,126,18,20
2015-12-05,15,623,14,475,3002,19,80,16,18
2015-12-06,6,706,8,507,3743,17,299,8,18
2015-12-07,5,687,27,543,5848,17,184,29,12
2015-12-08,12,642,10,507,5952,10,169,21,11
2015-12-09,12,659,19,520,5927,25,175,15,17
2015-12-10,14,1004,13,445,5686,10,136,14,18
2015-12-11,16,654,12,430,4873,12,119,14,18
2015-12-12,24,564,20,415,2875,17,94,20,20
2015-12-13,11,695,9,479,3451,13,148,27,11
2015-12-14,7,623,17,407,5275,9,183,23,13
2015-12-15,9,620,10,436,5138,26,168,33,12
2015-12-16,12,565,11,376,5069,12,124,32,20
2015-12-17,9,583,18,353,4719,12,92,11,7
2015-12-18,9,1305,10,301,4192,9,114,15,12
2015-12-19,10,841,10,252,2128,9,128,13,10
2015-12-20,6,602,10,325,2445,6,85,8,9
2015-12-21,7,597,3,348,3155,6,103,17,9
2015-12-22,12,555,6,277,2804,7,104,7,12
2015-12-23,8,447,10,330,2329,13,104,71,13
2015-12-24,11,415,10,268,2010,4,85,24,9
2015-12-25,6,404,6,361,1693,7,103,9,8
2015-12-26,11,424,8,429,1939,13,115,10,16
2015-12-27,12,579,13,867,2292,8,90,22,5
2015-12-28,7,582,16,878,2561,11,91,14,7
2015-12-29,11,536,16,616,2673,8,107,11,15
2015-12-30,6,577,12,483,2679,13,124,12,14
2015-12-31,11,454,16,432,2202,9,104,14,10
2016-01-01,8,446,15,383,2077,12,95,16,10
2016-01-02,5,545,14,420,2730,7,113,14,11
2016-01-03,11,602,20,362,3104,10,142,14,11
2016-01-04,12,545,13,360,4625,12,160,14,24
2016-01-05,13,591,17,388,5143,14,178,10,11
2016-01-06,10,637,10,392,5217,20,203,26,16
2016-01-07,8,664,7,450,6315,15,193,32,14
2016-01-08,15,838,11,398,4844,11,147,23,15
2016-01-09,20,914,9,345,3103,10,112,18,14
2016-01-10,19,670,10,394,3601,13,175,14,34
2016-01-11,19,765,29,395,5242,11,210,29,18
2016-01-12,10,779,10,432,5636,13,196,19,22
2016-01-13,15,796,14,454,5688,12,172,19,8
2016-01-14,13,720,12,475,5884,10,183,17,10
2016-01-15,11,697,9,393,4638,11,147,13,12
2016-01-16,13,598,12,373,2999,14,123,10,16
2016-01-17,20,515,12,432,3903,22,115,15,8
2016-01-18,17,568,11,378,4507,15,125,9,16
2016-01-19,7,608,20,437,5761,9,160,17,14
2016-01-20,5,730,15,430,5867,4,214,21,13
2016-01-21,20,683,24,383,6010,19,147,18,34
2016-01-22,18,641,12,369,5039,12,129,30,14
2016-01-23,17,562,13,353,3412,13,125,11,22
2016-01-24,16,608,13,424,3893,10,173,18,14
2016-01-25,15,804,16,369,5882,13,168,32,22
2016-01-26,5,2157,9,419,5966,10,161,42,9
2016-01-27,8,1713,9,373,7123,9,209,27,8
2016-01-28,10,725,16,373,6333,15,164,26,21
2016-01-29,7,781,8,379,5072,8,127,23,9
2016-01-30,13,579,13,316,3217,23,111,12,19
2016-01-31,3,713,14,379,3960,5,132,20,8
2016-02-01,9,714,9,402,6150,10,147,18,12
2016-02-02,15,654,10,394,6383,13,157,12,11
2016-02-03,10,701,9,375,6309,14,154,15,15
2016-02-04,8,759,12,367,5945,7,138,22,11
2016-02-05,12,629,16,346,5066,13,163,30,12
2016-02-06,9,586,12,340,3154,15,122,28,16
2016-02-07,15,723,14,381,3912,10,153,14,13
2016-02-08,10,684,10,436,6028,24,151,15,10
2016-02-09,16,959,10,391,6055,9,154,25,12
2016-02-10,17,980,14,390,6054,16,159,22,15
2016-02-11,9,834,24,369,5880,10,169,36,12
2016-02-12,14,694,21,336,4458,12,126,21,24
2016-02-13,20,508,9,363,3069,12,128,25,16
2016-02-14,7,597,8,367,3414,13,118,17,11
2016-02-15,13,699,14,396,4508,20,153,19,13
2016-02-16,5,698,11,367,7647,11,165,20,4
2016-02-17,11,764,11,355,5763,8,189,16,11
2016-02-18,7,652,7,329,6272,13,198,16,11
2016-02-19,15,582,20,376,4944,11,152,14,16
2016-02-20,8,601,7,312,3290,11,136,19,13
2016-02-21,10,643,8,375,3970,9,123,18,26
2016-02-22,13,678,8,410,5957,6,162,16,7
2016-02-23,15,737,11,428,6664,11,211,25,11
2016-02-24,4,792,7,347,6363,11,173,36,15
2016-02-25,10,708,11,375,6050,13,154,33,23
2016-02-26,9,7742,14,351,4866,15,139,26,16
2016-02-27,10,844,9,299,3120,10,91,18,14
2016-02-28,12,806,14,355,4021,15,165,8,21
2016-02-29,18,760,11,531,6013,13,124,24,15
2016-03-01,17,704,9,399,6135,5,154,28,11
2016-03-02,17,646,8,435,5987,6,135,22,16
2016-03-03,12,641,13,411,5906,15,175,23,21
2016-03-04,6,610,9,439,5263,8,145,21,19
2016-03-05,11,503,13,340,3087,13,96,12,19
2016-03-06,11,594,9,349,3621,18,127,13,10
2016-03-07,14,784,19,689,5393,12,143,24,13
2016-03-08,11,651,16,461,5515,11,137,28,10
2016-03-09,13,591,12,509,5437,16,139,19,17
2016-03-10,16,640,9,461,5567,7,141,22,13
2016-03-11,12,679,10,391,4465,10,125,14,14
2016-03-12,10,581,9,321,2764,11,121,25,20
2016-03-13,10,671,12,393,3320,14,127,14,12
2016-03-14,12,653,14,436,4992,10,195,17,11
2016-03-15,18,654,16,508,5436,17,156,28,17
2016-03-16,17,688,8,414,5371,10,165,31,13
2016-03-17,15,904,59,428,4963,10,150,21,20
2016-03-18,13,625,6,419,4627,6,136,38,14
2016-03-19,11,612,12,364,2641,10,96,28,11
2016-03-20,3,654,14,370,3125,9,98,26,10
2016-03-21,19,768,12,375,4834,15,127,36,17
2016-03-22,12,685,6,383,4903,9,135,28,13
2016-03-23,14,811,15,373,4529,14,103,18,10
2016-03-24,11,737,6,348,3737,6,135,17,15
2016-03-25,14,627,6,356,2912,10,186,23,10
2016-03-26,12,615,7,331,2454,10,123,18,19
2016-03-27,9,638,16,340,2716,13,123,15,17
2016-03-28,16,653,14,416,3826,15,117,14,15
2016-03-29,8,702,6,414,4393,8,143,18,16
2016-03-30,12,705,17,453,4624,17,132,27,9
2016-03-31,11,687,13,434,4316,13,132,26,17
2016-04-01,15,618,11,430,3925,14,126,13,18
2016-04-02,11,525,23,316,2623,14,98,18,19
2016-04-03,12,135282,14,336,3054,12,149,11,13
2016-04-04,17,152014,12,371,4806,9,135,23,13
2016-04-05,13,1241,12,473,4799,11,116,23,16
2016-04-06,12,1055,15,402,4787,11,145,19,12
2016-04-07,8,937,6,381,4611,3,121,30,8
2016-04-08,8,888,5,387,4618,8,97,29,23
2016-04-09,17,670,11,344,6179,17,144,20,28
2016-04-10,15,813,17,392,3202,15,117,16,21
2016-04-11,14,11175,13,397,4626,11,130,18,10
2016-04-12,12,867,17,392,5348,14,154,11,17
2016-04-13,21,719,12,412,4733,8,145,36,11
2016-04-14,24,728,16,431,4829,19,116,19,16
2016-04-15,13,705,10,408,4065,14,139,20,14
2016-04-16,9,651,10,360,2682,13,125,26,16
2016-04-17,10,639,11,386,3089,13,124,102,14
2016-04-18,18,754,7,430,4329,10,182,77,13
2016-04-19,10,732,13,401,4538,11,125,100,11
2016-04-20,8,731,13,432,4598,12,134,102,9
2016-04-21,19,698,13,410,4659,8,152,93,17
2016-04-22,13,754,22,376,3782,15,147,76,15
2016-04-23,9,613,15,270,2613,8,92,140,9
2016-04-24,13,721,9,327,3172,14,134,131,23
2016-04-25,10,745,19,367,4414,6,116,63,9
2016-04-26,11,746,29,393,4757,10,150,208,10
2016-04-27,24,671,15,399,4521,11,161,155,10
2016-04-28,8,635,26,433,4576,10,132,50,15
2016-04-29,8,574,15,373,3962,6,121,81,13
2016-04-30,14,577,10,371,2642,7,131,108,19
2016-05-01,15,637,16,395,3175,9,145,112,12
2016-05-02,17,736,12,425,4602,9,201,130,20
2016-05-03,16,720,12,444,4696,15,167,119,16
2016-05-04,17,664,13,415,4865,13,123,23,12
2016-05-05,14,633,10,388,4746,14,125,44,10
2016-05-06,17,578,13,358,4480,11,180,81,14
2016-05-07,15,471,14,304,2442,7,126,123,10
2016-05-08,9,518,7,339,2932,9,107,131,12
2016-05-09,15,843,15,405,4448,24,136,94,13
2016-05-10,16,877,17,394,4786,13,148,99,12
2016-05-11,18,730,27,387,4507,15,139,19,17
2016-05-12,7,2219,11,390,4508,7,129,26,12
2016-05-13,11,1770,12,355,3766,10,120,21,9
2016-05-14,12,683,11,743,2555,13,88,20,11
2016-05-15,10,659,11,389,2966,19,127,75,21
2016-05-16,10,833,7,374,4374,7,158,60,14
2016-05-17,9,715,10,383,4689,10,165,56,30
2016-05-18,13,745,16,402,4417,15,132,56,8
2016-05-19,12,792,15,430,4517,21,144,62,21
2016-05-20,10,659,16,386,3777,16,138,50,16
2016-05-21,13,533,18,322,2735,16,102,92,23
2016-05-22,5,578,6,340,3185,12,106,42,11
2016-05-23,21,808,21,464,4061,16,134,41,18
2016-05-24,27,723,18,409,4452,11,144,44,11
2016-05-25,15,650,16,368,4305,17,151,65,27
2016-05-26,24,606,20,334,3844,21,101,4678,29
2016-05-27,14,537,10,341,3304,12,113,207,10
2016-05-28,22,452,7,288,2543,11,94,43,9
2016-05-29,7,529,23,335,2784,11,103,44,9
2016-05-30,14,592,27,353,3394,13,127,71,17
2016-05-31,10,608,13,364,3945,21,104,46,15
2016-06-01,14,650,15,395,4024,14,148,83,14
2016-06-02,14,750,20,354,3796,24,136,64,23
2016-06-03,15,1209,10,324,3421,23,128,35,25
2016-06-04,13,604,16,291,2503,16,83,22,17
2016-06-05,12,616,16,360,2999,15,104,38,15
2016-06-06,16,621,8,375,3737,9,116,123,10
2016-06-07,15,712,15,400,3848,9,132,95,20
2016-06-08,16,676,15,351,3880,11,97,77,10
2016-06-09,12,712,16,340,3955,9,120,91,9
2016-06-10,13,596,25,320,3192,8,105,81,12
2016-06-11,11,424,10,279,2406,13,114,76,17
2016-06-12,13,505,11,336,2877,10,112,91,12
2016-06-13,17,664,21,359,4046,13,113,69,20
2016-06-14,15,588,19,428,4122,13,106,101,22
2016-06-15,18,606,13,364,3991,31,100,96,21
2016-06-16,18,544,12,439,3797,28,120,23,22
2016-06-17,13,495,15,384,3382,22,100,19,16
2016-06-18,17,496,18,334,2635,18,81,24,25
2016-06-19,18,714,13,336,2951,15,104,24,17
2016-06-20,11,569,14,405,3617,11,124,26,10
2016-06-21,18,563,17,470,3625,12,121,19,17
2016-06-22,8,583,7,392,3432,7,102,24,6
2016-06-23,20,551,23,445,3543,8,132,36,20
2016-06-24,12,469,14,849,2774,12,142,21,13
2016-06-25,10,582,12,463,2271,15,125,20,19
2016-06-26,9,536,8,461,2695,14,125,16,10
2016-06-27,14,556,14,450,3469,17,135,19,16
2016-06-28,10,546,8,417,3600,7,107,24,13
2016-06-29,10,526,9,500,3910,27,101,20,12
2016-06-30,10,512,11,427,3244,19,91,20,10
2016-07-01,11,651,6,340,2891,5,105,13,10
2016-07-02,10,540,13,344,2416,8,124,29,13
2016-07-03,12,615,8,360,2592,16,83,81,11
2016-07-04,13,789,6,367,3019,17,93,59,67
2016-07-05,13,656,12,385,2994,2,108,22,13
2016-07-06,19,600,14,412,3207,10,83,19,20
2016-07-07,16,812,11,459,3095,12,101,13,12
2016-07-08,8,641,10,371,2498,6,98,29,11
2016-07-09,17,528,9,327,3013,10,88,10,19
2016-07-10,14,515,10,333,2279,13,100,15,8
2016-07-11,10,520,12,336,3225,11,132,22,11
2016-07-12,19,544,21,442,2999,16,100,17,22
2016-07-13,11,548,6,397,3185,11,85,23,18
2016-07-14,5,648,12,364,2840,12,77,21,10
2016-07-15,14,582,19,316,2502,13,81,15,10
2016-07-16,13,575,8,252,2101,5,72,8,14
2016-07-17,18,648,18,323,2538,8,84,29,30
2016-07-18,25,719,11,394,3244,12,111,32,18
2016-07-19,21,699,6,331,3229,13,96,31,12
2016-07-20,11,652,8,303,2896,20,80,26,9
2016-07-21,18,626,6,306,3002,19,88,43,14
2016-07-22,19,638,22,321,2410,9,92,38,18
2016-07-23,10,811,14,266,2106,11,100,20,12
2016-07-24,12,870,17,285,2445,12,84,20,17
2016-07-25,18,1321,20,346,3035,13,115,19,17
2016-07-26,20,705,15,305,3102,14,109,25,20
2016-07-27,8,582,14,355,3173,7,119,35,13
2016-07-28,13,582,9,321,2852,12,109,21,10
2016-07-29,17,526,18,324,3261,22,88,22,24
2016-07-30,18,627,14,290,2110,10,70,19,24
2016-07-31,14,655,13,291,2610,11,90,30,15
2016-08-01,14,762,14,388,3467,11,110,26,19
2016-08-02,16,764,14,374,3404,13,125,28,15
2016-08-03,18,593,17,342,3563,15,69,52,17
2016-08-04,7,595,7,365,3654,11,84,29,14
2016-08-05,26,504,22,343,2751,17,92,28,16
2016-08-06,25,506,10,282,2329,14,68,73,16
2016-08-07,12,490,17,307,2409,13,75,151,21
2016-08-08,12,520,13,317,3042,8,92,127,12
2016-08-09,12,486,12,347,3109,15,102,109,12
2016-08-10,13,479,7,423,3423,23,91,76,22
2016-08-11,12,460,9,402,3503,10,96,92,16
2016-08-12,12,486,11,317,2743,7,107,75,7
2016-08-13,9,430,9,302,2161,12,100,82,11
2016-08-14,19,472,15,309,2408,13,105,96,19
2016-08-15,14,491,8,335,3270,11,87,91,13
2016-08-16,15,475,6,325,3359,8,100,103,10
2016-08-17,13,468,3,323,3337,5,115,89,12
2016-08-18,12,608,13,368,3312,16,102,96,17
2016-08-19,14,940,12,314,2923,11,83,157,10
2016-08-20,11,521,9,313,2194,14,65,139,17
2016-08-21,22,532,21,323,2786,21,104,111,27
2016-08-22,14,521,14,382,3532,15,109,160,17
2016-08-23,22,627,16,387,3824,15,100,135,30
2016-08-24,17,583,16,400,4145,9,105,125,14
2016-08-25,12,491,11,363,4207,12,109,116,16
2016-08-26,12,502,12,349,3494,12,104,108,27
2016-08-27,19,423,19,336,2488,18,156,111,19
2016-08-28,9,512,8,347,2894,12,148,111,18
2016-08-29,16,723,19,488,4711,8,100,114,21
2016-08-30,18,941,14,389,4802,13,103,183,22
2016-08-31,11,557,12,408,5047,9,108,137,22
2016-09-01,16,788,14,428,5008,18,106,142,19
2016-09-02,13,696,16,386,4346,12,84,127,19
2016-09-03,13,703,40,332,2596,11,83,116,16
2016-09-04,9,582,10,369,3062,7,66,125,15
2016-09-05,10,684,14,399,4500,8,99,99,25
2016-09-06,13,676,14,403,5622,9,109,145,17
2016-09-07,8,628,13,405,5675,5,119,36,9
2016-09-08,20,605,11,379,5778,15,104,27,20
2016-09-09,16,505,15,384,4896,7,98,33,23
2016-09-10,10,508,12,332,2911,13,94,27,17
2016-09-11,19,532,8,388,3631,9,110,17,13
2016-09-12,16,549,16,456,6336,12,125,44,19
2016-09-13,13,556,20,426,6607,27,102,62,19
2016-09-14,16,515,12,410,6754,27,140,26,23
2016-09-15,17,760,11,388,6832,17,88,31,10
2016-09-16,11,578,12,441,5850,9,88,18,20
2016-09-17,8,501,8,372,3253,10,81,21,13
2016-09-18,17,548,20,415,4473,14,87,27,14
2016-09-19,15,559,14,434,7123,9,113,34,16
2016-09-20,10,573,8,388,7323,7,98,27,21
2016-09-21,10,553,10,380,7501,7,104,29,12
2016-09-22,18,622,13,419,7873,59,118,133,105
2016-09-23,64,502,484,393,5775,80,91,329,18
2016-09-24,11,535,9,371,3120,8,69,44,14
2016-09-25,8,593,9,387,4102,5,89,15,9
2016-09-26,13,570,17,435,6653,11,123,33,15
2016-09-27,11,1113,12,401,7348,5,131,28,10
2016-09-28,14,986,15,428,7397,13,124,27,23
2016-09-29,14,764,16,383,7119,13,101,46,23
2016-09-30,15,529,13,405,5940,7,93,36,14
2016-10-01,8,399,9,361,3064,9,79,29,16
2016-10-02,15,507,15,383,3964,13,105,47,11
2016-10-03,6,715,15,443,7313,8,96,26,12
2016-10-04,12,617,9,446,7114,7,88,33,13
2016-10-05,6,561,6,473,7374,6,128,24,6
2016-10-06,16,538,9,464,7078,8,110,71,11
2016-10-07,14,532,12,398,5638,11,105,37,12
2016-10-08,17,458,17,388,3156,19,76,25,23
2016-10-09,19,523,13,399,3863,6,79,27,14
2016-10-10,16,552,20,410,6176,13,96,51,17
2016-10-11,12,561,10,460,7059,8,97,25,12
2016-10-12,9,601,17,451,6945,12,89,28,12
2016-10-13,14,534,12,385,7319,13,100,27,12
2016-10-14,8,682,10,397,5729,11,115,39,20
2016-10-15,23,455,13,384,3244,11,87,33,27
2016-10-16,11,554,13,439,4308,17,103,32,16
2016-10-17,11,534,12,503,7209,19,117,36,10
2016-10-18,14,713,14,469,7810,27,86,41,24
2016-10-19,12,618,11,432,7261,9,85,30,19
2016-10-20,18,555,14,383,6828,11,93,38,21
2016-10-21,11,537,10,388,5458,11,102,22,19
2016-10-22,9,436,9,338,3401,3,70,27,7
2016-10-23,11,453,10,388,4099,6,80,33,10
2016-10-24,7,519,16,430,6816,15,95,30,13
2016-10-25,21,549,13,456,6911,13,130,31,13
2016-10-26,10,517,11,453,7192,10,100,33,16
2016-10-27,11,575,8,416,6604,10,105,36,45
2016-10-28,14,502,20,404,5410,18,96,30,46
2016-10-29,7,444,14,386,2863,9,82,33,17
2016-10-30,17,489,15,463,3640,11,79,34,23
2016-10-31,13,546,17,504,5788,11,85,38,13
2016-11-01,15,590,11,444,6504,13,100,41,24
2016-11-02,13,579,15,479,6796,9,131,23,18
2016-11-03,10,519,11,478,6686,9,112,29,19
2016-11-04,8,494,10,403,5747,21,106,37,24
2016-11-05,8,496,3,415,3105,2,95,19,11
2016-11-06,6,544,8,419,4247,8,115,21,7
2016-11-07,21,660,65,523,6868,11,107,27,20
2016-11-08,17,718,42,552,6362,19,108,33,25
2016-11-09,13,481,24,536,6645,12,105,29,23
2016-11-10,15,626,29,558,6118,13,109,21,15
2016-11-11,11,415,19,475,4660,9,100,36,18
2016-11-12,5,395,4,488,3215,5,62,19,27
2016-11-13,8,491,14,498,3999,12,79,29,15
2016-11-14,12,568,21,503,6526,12,105,35,20
2016-11-15,11,579,25,553,7063,10,136,27,30
2016-11-16,9,619,7,518,7054,10,141,28,30
2016-11-17,11,658,10,1729,6704,10,126,31,18
2016-11-18,16,550,21,569,5833,15,119,37,20
2016-11-19,28,487,15,430,2899,13,76,26,47
2016-11-20,8,470,13,512,3793,10,114,45,25
2016-11-21,10,539,9,528,5819,11,113,27,28
2016-11-22,9,590,12,443,5898,15,90,32,18
2016-11-23,10,507,14,437,4353,10,98,25,20
2016-11-24,13,494,14,504,3559,12,96,24,29
2016-11-25,7,494,13,421,3371,9,126,18,19
2016-11-26,11,504,22,406,3278,12,108,30,21
2016-11-27,12,573,11,427,4058,10,138,28,16
2016-11-28,5,627,12,495,6200,18,108,48,15
2016-11-29,16,600,18,501,6703,14,161,53,19
2016-11-30,12,545,12,508,6549,12,158,29,14
2016-12-01,10,656,23,485,6211,16,127,39,19
2016-12-02,10,578,11,460,5381,17,150,44,18
2016-12-03,15,471,12,453,3149,14,71,32,28
2016-12-04,18,577,19,536,3807,14,121,38,30
2016-12-05,18,568,13,552,5907,23,133,35,19
2016-12-06,24,614,15,500,6165,17,182,27,22
2016-12-07,10,606,15,571,6164,13,127,39,11
2016-12-08,17,665,17,465,5955,17,189,45,26
2016-12-09,19,568,20,429,5200,20,201,34,24
2016-12-10,10,484,20,427,2992,22,129,32,12
