Date,"Myotis alcathoe","Death on the Rock","SMS Nassau","Bessie Braddock","Mothers of the Disappeared","Mangrove swallow","German–Yugoslav Partisan negotiations","Eta Carinae","God of War II"
2015-09-26,6,51,22,46,39,4,2,334,483
2015-09-27,18,57,42,59,36,7,7,397,480
2015-09-28,12,55,28,56,85,7,13,455,492
2015-09-29,12,86,56,115,61,6,9,422,431
2015-09-30,15,45,43,67,53,7,9,432,440
2015-10-01,13,41,32,62,65,6,12,445,429
2015-10-02,13,43,21,47,55,5,5,452,446
2015-10-03,19,57,31,54,35,5,11,346,497
2015-10-04,9,39,29,62,33,8,5,637,495
2015-10-05,12,49,33,51,40,7,9,601,477
2015-10-06,15,53,39,52,49,6,9,576,412
2015-10-07,17,56,50,54,47,6,9,517,424
2015-10-08,17,84,24,114,55,3,10,507,453
2015-10-09,15,53,35,84,42,0,15,471,413
2015-10-10,9,45,24,105,42,5,4,327,462
2015-10-11,11,53,19,94,29,3,4,369,514
2015-10-12,21,77,43,70,49,6,14,396,465
2015-10-13,13,49,33,68,37,2,6,410,470
2015-10-14,10,50,35,56,32,5,8,525,439
2015-10-15,17,49,41,46,62,1,8,611,412
2015-10-16,14,53,30,38,28,8,2,486,426
2015-10-17,12,40,29,52,45,7,5,446,486
2015-10-18,16,51,53,60,53,4,10,461,503
2015-10-19,16,56,29,126,53,7,11,525,501
2015-10-20,13,55,38,164,39,4,15,471,475
2015-10-21,14,62,31,213,48,8,4,751,409
2015-10-22,21,62,48,205,42,10,19,817,464
2015-10-23,17,61,35,96,59,9,10,699,467
2015-10-24,9,56,26,53,35,8,4,510,431
2015-10-25,9,65,41,102,33,3,8,511,486
2015-10-26,20,62,35,81,59,8,11,545,419
2015-10-27,16,53,41,2351,55,2,10,440,436
2015-10-28,19,56,27,248,40,7,12,496,453
2015-10-29,16,50,23,98,46,2,15,578,469
2015-10-30,27,71,41,93,55,5,27,439,513
2015-10-31,10,52,24,196,35,5,7,323,515
2015-11-01,17,44,35,96,50,5,15,408,529
2015-11-02,11,60,31,56,35,11,8,467,459
2015-11-03,12,63,32,66,36,9,7,434,428
2015-11-04,19,59,31,76,52,4,10,414,407
2015-11-05,7,49,38,63,38,4,5,459,421
2015-11-06,16,52,38,41,40,4,5,408,435
2015-11-07,20,56,38,46,42,3,12,473,456
2015-11-08,5,51,21,53,24,3,3,403,459
2015-11-09,9,61,28,160,42,3,8,470,455
2015-11-10,5,83,42,57,56,7,8,473,421
2015-11-11,12,93,25,210,43,3,10,451,466
2015-11-12,22,65,49,67,69,3,17,484,442
2015-11-13,11,69,28,49,53,3,9,601,418
2015-11-14,9,76,30,36,56,4,7,334,449
2015-11-15,14,60,36,122,52,9,9,439,431
2015-11-16,24,111,50,72,76,7,16,474,397
2015-11-17,12,145,36,144,68,2,6,494,432
2015-11-18,15,111,45,91,66,4,5,403,382
2015-11-19,13,63,25,53,49,7,7,453,373
2015-11-20,11,75,39,66,55,5,7,403,430
2015-11-21,6,53,21,53,49,11,6,333,459
2015-11-22,13,57,36,47,45,3,7,506,476
2015-11-23,17,59,30,85,51,7,10,430,505
2015-11-24,15,44,36,73,48,5,12,460,571
2015-11-25,9,67,62,87,46,5,7,410,461
2015-11-26,8,55,43,50,32,6,6,353,427
2015-11-27,15,49,33,54,31,2,6,395,434
2015-11-28,7,48,35,107,40,9,5,382,522
2015-11-29,12,40,32,89,44,2,32,353,518
2015-11-30,11,55,36,150,37,2,7,415,511
2015-12-01,17,40,45,72,59,6,11,469,475
2015-12-02,15,62,35,98,41,7,8,418,442
2015-12-03,6,50,28,165,59,7,2,389,430
2015-12-04,12,63,32,84,52,2,9,373,474
2015-12-05,16,42,39,117,39,7,9,350,542
2015-12-06,12,42,29,94,52,5,7,392,625
2015-12-07,11,36,31,56,44,6,5,441,568
2015-12-08,7,57,29,77,50,5,3,436,511
2015-12-09,14,56,41,46,45,5,11,466,474
2015-12-10,13,46,27,97,40,5,8,420,502
2015-12-11,16,49,42,49,43,1,12,417,434
2015-12-12,15,45,30,85,42,11,15,427,554
2015-12-13,5,38,27,133,45,3,3,350,572
2015-12-14,6,51,29,116,73,5,11,495,461
2015-12-15,11,50,18,125,67,4,7,464,486
2015-12-16,8,44,23,116,43,4,13,406,496
2015-12-17,5,40,29,102,44,7,6,407,503
2015-12-18,5,34,33,92,32,3,7,408,446
2015-12-19,8,30,24,91,29,4,10,346,461
2015-12-20,4,33,27,70,26,6,3,313,480
2015-12-21,5,46,25,106,26,2,4,366,477
2015-12-22,6,48,22,109,26,3,3,348,441
2015-12-23,7,48,28,91,31,5,6,364,470
2015-12-24,5,31,34,97,28,4,5,283,482
2015-12-25,3,38,28,103,35,6,2,270,424
2015-12-26,13,35,26,88,26,4,9,324,548
2015-12-27,5,30,31,98,34,1,4,1759,528
2015-12-28,6,46,29,101,37,7,4,1010,597
2015-12-29,9,43,47,105,39,6,11,588,537
2015-12-30,6,65,31,94,41,7,5,448,530
2015-12-31,5,104,18,116,49,4,4,411,523
2016-01-01,13,69,22,92,33,8,10,336,590
2016-01-02,5,54,33,90,32,6,8,413,647
2016-01-03,8,44,28,94,34,6,10,415,646
2016-01-04,10,65,40,100,35,5,9,432,598
2016-01-05,14,84,37,146,37,8,6,432,618
2016-01-06,12,46,34,121,31,10,7,852,543
2016-01-07,11,47,39,102,25,8,5,2105,476
2016-01-08,8,43,32,111,37,11,9,946,511
2016-01-09,11,33,30,111,38,7,6,786,573
2016-01-10,13,53,31,116,29,5,9,748,607
2016-01-11,11,63,41,102,27,3,15,735,498
2016-01-12,6,61,49,108,42,1,11,630,502
2016-01-13,5,62,24,128,31,6,5,570,511
2016-01-14,11,53,41,110,38,5,12,620,503
2016-01-15,12,52,26,99,36,8,8,660,490
2016-01-16,10,43,34,75,31,7,11,441,576
2016-01-17,8,38,23,76,33,5,7,536,534
2016-01-18,13,52,36,72,38,4,8,580,469
2016-01-19,9,50,27,58,30,11,4,617,454
2016-01-20,7,54,24,79,24,4,1,508,465
2016-01-21,19,74,21,67,42,10,14,616,463
2016-01-22,9,45,53,44,35,8,7,695,428
2016-01-23,11,54,39,44,36,13,9,504,463
2016-01-24,6,48,25,94,38,11,12,466,537
2016-01-25,13,78,36,74,34,3,10,537,519
2016-01-26,13,76,24,81,36,8,4,489,513
2016-01-27,10,48,35,62,32,9,4,467,436
2016-01-28,9,44,18,39,42,2,13,531,409
2016-01-29,9,48,20,52,27,4,9,418,440
2016-01-30,13,46,23,51,38,8,7,405,490
2016-01-31,9,58,35,47,36,10,5,454,471
2016-02-01,10,36,34,53,35,4,6,521,447
2016-02-02,27,43,49,133,27,7,13,463,426
2016-02-03,16,51,97,73,33,9,16,491,413
2016-02-04,7,52,90,57,41,7,8,438,449
2016-02-05,20,53,54,56,53,12,17,452,511
2016-02-06,14,46,35,60,30,8,6,372,484
2016-02-07,48,44,35,145,34,7,11,429,473
2016-02-08,33,49,57,102,44,8,15,483,430
2016-02-09,20,59,42,62,31,8,9,456,470
2016-02-10,40,58,35,84,33,7,13,543,488
2016-02-11,19,50,41,90,52,5,9,544,434
2016-02-12,13,43,35,64,48,6,15,487,402
2016-02-13,10,40,36,41,35,9,10,406,487
2016-02-14,7,48,32,52,29,11,4,423,510
2016-02-15,28,57,35,52,41,6,10,474,397
2016-02-16,19,47,45,48,33,8,5,543,437
2016-02-17,18,43,43,48,42,9,9,477,434
2016-02-18,6,55,25,65,44,4,14,552,417
2016-02-19,16,52,31,72,51,4,11,580,427
2016-02-20,18,46,28,55,28,8,6,548,396
2016-02-21,24,50,26,46,48,2,10,553,495
2016-02-22,10,55,33,53,39,4,4,477,506
2016-02-23,15,53,32,72,35,5,10,646,474
2016-02-24,13,52,25,57,42,3,4,506,397
2016-02-25,21,55,40,67,37,15,7,482,472
2016-02-26,19,48,26,51,46,19,7,451,502
2016-02-27,14,43,24,55,31,12,10,445,445
2016-02-28,16,59,35,61,31,20,15,501,492
2016-02-29,15,48,32,77,40,3,11,559,483
2016-03-01,11,53,29,54,43,6,7,479,450
2016-03-02,12,39,20,50,37,8,10,508,431
2016-03-03,9,62,27,51,41,3,7,529,468
2016-03-04,8,50,18,68,30,8,5,502,413
2016-03-05,16,60,32,48,42,5,12,433,463
2016-03-06,14,320,30,59,43,14,8,475,512
2016-03-07,12,117,33,78,51,9,26,435,442
2016-03-08,8,64,28,105,41,7,10,487,431
2016-03-09,9,70,27,132,55,8,10,446,628
2016-03-10,10,56,30,71,47,7,31,460,449
2016-03-11,12,63,25,86,36,6,8,16801,526
2016-03-12,13,47,39,44,35,9,15,623,482
2016-03-13,10,51,44,52,51,8,16,391,583
2016-03-14,11,53,46,60,47,1,13,489,464
2016-03-15,17,60,59,46,40,11,9,427,482
2016-03-16,11,58,26,53,34,5,11,538,431
2016-03-17,12,59,45,43,38,12,10,489,423
2016-03-18,10,47,38,38,48,8,9,610,389
2016-03-19,7,44,25,53,30,5,10,475,438
2016-03-20,7,42,23,56,25,7,2,544,514
2016-03-21,11,60,37,60,29,8,9,457,441
2016-03-22,12,76,20,48,40,6,8,515,454
2016-03-23,9,59,30,60,46,8,5,704,451
2016-03-24,12,65,22,44,48,7,4,520,436
2016-03-25,5,51,21,47,37,2,7,504,475
2016-03-26,10,68,21,44,32,7,11,448,526
2016-03-27,8,64,42,55,51,9,20,448,497
2016-03-28,13,63,31,59,56,4,10,416,512
2016-03-29,13,46,32,39,36,2,5,491,484
2016-03-30,11,40,44,60,57,8,15,473,491
2016-03-31,9,53,36,56,44,6,15,1160,452
2016-04-01,13,63,32,46,55,3,8,774,427
2016-04-02,17,48,30,37,28,7,11,401,440
2016-04-03,15,44,32,36,51,11,8,407,480
2016-04-04,13,41,33,65,37,11,11,477,454
2016-04-05,16,40,32,59,42,6,11,441,898
2016-04-06,13,40,39,66,57,11,12,410,715
2016-04-07,11,52,25,53,45,6,8,466,591
2016-04-08,11,43,32,39,39,8,4,414,480
2016-04-09,17,43,54,57,41,3,13,366,638
2016-04-10,17,66,32,80,40,6,15,435,626
2016-04-11,13,49,29,66,44,6,11,431,491
2016-04-12,14,49,27,62,47,6,9,460,474
2016-04-13,15,30,13,43,37,11,10,422,461
2016-04-14,13,45,29,81,46,5,19,453,492
2016-04-15,15,41,30,59,47,6,12,425,458
2016-04-16,10,48,31,77,39,10,8,408,479
2016-04-17,13,52,40,51,50,15,13,366,538
2016-04-18,9,55,24,59,42,12,3,435,547
2016-04-19,18,50,35,60,48,7,18,445,448
2016-04-20,13,34,33,64,47,8,20,409,473
2016-04-21,16,55,34,62,45,7,9,378,427
2016-04-22,22,50,30,48,50,6,11,436,505
2016-04-23,11,49,26,36,31,5,6,322,471
2016-04-24,19,48,32,44,40,13,21,348,473
2016-04-25,7,47,20,37,46,4,9,459,449
2016-04-26,9,66,36,42,42,11,10,388,390
2016-04-27,15,70,39,62,47,6,17,379,460
2016-04-28,8,53,26,52,39,9,13,371,434
2016-04-29,10,41,51,49,43,7,10,352,382
2016-04-30,8,42,35,49,32,11,12,300,392
2016-05-01,9,51,31,64,43,9,7,310,437
2016-05-02,9,40,32,54,53,8,10,388,471
2016-05-03,18,77,30,49,52,16,21,678,437
2016-05-04,19,52,46,47,50,5,10,370,475
2016-05-05,12,44,35,53,41,6,10,429,550
2016-05-06,14,49,39,46,50,9,13,353,463
2016-05-07,17,49,42,61,46,11,12,349,540
2016-05-08,11,61,31,47,67,7,10,401,517
2016-05-09,19,91,39,41,63,7,17,756,495
2016-05-10,13,55,41,43,43,7,15,463,487
2016-05-11,18,65,45,51,44,5,9,423,444
2016-05-12,14,68,24,37,56,13,5,405,446
2016-05-13,7,47,35,54,33,14,16,429,418
2016-05-14,13,45,33,36,37,13,10,332,481
2016-05-15,11,56,28,54,35,10,11,373,475
2016-05-16,8,38,42,52,32,7,4,2240,482
2016-05-17,12,48,42,41,40,7,9,818,461
2016-05-18,12,33,25,52,38,6,7,522,464
2016-05-19,17,53,36,75,39,9,16,481,418
2016-05-20,11,48,35,31,48,10,6,500,406
2016-05-21,19,52,50,42,45,8,9,376,493
2016-05-22,14,31,55,32,45,11,11,362,474
2016-05-23,13,52,41,48,45,7,7,409,509
2016-05-24,16,37,39,51,45,6,8,339,460
2016-05-25,19,40,39,53,59,5,12,396,453
2016-05-26,22,46,48,55,37,6,16,362,408
2016-05-27,7,39,48,48,28,6,9,1763,458
2016-05-28,16,42,34,41,34,10,9,561,424
2016-05-29,12,32,35,34,33,8,6,462,478
2016-05-30,20,60,73,51,40,14,18,382,504
2016-05-31,18,50,199,52,24,8,10,415,480
2016-06-01,12,71,102,51,45,15,13,339,407
2016-06-02,19,41,63,44,41,10,13,377,433
2016-06-03,15,61,49,51,47,9,11,337,500
2016-06-04,16,63,54,52,41,7,10,379,445
2016-06-05,21,47,39,54,29,7,8,356,466
2016-06-06,15,36,44,60,28,8,5,420,508
2016-06-07,26,33,33,30,35,8,10,353,427
2016-06-08,13,37,37,52,32,6,8,357,468
2016-06-09,8,61,39,58,30,5,6,335,551
2016-06-10,11,45,31,40,26,9,6,318,497
2016-06-11,6,46,22,52,37,8,7,295,464
2016-06-12,8,45,25,53,33,4,9,330,567
2016-06-13,23,46,40,57,34,10,19,309,562
2016-06-14,26,31,40,55,51,8,13,301,6389
2016-06-15,26,50,55,41,44,9,10,320,4192
2016-06-16,18,39,48,69,38,5,16,337,3284
2016-06-17,16,52,38,63,27,5,17,270,2793
2016-06-18,18,49,41,57,37,15,16,272,2685
2016-06-19,13,79,39,58,35,12,10,310,2614
2016-06-20,12,57,45,69,44,11,9,339,1809
2016-06-21,17,62,28,169,38,10,9,329,1776
2016-06-22,7,38,41,60,36,6,5,304,1687
2016-06-23,13,67,24,45,31,8,8,442,1370
2016-06-24,9,70,25,52,24,7,7,348,1233
2016-06-25,15,60,23,49,42,10,10,347,1181
2016-06-26,6,47,34,48,31,5,4,304,1148
2016-06-27,13,55,29,53,49,6,11,339,982
2016-06-28,12,34,33,45,15,9,5,326,1019
2016-06-29,13,56,38,55,29,5,11,379,930
2016-06-30,15,44,24,52,29,4,6,289,825
2016-07-01,14,38,25,42,43,7,9,289,730
2016-07-02,7,54,28,52,29,7,8,290,744
2016-07-03,39,61,26,44,34,15,8,318,823
2016-07-04,9,71,39,60,26,8,15,405,788
2016-07-05,20,50,43,43,32,6,9,397,815
2016-07-06,13,72,394,37,44,8,16,298,852
2016-07-07,10,60,284,45,37,2,10,335,812
2016-07-08,6,50,134,77,29,8,7,308,704
2016-07-09,14,47,95,51,28,7,6,378,895
2016-07-10,10,54,72,40,25,6,8,315,925
2016-07-11,19,129,61,116,32,6,7,341,795
2016-07-12,20,223,76,76,33,7,9,309,730
2016-07-13,9,111,67,58,41,2,15,321,667
2016-07-14,16,89,86,84,30,4,8,291,598
2016-07-15,13,59,49,63,36,8,16,234,591
2016-07-16,8,66,42,64,24,4,7,245,606
2016-07-17,11,49,42,52,32,3,12,299,672
2016-07-18,8,62,36,39,30,5,7,358,613
2016-07-19,13,62,41,46,29,5,10,387,548
2016-07-20,8,60,72,63,22,3,5,368,499
2016-07-21,11,48,56,35,33,4,8,323,512
2016-07-22,14,49,44,49,33,2,13,289,514
2016-07-23,10,38,58,40,39,5,10,303,502
2016-07-24,12,51,35,39,34,5,9,277,539
2016-07-25,13,49,46,50,33,10,17,335,585
2016-07-26,21,52,63,44,40,2,14,407,539
2016-07-27,5,52,39,41,32,2,14,385,544
2016-07-28,10,61,98,49,33,3,8,362,463
2016-07-29,13,49,64,48,43,3,16,297,527
2016-07-30,12,49,41,47,33,7,7,336,539
2016-07-31,17,43,38,55,39,2,12,448,545
2016-08-01,13,46,62,47,30,7,5,514,491
2016-08-02,13,54,59,73,32,7,17,442,513
2016-08-03,16,57,40,44,28,9,11,403,482
2016-08-04,14,42,54,57,31,2,9,395,488
2016-08-05,11,50,41,43,43,7,14,466,467
2016-08-06,8,47,67,40,48,4,19,334,491
2016-08-07,8,38,33,47,29,6,9,353,413
2016-08-08,11,44,59,67,28,3,9,375,459
2016-08-09,22,58,54,69,28,3,9,398,399
2016-08-10,8,38,75,40,29,5,10,429,447
2016-08-11,12,37,91,42,39,6,12,339,490
2016-08-12,12,35,81,34,38,2,9,623,411
2016-08-13,5,27,51,29,33,6,6,370,431
2016-08-14,22,47,60,44,29,5,10,2139,469
2016-08-15,19,38,47,45,38,3,7,1017,501
2016-08-16,8,23,55,33,26,2,6,515,440
2016-08-17,17,47,155,48,22,7,1,515,443
2016-08-18,13,51,290,57,34,8,9,458,424
2016-08-19,12,43,264,43,28,3,9,948,445
2016-08-20,10,43,178,53,37,2,9,459,428
2016-08-21,22,55,169,83,39,7,24,462,467
2016-08-22,12,51,122,48,34,1,9,519,423
2016-08-23,16,59,121,70,43,9,8,513,497
2016-08-24,16,62,97,53,34,7,5,509,501
2016-08-25,21,36,71,48,33,5,9,532,456
2016-08-26,18,47,56,45,31,4,10,447,487
2016-08-27,22,57,90,52,38,5,10,398,474
2016-08-28,10,58,74,55,39,7,10,443,472
2016-08-29,14,48,93,48,37,3,15,481,492
2016-08-30,15,49,89,58,25,6,9,483,475
2016-08-31,10,41,84,64,37,3,7,422,482
2016-09-01,20,39,99,54,30,6,9,394,433
2016-09-02,19,36,72,56,44,7,9,456,437
2016-09-03,14,30,75,49,38,8,10,393,466
2016-09-04,5,36,72,52,34,3,5,418,500
2016-09-05,19,61,79,42,56,11,10,472,455
2016-09-06,16,59,76,189,38,1,13,663,463
2016-09-07,7,40,61,159,36,5,5,666,426
2016-09-08,11,46,60,62,34,6,10,435,434
2016-09-09,13,55,65,71,35,6,16,412,410
2016-09-10,10,46,60,38,28,5,8,325,461
2016-09-11,4,48,45,43,49,4,5,393,529
2016-09-12,18,66,81,64,45,6,11,376,465
2016-09-13,27,49,55,62,49,3,12,434,434
2016-09-14,18,42,65,42,43,3,7,356,425
2016-09-15,25,53,60,59,36,1,11,390,383
2016-09-16,13,48,55,43,48,2,5,410,473
2016-09-17,19,39,57,47,27,5,8,329,486
2016-09-18,42,47,67,60,41,11,16,360,494
2016-09-19,19,56,63,53,42,5,7,371,458
2016-09-20,8,58,67,34,42,7,11,385,417
2016-09-21,13,50,54,54,40,4,14,362,461
2016-09-22,305,270,62,353,223,3,13,571,406
2016-09-23,14,52,195,99,35,8,77,494,627
2016-09-24,13,57,36,158,37,6,16,343,458
2016-09-25,6,43,41,76,40,3,12,392,474
2016-09-26,14,57,79,72,39,5,19,390,451
2016-09-27,10,49,80,49,36,4,8,443,421
2016-09-28,17,55,56,51,25,5,14,405,443
2016-09-29,27,44,41,53,47,2,13,312,422
2016-09-30,9,61,56,56,38,2,7,393,395
2016-10-01,9,36,49,27,18,5,2,485,430
2016-10-02,9,43,49,82,40,6,10,373,470
2016-10-03,15,56,66,57,33,5,12,432,405
2016-10-04,17,48,64,55,33,9,12,401,437
2016-10-05,6,39,42,43,39,4,9,376,401
2016-10-06,30,54,58,43,52,21,8,394,378
2016-10-07,24,40,48,42,49,27,10,345,377
2016-10-08,15,40,41,56,32,9,10,283,397
2016-10-09,17,143,42,39,46,3,13,314,442
2016-10-10,15,59,59,56,38,5,15,326,413
2016-10-11,14,51,50,94,38,8,19,355,434
2016-10-12,18,57,47,99,35,3,11,423,386
2016-10-13,15,46,54,74,43,4,11,389,386
2016-10-14,18,51,45,47,38,3,10,402,392
2016-10-15,11,45,57,39,51,10,7,292,383
2016-10-16,9,59,53,55,49,8,9,295,468
2016-10-17,9,55,55,55,34,3,10,535,396
2016-10-18,12,59,52,62,53,5,11,437,405
2016-10-19,11,41,58,40,41,6,7,842,389
2016-10-20,21,45,59,36,39,3,14,836,379
2016-10-21,9,52,53,55,38,2,11,593,383
2016-10-22,8,48,45,34,33,0,5,478,410
2016-10-23,7,52,52,57,30,2,5,448,444
2016-10-24,14,44,76,71,34,5,5,539,425
2016-10-25,13,52,62,68,52,7,11,539,415
2016-10-26,32,58,49,56,33,4,12,400,384
2016-10-27,12,54,48,45,37,2,9,422,388
2016-10-28,23,52,60,80,33,1,11,448,406
2016-10-29,12,35,52,54,32,7,8,348,430
2016-10-30,15,37,58,44,29,4,11,348,405
2016-10-31,6,41,41,32,38,2,7,410,458
2016-11-01,11,42,54,40,42,5,12,358,424
2016-11-02,16,40,54,35,37,7,11,418,404
2016-11-03,15,36,44,38,34,3,12,539,421
2016-11-04,19,48,51,51,42,6,10,1901,411
2016-11-05,13,39,39,40,25,6,10,993,458
2016-11-06,29,55,44,44,30,185,5,434,486
2016-11-07,11,47,60,42,40,28,7,505,438
2016-11-08,24,48,98,60,63,37,17,410,397
2016-11-09,19,46,49,34,31,8,10,264,344
2016-11-10,13,35,45,44,36,6,14,372,363
2016-11-11,54,48,48,67,39,11,10,289,380
2016-11-12,10,46,49,36,34,22,5,279,445
2016-11-13,11,40,46,65,40,113,6,445,439
2016-11-14,12,47,45,43,40,33,11,479,509
2016-11-15,16,48,51,41,35,8,10,373,457
2016-11-16,17,47,62,39,41,1,9,393,433
2016-11-17,7,47,40,49,50,13,5,423,417
2016-11-18,10,45,48,43,37,5,9,333,424
2016-11-19,12,50,41,39,45,13,14,326,451
2016-11-20,8,49,67,72,29,11,4,357,553
2016-11-21,20,49,56,45,42,11,5,391,518
2016-11-22,10,28,72,60,36,7,10,373,491
2016-11-23,5,37,59,30,21,1,4,358,453
2016-11-24,13,40,66,40,30,15,9,318,503
2016-11-25,15,42,46,75,35,5,13,313,581
2016-11-26,14,31,48,38,39,2,14,334,668
2016-11-27,16,47,47,43,46,4,13,319,646
2016-11-28,16,61,40,55,68,4,7,408,623
2016-11-29,17,46,69,56,57,3,15,365,577
2016-11-30,9,47,47,51,57,3,8,431,585
2016-12-01,10,42,53,55,56,5,9,386,579
2016-12-02,18,53,45,52,48,5,10,428,555
2016-12-03,14,54,55,46,36,8,9,2831,613
2016-12-04,20,52,46,39,38,10,12,517,687
2016-12-05,14,41,53,63,52,0,18,534,605
2016-12-06,14,55,57,84,63,5,16,463,584
2016-12-07,7,52,61,58,45,6,6,496,540
2016-12-08,17,64,56,62,51,5,13,442,550
2016-12-09,22,50,57,53,47,16,17,390,506
2016-12-10,10,42,62,48,39,6,15,313,513
2016-12-11,12,35,61,40,30,9,11,364,609
2016-12-12,22,52,73,67,53,9,26,569,527
2016-12-13,13,44,44,53,39,5,8,487,505
2016-12-14,15,49,44,47,58,5,10,428,499
2016-12-15,8,43,46,38,68,28,14,470,497
2016-12-16,13,65,46,41,34,11,28,395,491
2016-12-17,12,53,57,52,36,96,19,321,519
2016-12-18,8,49,64,27,49,72,16,390,589
2016-12-19,10,35,42,1875,39,13,6,452,503
2016-12-20,9,33,44,101,29,36,9,397,554
2016-12-21,8,51,60,49,29,16,11,398,555
2016-12-22,11,52,39,51,32,32,18,418,548
2016-12-23,12,36,51,78,43,16,14,349,527
2016-12-24,4,20,53,545,23,16,6,303,530
2016-12-25,11,397,51,65,31,5,11,295,553
2016-12-26,11,25,37,42,517,4,192,809,1198
2016-12-27,138,46,39,96,37,55,7,303,561
2016-12-28,10,36,286,92,32,35,11,405,642
2016-12-29,17,38,53,49,42,36,11,387,593
2016-12-30,12,40,36,54,35,17,8,355,638
2016-12-31,6,38,41,92,24,20,4,345,515
2017-01-01,14,52,50,60,38,36,10,383,524
