Date,"Roosevelt dime","Yugoslav monitor Sava","Isidor Isaac Rabi","Giganotosaurus","Gubby Allen","Peter Evans (swimmer)","Teleost","William Cooley","Rare Replay"
2016-03-22,7,23,102,821,16,29,251,18,1325
2016-03-23,6,21,111,790,39,26,283,28,1351
2016-03-24,0,16,249,794,15,22,248,22,1269
2016-03-25,9,25,124,742,20,21,169,24,1156
2016-03-26,2,17,120,883,28,19,174,13,1357
2016-03-27,14,24,93,1368,47,13,170,15,1317
2016-03-28,10,26,151,892,28,19,293,17,1120
2016-03-29,12,28,133,804,27,3,312,22,1002
2016-03-30,6,30,130,805,31,17,331,27,1086
2016-03-31,11,37,124,811,35,25,256,23,986
2016-04-01,8,30,126,855,31,13,239,24,962
2016-04-02,10,22,90,805,24,14,187,32,1013
2016-04-03,8,12,117,883,26,12,219,27,1032
2016-04-04,5,16,121,804,46,11,325,21,915
2016-04-05,2,37,147,740,62,13,306,23,929
2016-04-06,6,37,109,969,29,15,294,29,935
2016-04-07,5,25,128,1152,18,11,292,21,1037
2016-04-08,6,22,113,959,25,17,362,23,897
2016-04-09,7,28,95,1163,25,20,227,31,1054
2016-04-10,8,26,81,1317,30,25,213,30,1057
2016-04-11,4,25,112,1051,21,12,335,19,868
2016-04-12,8,22,104,884,18,9,284,28,875
2016-04-13,4,25,127,832,22,20,313,21,936
2016-04-14,6,25,100,778,30,14,296,19,922
2016-04-15,12,26,91,931,29,23,343,16,781
2016-04-16,4,15,96,763,58,12,206,13,933
2016-04-17,8,20,121,945,31,12,318,25,1300
2016-04-18,5,21,160,972,25,7,323,15,1199
2016-04-19,9,25,147,868,29,15,350,24,1039
2016-04-20,14,27,112,857,33,12,397,21,914
2016-04-21,14,28,122,850,21,11,320,20,991
2016-04-22,7,23,151,752,30,17,262,38,1080
2016-04-23,10,25,105,1068,17,10,181,19,983
2016-04-24,13,28,119,1064,21,12,195,21,1187
2016-04-25,4,20,114,1086,19,12,305,21,949
2016-04-26,7,27,156,951,22,11,348,23,999
2016-04-27,7,21,122,1061,24,11,259,21,1104
2016-04-28,14,33,110,898,37,18,284,27,1014
2016-04-29,6,20,99,1007,34,12,219,14,987
2016-04-30,175,26,91,930,53,9,283,17,1158
2016-05-01,35,31,96,928,20,12,381,23,1122
2016-05-02,26,19,122,964,31,10,374,21,921
2016-05-03,22,28,119,796,68,18,366,33,991
2016-05-04,6,182,114,928,51,15,367,33,941
2016-05-05,8,60,101,949,24,12,362,32,938
2016-05-06,8,74,103,804,25,13,260,23,982
2016-05-07,8,67,92,747,30,13,223,28,974
2016-05-08,6,72,107,916,27,6,412,23,925
2016-05-09,5,70,127,964,34,10,390,33,925
2016-05-10,7,82,121,827,53,12,434,29,871
2016-05-11,7,79,102,814,52,12,388,31,865
2016-05-12,7,71,173,837,29,6,363,25,897
2016-05-13,10,60,129,1086,28,10,315,28,847
2016-05-14,7,85,119,815,33,20,273,19,1052
2016-05-15,11,89,138,871,19,13,303,17,1130
2016-05-16,11,105,176,839,22,10,428,37,1118
2016-05-17,4,91,203,876,18,18,396,28,1047
2016-05-18,10,58,218,887,38,8,382,36,977
2016-05-19,12,61,231,848,31,21,383,22,956
2016-05-20,6,69,212,825,54,16,301,30,1008
2016-05-21,8,75,197,910,33,18,303,45,948
2016-05-22,10,46,161,1009,24,15,295,27,1021
2016-05-23,6,79,203,975,30,14,355,34,964
2016-05-24,9,58,186,874,28,13,355,28,992
2016-05-25,6,37,197,738,32,15,311,32,926
2016-05-26,9,71,195,739,48,19,298,38,822
2016-05-27,8,44,198,777,47,11,303,25,954
2016-05-28,7,27,147,777,32,9,213,25,885
2016-05-29,2,27,203,871,33,12,320,31,997
2016-05-30,6,32,182,1032,57,14,320,35,1214
2016-05-31,10,23,192,952,51,7,275,24,1218
2016-06-01,6,21,212,977,36,12,253,24,1088
2016-06-02,7,35,186,1144,52,17,254,28,1159
2016-06-03,12,53,157,1256,32,18,210,20,1107
2016-06-04,8,40,191,1368,52,20,210,26,1063
2016-06-05,9,29,180,1918,20,13,197,33,1223
2016-06-06,7,27,192,1455,23,8,204,32,1170
2016-06-07,5,29,160,1401,44,14,209,33,1190
2016-06-08,7,32,179,1265,43,8,279,28,890
2016-06-09,6,41,147,1244,53,8,200,23,1016
2016-06-10,6,44,178,1201,67,14,185,26,1097
2016-06-11,6,28,119,1236,47,10,159,24,1030
2016-06-12,6,25,108,1169,54,24,202,34,1170
2016-06-13,4,37,88,1134,39,13,188,38,1508
2016-06-14,8,23,124,1057,31,22,233,44,1383
2016-06-15,7,23,111,1029,41,19,191,34,1364
2016-06-16,11,24,121,944,25,19,243,45,1426
2016-06-17,5,27,121,1010,19,12,211,32,1278
2016-06-18,13,29,83,896,32,17,162,30,1501
2016-06-19,7,23,101,1006,37,32,187,34,1583
2016-06-20,4,24,112,918,46,14,245,25,1400
2016-06-21,8,26,133,827,31,14,213,41,1229
2016-06-22,15,21,123,871,23,13,187,16,1076
2016-06-23,6,23,115,879,51,11,181,13,1187
2016-06-24,6,20,90,836,26,8,165,26,1077
2016-06-25,8,24,73,919,63,13,140,20,1099
2016-06-26,9,19,113,1021,22,10,148,27,1278
2016-06-27,5,30,123,930,23,17,193,25,1182
2016-06-28,11,35,89,887,24,10,198,26,1167
2016-06-29,6,30,90,840,23,16,202,20,1261
2016-06-30,5,33,97,840,22,10,186,22,1239
2016-07-01,6,26,106,791,21,9,146,32,1445
2016-07-02,5,20,66,813,46,19,148,22,1476
2016-07-03,8,20,114,1002,20,9,146,25,1589
2016-07-04,202,24,121,908,25,12,168,30,1527
2016-07-05,46,17,123,820,32,10,193,22,1268
2016-07-06,45,30,103,931,27,18,184,28,1223
2016-07-07,27,26,107,843,28,8,202,29,1180
2016-07-08,1,19,88,893,28,9,171,21,1213
2016-07-09,5,19,115,986,29,14,183,26,1214
2016-07-10,4,24,116,894,36,20,163,26,1133
2016-07-11,6,33,139,858,30,22,225,27,1050
2016-07-12,7,31,126,747,46,18,204,30,2040
2016-07-13,6,23,104,796,26,16,181,18,1297
2016-07-14,6,18,91,933,48,10,165,23,1271
2016-07-15,4,32,91,844,51,14,133,21,1363
2016-07-16,2,13,103,731,275,9,166,16,1263
2016-07-17,5,19,115,871,65,17,170,27,1293
2016-07-18,8,25,138,691,31,16,189,40,1133
2016-07-19,7,26,112,672,33,12,195,27,1106
2016-07-20,7,26,106,650,24,8,247,25,903
2016-07-21,2,22,107,801,32,5,191,29,977
2016-07-22,7,35,123,719,42,12,159,13,990
2016-07-23,0,74,100,646,39,8,152,23,1003
2016-07-24,6,42,141,786,39,18,176,28,1219
2016-07-25,6,30,122,779,52,28,174,25,1360
2016-07-26,4,23,119,643,49,25,156,26,1099
2016-07-27,11,22,116,728,60,10,177,21,1055
2016-07-28,5,122,153,724,30,18,152,26,977
2016-07-29,5,37,339,739,33,12,173,25,1025
2016-07-30,4,28,231,882,37,19,147,23,1242
2016-07-31,6,22,128,804,61,24,171,31,1109
2016-08-01,2,53,126,752,41,19,180,25,1103
2016-08-02,4,52,121,737,35,17,205,27,944
2016-08-03,4,45,106,757,33,15,216,26,1057
2016-08-04,3,23,137,691,50,9,224,25,1078
2016-08-05,5,31,143,629,42,24,164,36,939
2016-08-06,2,28,116,701,25,28,156,22,954
2016-08-07,5,20,113,825,29,35,151,19,1094
2016-08-08,4,13,153,735,21,50,180,18,1036
2016-08-09,3,29,132,692,33,39,179,19,933
2016-08-10,6,22,110,613,25,49,177,15,1033
2016-08-11,4,18,102,615,58,39,226,17,1008
2016-08-12,7,24,92,614,34,44,275,20,847
2016-08-13,7,254,97,661,25,33,314,10,1045
2016-08-14,2,68,107,753,28,62,273,14,1252
2016-08-15,6,60,100,709,33,32,276,69,1076
2016-08-16,4,88,104,625,25,22,289,32,1073
2016-08-17,4,80,127,609,26,30,247,14,1009
2016-08-18,5,61,104,655,32,23,227,25,1052
2016-08-19,1,64,91,680,24,21,170,27,1139
2016-08-20,5,74,99,880,28,20,144,24,1153
2016-08-21,4,99,130,888,25,37,203,26,1182
2016-08-22,4,313,120,791,25,28,213,26,1160
2016-08-23,5,219,170,654,21,20,205,31,1022
2016-08-24,9,54,145,564,27,19,207,15,1151
2016-08-25,6,49,144,682,36,18,211,30,1154
2016-08-26,1,43,125,753,33,17,157,35,994
2016-08-27,13,73,135,713,32,29,141,27,1072
2016-08-28,8,39,140,880,28,15,157,20,1143
2016-08-29,5,29,136,807,36,19,192,27,1098
2016-08-30,9,21,137,833,42,16,247,33,919
2016-08-31,3,33,143,653,32,16,201,30,907
2016-09-01,11,31,130,623,46,13,228,22,980
2016-09-02,5,21,134,659,28,21,176,27,965
2016-09-03,3,14,106,619,38,16,152,17,1075
2016-09-04,11,21,120,717,28,12,160,23,1034
2016-09-05,13,34,145,637,33,14,182,23,1060
2016-09-06,7,76,155,553,38,14,206,25,892
2016-09-07,8,62,126,548,25,14,199,8,850
2016-09-08,4,29,106,637,22,17,241,21,885
2016-09-09,7,28,290,712,29,15,202,20,889
2016-09-10,2,34,167,663,23,5,170,17,1087
2016-09-11,6,36,110,842,13,58,147,14,1151
2016-09-12,3,30,154,556,32,26,218,29,1105
2016-09-13,4,37,129,583,29,21,276,26,926
2016-09-14,8,37,141,610,32,13,258,23,944
2016-09-15,10,76,96,589,26,12,266,23,845
2016-09-16,5,36,114,621,33,22,182,22,899
2016-09-17,7,48,108,595,15,22,148,25,924
2016-09-18,5,55,134,1079,28,25,165,28,995
2016-09-19,5,39,146,694,24,13,258,17,907
2016-09-20,2,51,230,608,24,9,256,16,865
2016-09-21,6,36,138,628,25,15,248,26,913
2016-09-22,7,54,333,669,33,22,515,163,1146
2016-09-23,6,195,121,619,711,113,186,15,892
2016-09-24,3,36,114,604,27,14,166,27,981
2016-09-25,7,27,121,669,17,7,168,25,1105
2016-09-26,6,33,135,574,30,14,279,31,1325
2016-09-27,7,20,110,556,29,11,287,9,1068
2016-09-28,4,506,151,584,16,11,315,23,1063
2016-09-29,9,124,133,602,30,15,278,20,935
2016-09-30,5,76,143,632,26,11,228,14,990
2016-10-01,8,41,123,659,46,12,200,12,1049
2016-10-02,14,51,116,659,40,16,221,24,1023
2016-10-03,5,34,135,721,23,9,288,16,964
2016-10-04,4,28,390,631,18,6,276,20,843
2016-10-05,6,24,182,671,23,7,286,10,728
2016-10-06,4,29,136,654,18,13,301,27,744
2016-10-07,4,23,138,747,35,11,245,34,784
2016-10-08,2,39,120,630,22,13,201,24,823
2016-10-09,4,55,160,719,44,8,1270,18,910
2016-10-10,5,84,148,610,30,10,311,21,914
2016-10-11,5,83,129,637,22,15,293,16,794
2016-10-12,15,56,126,562,40,14,266,13,773
2016-10-13,6,36,144,624,61,12,264,14,696
2016-10-14,5,32,138,568,45,59,231,24,734
2016-10-15,7,26,98,697,41,26,203,20,800
2016-10-16,9,32,125,665,23,15,188,26,899
2016-10-17,4,51,130,695,28,12,350,21,826
2016-10-18,10,59,137,588,29,19,312,23,721
2016-10-19,8,46,160,519,30,14,282,15,696
2016-10-20,4,39,130,634,27,11,274,17,683
2016-10-21,3,37,103,666,25,12,258,44,734
2016-10-22,2,23,119,674,33,11,177,16,832
2016-10-23,6,37,136,775,30,7,222,17,854
2016-10-24,7,42,149,637,37,12,296,26,796
2016-10-25,8,45,136,705,23,15,274,30,878
2016-10-26,6,31,126,594,22,9,231,26,697
2016-10-27,5,31,128,644,30,17,260,29,671
2016-10-28,5,25,121,605,27,44,260,32,661
2016-10-29,2,26,69,532,29,26,145,19,677
2016-10-30,3,27,103,815,40,27,218,27,812
2016-10-31,6,35,141,568,22,15,262,20,703
2016-11-01,3,38,135,630,23,17,263,39,631
2016-11-02,3,35,150,578,34,10,278,23,659
2016-11-03,4,24,123,586,42,10,227,24,714
2016-11-04,8,27,158,538,30,10,213,29,723
2016-11-05,2,339,96,525,20,17,195,21,773
2016-11-06,15,204,115,590,36,6,236,12,896
2016-11-07,6,128,167,571,41,8,412,27,822
2016-11-08,4,114,162,580,58,18,338,32,931
2016-11-09,6,57,109,458,29,13,234,33,753
2016-11-10,5,50,114,582,26,15,304,34,1050
2016-11-11,2,108,133,607,36,16,270,20,995
2016-11-12,5,70,90,616,21,10,200,21,1026
2016-11-13,5,48,112,673,47,13,203,18,987
2016-11-14,8,64,191,650,46,9,469,25,933
2016-11-15,5,45,208,668,52,14,337,26,978
2016-11-16,4,55,202,841,30,10,298,22,943
2016-11-17,3,73,120,630,39,12,269,20,1145
2016-11-18,5,72,116,745,31,10,259,33,2349
2016-11-19,4,80,107,576,33,15,205,34,2123
2016-11-20,4,76,101,724,47,11,226,16,1781
2016-11-21,5,53,128,807,28,7,269,33,1666
2016-11-22,7,78,105,699,49,13,294,31,1490
2016-11-23,7,49,137,672,38,8,242,25,1495
2016-11-24,3,53,115,744,67,12,209,35,2695
2016-11-25,3,47,150,816,39,10,216,25,5706
2016-11-26,6,35,125,703,35,13,172,31,2546
2016-11-27,5,42,157,789,64,15,232,22,2314
2016-11-28,8,19,152,806,42,9,268,27,2435
2016-11-29,8,44,175,758,35,12,302,29,1576
2016-11-30,3,23,169,822,34,9,282,24,1063
2016-12-01,4,26,126,880,37,12,319,20,1074
2016-12-02,3,29,90,810,30,10,234,24,1020
2016-12-03,5,30,108,685,26,11,197,24,1118
2016-12-04,8,45,176,811,36,16,298,20,1116
2016-12-05,7,57,144,954,19,16,289,23,1058
2016-12-06,7,40,165,877,32,16,313,31,959
2016-12-07,4,54,224,887,57,11,278,23,967
2016-12-08,1,39,208,1040,91,12,277,36,957
2016-12-09,9,33,137,1070,90,24,254,34,976
2016-12-10,2,31,148,876,71,11,264,31,1038
